gratis 	 adjective 	 charge 	 free, without charge
alucinante 	 adjective 	 awesome 	 amazing, awesome, brilliant
alucinante 	 adjective 	 mind-blowing 	 mind-blowing
alucinante 	 adjective 	 mind-boggling 	 mind-boggling, mind-bending
alucinante 	 adjective 	 mind-bending 	 mind-boggling, mind-bending
ofrenda 	 noun 	 sacrifice 	 offering, sacrifice
ofrenda 	 noun 	 offering 	 offering, sacrifice
desvío 	 noun 	 detour 	 detour, diversion
desvío 	 noun 	 diversion 	 detour, diversion
desvío 	 noun 	 redirection 	 redirection
desvío 	 noun 	 deviation 	 deviation
problemático 	 adjective 	 problematical 	 problematic, problem, troublesome, troubled, problematical
problemático 	 adjective 	 troubled 	 problematic, problem, troublesome, troubled, problematical
problemático 	 adjective 	 troublesome 	 problematic, problem, troublesome, troubled, problematical
problemático 	 adjective 	 problematic 	 problematic, problem, troublesome, troubled, problematical
problemático 	 adjective 	 problem 	 problematic, problem, troublesome, troubled, problematical
integumento 	 noun 	 integument 	 integument
bigamia 	 noun 	 bigamy 	 bigamy
dubitativo 	 adjective 	 dubitative 	 dubitative
dubitativo 	 adjective 	 doubting 	 doubting
estatura 	 noun 	 height 	 height
estatura 	 noun 	 stature 	 stature
conmoción 	 noun 	 agitation 	 commotion, agitation
conmoción 	 noun 	 commotion 	 commotion, agitation
conmoción 	 noun 	 concussion 	 concussion
moroso 	 adjective 	 delinquent 	 defaulting, delinquent
moroso 	 adjective 	 defaulting 	 defaulting, delinquent
moroso 	 noun 	 defaulter 	 defaulter
duopolio 	 noun 	 duopoly 	 duopoly
dorsalmente 	 adverb 	 dorsally 	 dorsally
divinamente 	 adverb 	 royally 	 divinely, royally, wonderfully
divinamente 	 adverb 	 wonderfully 	 divinely, royally, wonderfully
divinamente 	 adverb 	 divinely 	 divinely, royally, wonderfully
boicot 	 noun 	 boycott 	 boycott
rasgo 	 noun 	 act 	 act, flourish, stroke
rasgo 	 noun 	 stroke 	 act, flourish, stroke
rasgo 	 noun 	 flourish 	 act, flourish, stroke
rasgo 	 noun 	 feature 	 characteristic, feature, trait
rasgo 	 noun 	 characteristic 	 characteristic, feature, trait
rasgo 	 noun 	 trait 	 characteristic, feature, trait
acidificar 	 verb 	 acidify 	 to acidify
dramatización 	 noun 	 dramatization 	 dramatization
nenúfar 	 noun 	 white waterlily 	 water lily, white waterlily
nenúfar 	 noun 	 water lily 	 water lily, white waterlily
poyo 	 noun 	 bench 	 A bench of stone or other material that is attached to a door
brillantina 	 noun 	 brilliantine 	 brilliantine
fundamentalista 	 noun 	 fundamentalist 	 fundamentalist
malpaís 	 noun 	 badlands 	 akin to badlands, but of volcaniclastic origin
malpaís 	 noun 	 karst 	 karst
vacarí 	 adjective 	 cow 	 covered in cow hide or leather
vacarí 	 adjective 	 leather 	 covered in cow hide or leather
burocratismo 	 noun 	 bureaucratic 	 a bureaucratic attitude
calzada 	 noun 	 sidewalk 	 sidewalk
calzada 	 noun 	 driveway 	 driveway
calzada 	 noun 	 road 	 road
callista 	 noun 	 chiropodist 	 chiropodist
calvinista 	 adjective 	 Calvinist 	 Calvinist
calvinista 	 noun 	 Calvinist 	 Calvinist
ambiguamente 	 adverb 	 ambiguously 	 ambiguously
figurativamente 	 adverb 	 figuratively 	 figuratively
interpretativo 	 adjective 	 interpretative 	 interpretative
toller 	 verb 	 remove 	 to remove
vulcanólogo 	 noun 	 vulcanologist 	 vulcanologist
viburno 	 noun 	 viburnum 	 viburnum
extinguir 	 verb 	 put out 	 to extinguish, to put out
extinguir 	 verb 	 extinguish 	 to extinguish, to put out
extinguir 	 verb 	 carry out 	 to carry out
extinguir 	 verb 	 extinct 	 to go extinct, to die out
extinguir 	 verb 	 die out 	 to go extinct, to die out
corruptor 	 adjective 	 corrupting 	 corrupting; misleading
corruptor 	 adjective 	 misleading 	 corrupting; misleading
corruptor 	 noun 	 misleader 	 corrupter, misleader
corruptor 	 noun 	 corrupter 	 corrupter, misleader
hoplita 	 noun 	 hoplite 	 hoplite
preponderante 	 adjective 	 prevailing 	 predominant, prevailing
preponderante 	 adjective 	 predominant 	 predominant, prevailing
simbolista 	 noun 	 symbolist 	 symbolist
empirismo 	 noun 	 empiricism 	 empiricism
fechar 	 verb 	 date 	 to date
fronda 	 noun 	 frond 	 frond
materialista 	 adjective 	 materialist 	 materialist
materialista 	 noun 	 materialist 	 materialist
positivista 	 adjective 	 positivist 	 positivist
positivista 	 noun 	 positivist 	 positivist
solipsista 	 noun 	 solipsist 	 solipsist
solipsista 	 adjective 	 solipsist 	 solipsist
psíquico 	 adjective 	 mental 	 psychic, mental
psíquico 	 adjective 	 psychic 	 psychic, mental
composición 	 noun 	 composition 	 composition
anomalía 	 noun 	 anomaly 	 anomaly
propulsor 	 adjective 	 propulsive 	 propulsive
sudeste 	 noun 	 southeast 	 southeast
pionero 	 adjective 	 pioneering 	 pioneering
pionero 	 noun 	 pioneer 	 pioneer
macedonio 	 adjective 	 Macedonian 	 Macedonian
macedonio 	 noun 	 Macedonian 	 Macedonian
babilonio 	 adjective 	 Babylonian 	 Babylonian
babilonio 	 noun 	 Babylonian 	 Babylonian
mayonesa 	 noun 	 mayonnaise 	 mayonnaise
radiografía 	 noun 	 x-ray 	 radiograph, x-ray
radiografía 	 noun 	 radiograph 	 radiograph, x-ray
acuario 	 noun 	 aquarium 	 aquarium
acuario 	 noun 	 Aquarius 	 Aquarius
traficar 	 verb 	 smuggle 	 to smuggle
traficar 	 verb 	 traffic 	 to traffic
emocionalmente 	 adverb 	 emotionally 	 emotionally
gil 	 adjective 	 innocent 	 naive, innocent, dumb, dummy
gil 	 adjective 	 dummy 	 naive, innocent, dumb, dummy
gil 	 adjective 	 naive 	 naive, innocent, dumb, dummy
gil 	 adjective 	 dumb 	 naive, innocent, dumb, dummy
bufón 	 noun 	 jester 	 jester
cruz gamada 	 noun 	 swastika 	 swastika
camposanto 	 noun 	 cemetery 	 cemetery
celoma 	 noun 	 English 	 celoma
endocardio 	 noun 	 endocardio 	 endocardio
eritrocito 	 noun 	 red blood cell 	 erythrocyte, red blood cell
eritrocito 	 noun 	 erythrocyte 	 erythrocyte, red blood cell
graduando 	 noun 	 graduand 	 graduand
granulocito 	 noun 	 granulocyte 	 granulocyte
linfocito 	 noun 	 lymphocyte 	 lymphocyte
mediastino 	 noun 	 mediastinum 	 mediastinum
metabolito 	 noun 	 metabolite 	 metabolite
miocardio 	 noun 	 myocardium 	 myocardium
efebo 	 noun 	 ephebe 	 ephebe
efebo 	 noun 	 kid 	 kid, adolescent, young man
efebo 	 noun 	 young man 	 kid, adolescent, young man
efebo 	 noun 	 adolescent 	 kid, adolescent, young man
aceña 	 noun 	 flour 	 water mill; flour mill
aceña 	 noun 	 water mill 	 water mill; flour mill
aceña 	 noun 	 water wheel 	 water wheel
aceña 	 noun 	 bulrush 	 bulrush, cattail
aceña 	 noun 	 cattail 	 bulrush, cattail
espadaña 	 noun 	 bulrush 	 bulrush, cattail
espadaña 	 noun 	 cattail 	 bulrush, cattail
espadaña 	 noun 	 bell-gable 	 bell-gable
áloe 	 noun 	 aloe 	 aloe, aloe juice
áloe 	 noun 	 agarwood 	 agarwood
estuario 	 noun 	 estuary 	 estuary
charco 	 noun 	 puddle 	 puddle
charco 	 noun 	 pool 	 pool
charco 	 noun 	 pond 	 the pond
musgo 	 noun 	 moss 	 moss
racha 	 noun 	 squall 	 gust of wind, squall
racha 	 noun 	 gust 	 gust of wind, squall
racha 	 noun 	 streak 	 streak
noradrenalina 	 noun 	 noradrenaline 	 noradrenaline
equivaler 	 verb 	 tantamount 	 to be equivalent, to correspond, to be tantamount to
equivaler 	 verb 	 correspond 	 to be equivalent, to correspond, to be tantamount to
equivaler 	 verb 	 equivalent 	 to be equivalent, to correspond, to be tantamount to
acordado 	 adjective 	 agreed 	 agreed upon
merecido 	 adjective 	 deserved 	 deserved
investigado 	 adjective 	 investigated 	 investigated
fabricante 	 noun 	 manufacturer 	 manufacturer
galáctico 	 adjective 	 galactic 	 galactic
galáctico 	 noun 	 star 	 A huge star signing, especially one signing for Real Madrid
galáctico 	 noun 	 signing 	 A huge star signing, especially one signing for Real Madrid
magnético 	 adjective 	 magnetic 	 magnetic
demencia 	 noun 	 dementia 	 dementia
demencia 	 noun 	 madness 	 madness
trombocito 	 noun 	 thrombocyte 	 thrombocyte; blood platelet
trombocito 	 noun 	 platelet 	 thrombocyte; blood platelet
nominalmente 	 adverb 	 nominally 	 nominally
oneroso 	 adjective 	 onerous 	 onerous
panafricano 	 adjective 	 Pan-African 	 Pan-African
panamericano 	 adjective 	 Pan-American 	 Pan-American
erógeno 	 adjective 	 erogenous 	 erogenous
pesista 	 noun 	 weightlifter 	 weightlifter
endorfina 	 noun 	 endorphin 	 endorphin
pedestre 	 adjective 	 pedestrian 	 pedestrian, walking
pedestre 	 adjective 	 walking 	 pedestrian, walking
silvicultura 	 noun 	 forestation 	 forestation
agonista 	 adjective 	 agonistic 	 agonistic
agonista 	 noun 	 agonist 	 agonist
agonista 	 noun 	 agonistic 	 agonistic muscle
lícito 	 adjective 	 licit 	 licit
lícito 	 adjective 	 just 	 just, fair
lícito 	 adjective 	 fair 	 just, fair
violoncellista 	 noun 	 cellist 	 cellist
fondista 	 noun 	 long-distance runner 	 long-distance runner
sedentario 	 adjective 	 sedentary 	 sedentary
tonificante 	 adjective 	 bracing 	 bracing, invigorating
tonificante 	 adjective 	 invigorating 	 bracing, invigorating
preposición 	 noun 	 preposition 	 preposition
decatleta 	 noun 	 decathlete 	 decathlete
lisis 	 noun 	 lysis 	 lysis
instruir 	 verb 	 instruct 	 to instruct
instruir 	 verb 	 inform 	 to inform
instruir 	 verb 	 educate 	 to educate, school
instruir 	 verb 	 school 	 to educate, school
instruir 	 verb 	 investigate 	 to investigate in the course of a criminal proceeding
excursión 	 noun 	 trip 	 excursion, trip
excursión 	 noun 	 excursion 	 excursion, trip
fosa 	 noun 	 cavity 	 cavity
fosa 	 noun 	 grave 	 grave
fosa 	 noun 	 pit 	 pit
fosa 	 noun 	 moat 	 moat
foso 	 noun 	 ditch 	 ditch, trench
foso 	 noun 	 trench 	 ditch, trench
foso 	 noun 	 fosse 	 moat, fosse
foso 	 noun 	 moat 	 moat, fosse
foso 	 noun 	 trap 	 trap
anticomunista 	 noun 	 anticommunist 	 anticommunist
anticomunista 	 adjective 	 anticommunist 	 anticommunist
antifascista 	 adjective 	 antifascist 	 antifascist
antifascista 	 noun 	 antifascist 	 antifascist
libreto 	 noun 	 libretto 	 libretto
saxofonista 	 noun 	 saxophonist 	 saxophonist
ofensa 	 noun 	 insult 	 insult
ofensa 	 noun 	 offense 	 offense
sensacional 	 adjective 	 sensational 	 sensational
sensacional 	 adjective 	 dynamite 	 dynamite informal
termita 	 noun 	 thermite 	 thermite
termita 	 noun 	 termite 	 termite
centrocampista 	 noun 	 midfielder 	 midfielder
cognitivismo 	 noun 	 cognitivism 	 cognitivism
consistentemente 	 adverb 	 consistently 	 consistently
copto 	 noun 	 Copt 	 Copt
copto 	 noun 	 Coptic 	 Coptic
copto 	 adjective 	 Coptic 	 Coptic
cordino 	 noun 	 line 	 climbing A cord or line
cordino 	 noun 	 cord 	 climbing A cord or line
crematorio 	 adjective 	 crematory 	 crematory
crematorio 	 noun 	 crematorium 	 crematorium
noria 	 noun 	 English 	 noria
noria 	 noun 	 Ferris wheel 	 Ferris wheel
espiral 	 adjective 	 spiral 	 spiral
espiral 	 noun 	 spiral 	 spiral
teórico 	 adjective 	 theoretical 	 theoretical
teórico 	 noun 	 theorist 	 theorist
bronce 	 noun 	 bronze 	 bronze
artístico 	 adjective 	 artistic 	 artistic
triatleta 	 noun 	 triathlete 	 triathlete
ánade 	 noun 	 duck 	 duck
filofascista 	 noun 	 fascism 	 A supporter of fascism
futurismo 	 noun 	 futurism 	 futurism
incursión 	 noun 	 raid 	 raid; incursion
incursión 	 noun 	 incursion 	 raid; incursion
nematodo 	 noun 	 roundworm 	 nematode, roundworm
nematodo 	 noun 	 nematode 	 nematode, roundworm
anélido 	 noun 	 segmented worm 	 annelid, segmented worm
molusco 	 noun 	 mollusc 	 mollusc
molusco 	 adjective 	 molluscan 	 molluscan
limaco 	 noun 	 slug 	 slug
artrópodo 	 noun 	 arthropod 	 arthropod
crustáceo 	 noun 	 crustacean 	 crustacean
traza 	 noun 	 trace 	 trace of lines
traza 	 noun 	 design 	 design, layout e.g., for a blueprint
traza 	 noun 	 layout 	 design, layout e.g., for a blueprint
traza 	 noun 	 amount 	 trace amount
traza 	 noun 	 trace 	 trace amount
saltón 	 adjective 	 jump out 	 bulging; jumping out; sticking out
saltón 	 adjective 	 stick out 	 bulging; jumping out; sticking out
saltón 	 adjective 	 bulging 	 bulging; jumping out; sticking out
saltón 	 noun 	 grasshopper 	 grasshopper
camaleón 	 noun 	 chameleon 	 chameleon
camaleón 	 noun 	 chameleon 	 chameleon
salamandra 	 noun 	 salamander 	 salamander
salamandra 	 noun 	 salamander 	 salamander
cuco 	 noun 	 cuckoo 	 cuckoo
cuco 	 noun 	 bogeyman 	 bogeyman
falcón 	 noun 	 falcon 	 falcon
canario 	 adjective 	 Canary Islands 	 of, from or related to the Canary Islands
canario 	 noun 	 canary 	 canary
canario 	 noun 	 Canary Islands 	 person from the Canary Islands
raposo 	 noun 	 fox 	 fox
ungulado 	 adjective 	 ungulate 	 ungulate
ungulado 	 noun 	 ungulate 	 ungulate
cocho 	 noun 	 swine 	 pig; swine
cocho 	 noun 	 pig 	 pig; swine
cocho 	 noun 	 culture 	 culture
equidna 	 noun 	 echidna 	 echidna
decencia 	 noun 	 respectability 	 respectability
decencia 	 noun 	 decency 	 decency
localización 	 noun 	 finding 	 finding, location
localización 	 noun 	 location 	 finding, location
localización 	 noun 	 localization 	 localization
perseguido 	 adjective 	 obsessed 	 obsessed
perseguido 	 adjective 	 paranoid 	 paranoid
furgoneta 	 noun 	 van 	 small van
bufanda 	 noun 	 scarf 	 scarf
sutil 	 adjective 	 subtle 	 subtle
mostrador 	 noun 	 counter 	 counter
distribuidor 	 noun 	 distributor 	 distributor
distribuidor 	 noun 	 corridor 	 hall, corridor
distribuidor 	 noun 	 hall 	 hall, corridor
grieta 	 noun 	 chink 	 crack, chink, crevice
grieta 	 noun 	 crevice 	 crack, chink, crevice
grieta 	 noun 	 crack 	 crack, chink, crevice
grieta 	 noun 	 chap 	 chap
infiel 	 adjective 	 unfaithful 	 unfaithful
hitleriano 	 adjective 	 Hitlerian 	 Hitlerian
hitleriano 	 noun 	 Hitlerite 	 Hitlerite
irredento 	 adjective 	 irredeemable 	 irredeemable
blasonar 	 verb 	 blazon 	 to blazon
blasonar 	 verb 	 emblazon 	 to emblazon
blasonar 	 verb 	 boast 	 to boast
fraternizar 	 verb 	 fraternize 	 to fraternize
testera 	 noun 	 bridle 	 faceplate on a horse's bridle
políticamente 	 adverb 	 politically 	 politically
gajo 	 noun 	 tree 	 tree branch
gajo 	 noun 	 fruit 	 a sector or segment of a fruit , rarely a slice or wedge
gajo 	 noun 	 slice 	 a sector or segment of a fruit , rarely a slice or wedge
gajo 	 noun 	 sector 	 a sector or segment of a fruit , rarely a slice or wedge
gajo 	 noun 	 wedge 	 a sector or segment of a fruit , rarely a slice or wedge
gajo 	 noun 	 segment 	 a sector or segment of a fruit , rarely a slice or wedge
gajo 	 noun 	 cluster 	 small cluster of grapes
gajo 	 noun 	 grape 	 small cluster of grapes
gajo 	 noun 	 jag 	 tine, prong, jag
gajo 	 noun 	 prong 	 tine, prong, jag
gajo 	 noun 	 tine 	 tine, prong, jag
gajo 	 noun 	 spur 	 spur of mountains
gajo 	 noun 	 mountain 	 spur of mountains
gajo 	 noun 	 cutting 	 cutting
berza 	 noun 	 cabbage 	 cabbage
bretón 	 adjective 	 Breton 	 Breton
bretón 	 noun 	 Breton 	 Breton
bretón 	 noun 	 Breton 	 Breton
feroés 	 adjective 	 Faroese 	 Faroese
feroés 	 noun 	 Faroese 	 Faroese
feroés 	 noun 	 Faroese 	 Faroese
endomorfismo 	 noun 	 endomorphism 	 endomorphism
satanás 	 noun 	 devil 	 devil
periodismo 	 noun 	 journalism 	 journalism
proteína 	 noun 	 protein 	 protein
narcótico 	 adjective 	 narcotic 	 narcotic
narcótico 	 noun 	 drug 	 drug
aleación 	 noun 	 alloy 	 alloy
aleación 	 noun 	 alloying 	 alloying
magdalena 	 noun 	 madeleine 	 madeleine
magdalena 	 noun 	 cupcake 	 cupcake
remolque 	 noun 	 trailer 	 trailer
remolque 	 noun 	 towing 	 towing
remolcar 	 verb 	 tow 	 to tow, take in tow
homicida 	 adjective 	 murderous 	 murderous, homicidal
homicida 	 adjective 	 homicidal 	 murderous, homicidal
homicida 	 noun 	 murderer 	 murderer
alborozo 	 noun 	 joy 	 joy, jubilation, delight
alborozo 	 noun 	 jubilation 	 joy, jubilation, delight
alborozo 	 noun 	 delight 	 joy, jubilation, delight
alborozo 	 noun 	 gaiety 	 gaiety
alcaparra 	 noun 	 caper 	 Brassicales order plants caper
alcaparra 	 noun 	 caper 	 Vegetables caper
alerce 	 noun 	 larch 	 larch tree
alerce 	 noun 	 larch 	 the wood of the larch tree
alerce 	 noun 	 cypress 	 ver=190226, a species of cypress tree
alfanje 	 noun 	 scimitar 	 scimitar, cutlass
alfanje 	 noun 	 cutlass 	 scimitar, cutlass
alfanje 	 noun 	 swordfish 	 swordfish
almádena 	 noun 	 sledgehammer 	 sledgehammer
almenara 	 noun 	 fire 	 beacon, signal fire
almenara 	 noun 	 beacon 	 beacon, signal fire
almenara 	 noun 	 signal 	 beacon, signal fire
almenara 	 noun 	 candelabrum 	 large candelabrum
almenara 	 noun 	 ditch 	 overflow ditch
batán 	 noun 	 fulling mill 	 fulling mill
benjuí 	 noun 	 benzoin 	 benzoin
momo 	 noun 	 face 	 funny face; silly face
momo 	 noun 	 silly 	 funny face; silly face
momo 	 noun 	 funny 	 funny face; silly face
indeterminado 	 adjective 	 indeterminate 	 indeterminate
trescientos 	 numeral 	 three hundred 	 three hundred
cuatrocientos 	 numeral 	 four hundred 	 four hundred
seiscientos 	 numeral 	 six hundred 	 six hundred
ochocientos 	 numeral 	 eight hundred 	 eight hundred
psicológico 	 adjective 	 psychological 	 psychological
versículo 	 noun 	 verse 	 verse
enoteca 	 noun 	 wine bar 	 wine bar
enoteca 	 noun 	 wine 	 wine shop
enoteca 	 noun 	 shop 	 wine shop
equipotente 	 adjective 	 equipotent 	 equipotent
fotocopiar 	 verb 	 photocopy 	 to photocopy
erudito 	 adjective 	 erudite 	 erudite, scholarly, learned
erudito 	 adjective 	 learned 	 erudite, scholarly, learned
erudito 	 adjective 	 scholarly 	 erudite, scholarly, learned
erudito 	 noun 	 scholar 	 scholar, learned person
erudito 	 noun 	 learned 	 scholar, learned person
exacerbación 	 noun 	 exacerbation 	 exacerbation
espino 	 noun 	 hawthorn 	 hawthorn, buckthorn
espino 	 noun 	 buckthorn 	 hawthorn, buckthorn
rigodón 	 noun 	 rigadoon 	 rigadoon
liberalismo 	 noun 	 liberalism 	 liberalism
neofascista 	 adjective 	 neofascist 	 neofascist
neofascista 	 noun 	 neofascist 	 neofascist
neofascismo 	 noun 	 neofascism 	 neofascism
aquietar 	 verb 	 calm 	 to calm
aquietar 	 verb 	 calm down 	 to calm down
fúnebre 	 adjective 	 funereal 	 funereal, funeral
fúnebre 	 adjective 	 funeral 	 funereal, funeral
fúnebre 	 adjective 	 funereal 	 funereal
alentar 	 verb 	 encourage 	 to encourage, animate, inspirit
alentar 	 verb 	 animate 	 to encourage, animate, inspirit
alentar 	 verb 	 inspirit 	 to encourage, animate, inspirit
alentar 	 verb 	 slow down 	 to slow down, become slow
alentar 	 verb 	 shy 	 to become or behave as a shy, shameful or fearful person
alentar 	 verb 	 shameful 	 to become or behave as a shy, shameful or fearful person
alentar 	 verb 	 fearful 	 to become or behave as a shy, shameful or fearful person
desalentar 	 verb 	 discourage 	 to discourage
coa 	 noun 	 hoe 	 primitive hoe, a sharp wooden rod formerly used by Native Americans to till the soil
esoterismo 	 noun 	 esoterism 	 esoterism
vibración 	 noun 	 vibration 	 vibration
hollín 	 noun 	 soot 	 soot
gandul 	 adjective 	 loafing 	 loafing, lazy
gandul 	 adjective 	 lazy 	 loafing, lazy
gandul 	 noun 	 idler 	 loafer, idler
gandul 	 noun 	 loafer 	 loafer, idler
gandul 	 noun 	 pigeon pea 	 pigeon pea
estabilizar 	 verb 	 stabilize 	 to stabilize
revisionismo 	 noun 	 revisionism 	 revisionism
empoderar 	 verb 	 empower 	 to empower
salesiano 	 noun 	 Salesian 	 Salesian
adición 	 noun 	 addition 	 addition
adición 	 noun 	 addition 	 addition
adición 	 noun 	 addition 	 addition
adición 	 noun 	 check 	 check
ébano 	 noun 	 ebony 	 ebony
tendido 	 adjective 	 hanging 	 hanging
tendido 	 adjective 	 lying 	 lying
tendido 	 adjective 	 extended 	 extended, wide
tendido 	 adjective 	 wide 	 extended, wide
tendido 	 noun 	 wiring 	 cable, cabling, wire, wiring
tendido 	 noun 	 cable 	 cable, cabling, wire, wiring
tendido 	 noun 	 cabling 	 cable, cabling, wire, wiring
tendido 	 noun 	 wire 	 cable, cabling, wire, wiring
trompeta 	 noun 	 trumpet 	 trumpet
trompeta 	 noun 	 trumpeter 	 trumpeter
buró 	 noun 	 writing desk 	 writing desk
buró 	 noun 	 nightstand 	 A nightstand
táctico 	 adjective 	 tactic 	 tactic
táctico 	 adjective 	 tactician 	 tactician
etrusco 	 adjective 	 Etruscan 	 Etruscan
etrusco 	 noun 	 Etruscan 	 Etruscan
sanatorio 	 noun 	 sanatorium 	 sanatorium
oftalmoscopio 	 noun 	 ophthalmoscope 	 ophthalmoscope
disco duro 	 noun 	 hard drive 	 hard drive
pediatría 	 noun 	 pediatrics 	 pediatrics
centrómero 	 noun 	 centromere 	 centromere
choro 	 adjective 	 cool 	 cool
choro 	 adjective 	 aggressive 	 brave and/or aggressive person
choro 	 adjective 	 brave 	 brave and/or aggressive person
choro 	 noun 	 mussel 	 mussel
choro 	 noun 	 vulva 	 vulva
choro 	 noun 	 Chilean mussel 	 Chilean mussel
choro 	 noun 	 thief 	 thief
choro 	 noun 	 lip service 	 lip service, empty talk
choro 	 noun 	 charlatan 	 charlatan, quack
choro 	 noun 	 quack 	 charlatan, quack
gasolinera 	 noun 	 garage 	 petrol station, garage, filling station, gas station, service station
gasolinera 	 noun 	 petrol station 	 petrol station, garage, filling station, gas station, service station
gasolinera 	 noun 	 service station 	 petrol station, garage, filling station, gas station, service station
albergue 	 noun 	 hostel 	 hostel
sinfonía 	 noun 	 symphony 	 symphony
invencible 	 adjective 	 invincible 	 invincible
jaba 	 noun 	 crate 	 crate
convenientemente 	 adverb 	 conveniently 	 conveniently
fasto 	 adjective 	 allowed 	 allowed
fasto 	 noun 	 pomp 	 pageantry, pomp
fasto 	 noun 	 pageantry 	 pageantry, pomp
filamentoso 	 adjective 	 filamentous 	 filamentous
fotosfera 	 noun 	 photosphere 	 photosphere
geocentrismo 	 noun 	 geocentrism 	 geocentrism
megalito 	 noun 	 megalith 	 megalith
opaco 	 adjective 	 opaque 	 opaque
fanatismo 	 noun 	 fanaticism 	 fanaticism
fatalismo 	 noun 	 fatalism 	 fatalism
contraponer 	 verb 	 compare 	 to compare
favoritismo 	 noun 	 favouritism 	 favoritism, favouritism
favoritismo 	 noun 	 favoritism 	 favoritism, favouritism
periastro 	 noun 	 periapsis 	 periapsis
protoplanetario 	 adjective 	 protoplanetary 	 protoplanetary
predisponer 	 verb 	 predispose 	 to predispose
predisponer 	 verb 	 prejudice 	 to prejudice
anónimo 	 adjective 	 anonymous 	 anonymous
anónimo 	 noun 	 anonymous 	 an anonymous document or letter
superponer 	 verb 	 superimpose 	 to superimpose
anteponer 	 verb 	 place 	 to put or place in front of
anteponer 	 verb 	 put 	 to put or place in front of
anteponer 	 verb 	 in front of 	 to put or place in front of
anteponer 	 verb 	 prefer 	 to prefer
subconsciente 	 adjective 	 subconscious 	 subconscious
humanismo 	 noun 	 humanism 	 humanism
farro 	 noun 	 emmer 	 emmer
ferino 	 adjective 	 wild 	 wild
parálisis 	 noun 	 paralysis 	 paralysis
audaz 	 adjective 	 bold 	 audacious, bold, daring
audaz 	 adjective 	 audacious 	 audacious, bold, daring
audaz 	 adjective 	 daring 	 audacious, bold, daring
póquer 	 noun 	 poker 	 poker
póquer 	 noun 	 four of a kind 	 four of a kind
taquilla 	 noun 	 box office 	 ticket office, box office
taquilla 	 noun 	 ticket office 	 ticket office, box office
taquilla 	 noun 	 gate 	 takings, gate, proceeds
taquilla 	 noun 	 takings 	 takings, gate, proceeds
taquilla 	 noun 	 proceeds 	 takings, gate, proceeds
taquilla 	 noun 	 locker 	 locker; locking file cabinet
taquilla 	 noun 	 file cabinet 	 locker; locking file cabinet
taquilla 	 noun 	 fashionable 	 something fashionable or popular
taquilla 	 noun 	 popular 	 something fashionable or popular
taquilla 	 adjective 	 fashionable 	 cool, popular, fashionable
taquilla 	 adjective 	 popular 	 cool, popular, fashionable
taquilla 	 adjective 	 cool 	 cool, popular, fashionable
galán 	 adjective 	 gallant 	 gallant
galán 	 noun 	 attractive 	 an attractive young man, gallant
galán 	 noun 	 gallant 	 an attractive young man, gallant
galán 	 noun 	 beau 	 beau
galán 	 noun 	 protagonist 	 protagonist, leading man
galán 	 noun 	 leading man 	 protagonist, leading man
galán 	 adverb 	 copiously 	 copiously, in a great and unmeasured quantity
dique 	 noun 	 dike 	 dam, dike
dique 	 noun 	 dam 	 dam, dike
dique 	 noun 	 dock 	 dock
dique 	 noun 	 dike 	 dike
dique 	 noun 	 lie 	 lie
dique 	 adverb 	 supposedly 	 supposedly; lyingly
dique 	 adverb 	 lyingly 	 supposedly; lyingly
quero 	 noun 	 kero 	 quero; kero
trinchera 	 noun 	 ditch 	 trench, ditch
trinchera 	 noun 	 trench 	 trench, ditch
trinchera 	 noun 	 trench 	 trench
transbordador 	 noun 	 ferry 	 ferry
transbordador 	 noun 	 shuttle 	 shuttle
trazar 	 verb 	 trace 	 to trace
trazar 	 verb 	 plot 	 to draw, to plot, to chart
trazar 	 verb 	 chart 	 to draw, to plot, to chart
trazar 	 verb 	 draw 	 to draw, to plot, to chart
caricaturista 	 noun 	 caricaturist 	 caricaturist
fagocito 	 noun 	 phagocyte 	 phagocyte
somático 	 adjective 	 somatic 	 somatic
totémico 	 adjective 	 totemic 	 totemic
macizo 	 adjective 	 solid 	 solid
macizo 	 adjective 	 large 	 massive, large
macizo 	 adjective 	 massive 	 massive, large
macizo 	 adjective 	 hunky 	 hunky, dishy
macizo 	 adjective 	 dishy 	 hunky, dishy
macizo 	 noun 	 flowerbed 	 flowerbed
macizo 	 noun 	 mass 	 mass, solid
macizo 	 noun 	 solid 	 mass, solid
macizo 	 noun 	 massif 	 massif
macizo 	 noun 	 hunk 	 A hunk
bucle 	 noun 	 lock 	 lock of hair
bucle 	 noun 	 hair 	 lock of hair
bucle 	 noun 	 loop 	 loop
alcázar 	 noun 	 fortified 	 citadel, castle, fortified town
alcázar 	 noun 	 castle 	 citadel, castle, fortified town
alcázar 	 noun 	 citadel 	 citadel, castle, fortified town
alcázar 	 noun 	 town 	 citadel, castle, fortified town
fixo 	 noun 	 adhesive tape 	 adhesive tape
novilunio 	 noun 	 new moon 	 new moon
íntimo 	 adjective 	 intimate 	 intimate
íntimo 	 adjective 	 private 	 private
íntimo 	 adjective 	 familiar 	 familiar, cosy
íntimo 	 adjective 	 cosy 	 familiar, cosy
íntimo 	 adjective 	 close 	 close
frondoso 	 adjective 	 leafy 	 leafy, luxuriant
frondoso 	 adjective 	 luxuriant 	 leafy, luxuriant
frondoso 	 adjective 	 bushy 	 bushy
