gratis 	 adverb 	 free 	 gratis, free
ausilio 	 noun 	 assistance 	 help, aid, assistance, especially in a spiritual sense
ausilio 	 noun 	 spiritual 	 help, aid, assistance, especially in a spiritual sense
ausilio 	 noun 	 aid 	 help, aid, assistance, especially in a spiritual sense
centesimo 	 adjective 	 hundredth 	 hundredth
centesimo 	 noun 	 hundredth 	 hundredth
centesimo 	 noun 	 cent 	 cent
centesimo 	 noun 	 penny 	 penny
agonistico 	 adjective 	 competitive 	 competitive, agonistic
agonistico 	 adjective 	 agonistic 	 competitive, agonistic
agonistica 	 noun 	 athletics 	 athletics
collagene 	 noun 	 collagen 	 collagen
centesima 	 noun 	 auction 	 A tax of 1% levied on auctions in Ancient Rome
centesima 	 noun 	 tax 	 A tax of 1% levied on auctions in Ancient Rome
arpia 	 noun 	 harpy 	 harpy
oggettivo 	 adjective 	 objective 	 objective
oggettivo 	 adjective 	 objective 	 objective, unbiased, fair
oggettivo 	 adjective 	 unbiased 	 objective, unbiased, fair
oggettivo 	 adjective 	 fair 	 objective, unbiased, fair
oggettivo 	 adjective 	 objective 	 objective
soggettivo 	 adjective 	 subjective 	 subjective
maleficio 	 noun 	 curse 	 An evil spell, bane, curse
maleficio 	 noun 	 bane 	 An evil spell, bane, curse
maleficio 	 noun 	 spell 	 An evil spell, bane, curse
maleficio 	 noun 	 evil 	 An evil spell, bane, curse
malefico 	 adjective 	 wicked 	 evil, wicked
malefico 	 adjective 	 evil 	 evil, wicked
malefico 	 adjective 	 baleful 	 baleful, malign
malefico 	 adjective 	 malign 	 baleful, malign
malefico 	 adjective 	 dark 	 dark
nolo 	 noun 	 renting 	 hire, hiring, renting
nolo 	 noun 	 hire 	 hire, hiring, renting
nolo 	 noun 	 hiring 	 hire, hiring, renting
nolo 	 noun 	 rental 	 hire, rental, freight
nolo 	 noun 	 freight 	 hire, rental, freight
nolo 	 noun 	 hire 	 hire, rental, freight
noleggio 	 noun 	 renting 	 hire, hiring, renting
noleggio 	 noun 	 hire 	 hire, hiring, renting
noleggio 	 noun 	 hiring 	 hire, hiring, renting
noleggio 	 noun 	 rental 	 hire, rental, freight
noleggio 	 noun 	 freight 	 hire, rental, freight
noleggio 	 noun 	 hire 	 hire, rental, freight
preavviso 	 noun 	 notice 	 notice
reciprocamente 	 adverb 	 mutually 	 mutually, reciprocally, each other, one another
reciprocamente 	 adverb 	 each other 	 mutually, reciprocally, each other, one another
reciprocamente 	 adverb 	 one another 	 mutually, reciprocally, each other, one another
reciprocamente 	 adverb 	 reciprocally 	 mutually, reciprocally, each other, one another
romanticismo 	 noun 	 romanticism 	 romanticism
mirato 	 adjective 	 aimed 	 targeted, aimed at, timed, pointed, selected
mirato 	 adjective 	 selected 	 targeted, aimed at, timed, pointed, selected
mirato 	 adjective 	 pointed 	 targeted, aimed at, timed, pointed, selected
mirato 	 adjective 	 timed 	 targeted, aimed at, timed, pointed, selected
mirato 	 adjective 	 targeted 	 targeted, aimed at, timed, pointed, selected
assistente 	 noun 	 assistant 	 assistant, helper
assistente 	 noun 	 helper 	 assistant, helper
assistente 	 noun 	 wizard 	 wizard
persistere 	 verb 	 persist 	 to persist
persistere 	 noun 	 persistance 	 persistance
rostro 	 noun 	 rostrum 	 rostrum
rostro 	 noun 	 beak 	 ram, beak
rostro 	 noun 	 ram 	 ram, beak
rostro 	 noun 	 beak 	 bill, beak
rostro 	 noun 	 bill 	 bill, beak
rostro 	 noun 	 nib 	 nib
persistente 	 adjective 	 persistent 	 persistent
musa 	 noun 	 Muse 	 Muse
musa 	 noun 	 w:Inferno  	 * author=Dante Alighieri|authorlink=Dante Alighieri|title=La divina commedia: Inferno|trans-title=The Divine Comedy: Hell|format=paperback|series=|seriesvolume=|edition=12th|publisher=Le Monnier|year=1472|year_published=1994|page=21|section=Canto II|lines=7–9|passage=O muse, o alto ingegno, or m'aiutate; ¶ o mente che scrivesti ciò ch'io vidi, ¶ qui si parrà la tua nobilitate. ...|translation=O Muses, O high genius, now assist me! ¶ O memory, that didst write down what I saw, ¶ here thy nobility shall be manifest!
musa 	 noun 	 w:w:Jerusalem Delivered 	 * author=Torquato Tasso|authorlink=Torquato Tasso|title=Gerusalemme liberata|trans-title=Jerusalem Delivered|url=https://books.google.it/books?id=1SM8AAAAcAAJ&amp;hl=it&amp;pg=PP5v=onepage&amp;q&amp;f=false|publisher=Erasmo Viotti|year=1581|section=Canto I|page=2|pageurl=https://books.google.it/books?id=1SM8AAAAcAAJ&amp;hl=it&amp;pg=PA2v=onepage&amp;q&amp;f=false|passage=O Muſa, tu, che di caduchi allori ¶ non circondi la fronte in Elicona ¶ ma sù nel cielo infra beati chori ¶ hai di ſtelle immortali aurea corona ...|translation=O Muse, you who don't encircle your head with caducous laurel in Helicon, but instead, among blessed choirs up in the sky, have a golden crown of immortal stars
musa 	 noun 	 w:Odyssey 	 * author=Ippolito Pindemonte, transl.|authorlink=|title=Odissea|trans-title=Odyssey|url=https://it.wikisource.org/wiki/Odissea_|series=|seriesvolume=|edition=|publisher=|year=1822|year_published=|page=1|pageurl=https://it.wikisource.org/wiki/Pagina:Odissea_.djvu/16|section=Book I|original=Ὀδύσσεια |by=Homer|passage=Musa, quell’uom di moltiforme ingegno ¶ dimmi, che molto errò, poich’ebbe a terra ¶ gittate d’Iliòn le sacre torri; ...|translation=O Muse, tell me about that man of multiform ingenuity, that much wandered after bringing down the sacred towers of Troy
musa 	 noun 	 w:Ippolito Pindemonte 	 * author=Ippolito Pindemonte, transl.|authorlink=|title=Odissea|trans-title=Odyssey|url=https://it.wikisource.org/wiki/Odissea_|series=|seriesvolume=|edition=|publisher=|year=1822|year_published=|page=1|pageurl=https://it.wikisource.org/wiki/Pagina:Odissea_.djvu/16|section=Book I|original=Ὀδύσσεια |by=Homer|passage=Musa, quell’uom di moltiforme ingegno ¶ dimmi, che molto errò, poich’ebbe a terra ¶ gittate d’Iliòn le sacre torri; ...|translation=O Muse, tell me about that man of multiform ingenuity, that much wandered after bringing down the sacred towers of Troy
musa 	 noun 	 inspiration 	 poetic inspiration
musa 	 noun 	 poetry 	 poetry
musa 	 noun 	 poet 	 poet
musa 	 noun 	 genus 	 The Musa taxonomic genus
aristotelico 	 adjective 	 Aristotelian 	 Aristotelian
aristotelico 	 noun 	 Aristotelian 	 Aristotelian
castigo 	 noun 	 punishment 	 punishment
castigare 	 verb 	 punish 	 to punish, castigate, chasten, trounce
castigare 	 verb 	 castigate 	 to punish, castigate, chasten, trounce
castigare 	 verb 	 trounce 	 to punish, castigate, chasten, trounce
castigare 	 verb 	 chasten 	 to punish, castigate, chasten, trounce
mingere 	 verb 	 urinate 	 to urinate
duetto 	 noun 	 duet 	 duet
duetto 	 noun 	 duo 	 duo
polemica 	 noun 	 polemic 	 polemic, dispute, controversy
polemica 	 noun 	 controversy 	 polemic, dispute, controversy
polemica 	 noun 	 dispute 	 polemic, dispute, controversy
polemica 	 noun 	 squabble 	 argument, squabble
polemica 	 noun 	 argument 	 argument, squabble
polemico 	 adjective 	 polemical 	 polemic, polemical
polemico 	 adjective 	 polemic 	 polemic, polemical
proteina 	 noun 	 protein 	 protein
contingente 	 adjective 	 contingent 	 contingent
contingente 	 noun 	 contingent 	 contingent
contingente 	 noun 	 quota 	 quota
passatempo 	 noun 	 pastime 	 pastime, hobby
passatempo 	 noun 	 hobby 	 pastime, hobby
passatempo 	 noun 	 plaything 	 toy, plaything
passatempo 	 noun 	 toy 	 toy, plaything
propano 	 noun 	 propane 	 propane
marginale 	 adjective 	 marginal 	 marginal
marginale 	 adjective 	 secondary 	 secondary
caricatura 	 noun 	 antic 	 caricature, antic
caricatura 	 noun 	 caricature 	 caricature, antic
vacuo 	 adjective 	 blank 	 vacuous, vacant, empty, blank
vacuo 	 adjective 	 vacuous 	 vacuous, vacant, empty, blank
vacuo 	 adjective 	 vacant 	 vacuous, vacant, empty, blank
vacuo 	 adjective 	 empty 	 vacuous, vacant, empty, blank
elegiaco 	 adjective 	 elegiac 	 elegiac
liberale 	 adjective 	 liberal 	 liberal
liberale 	 noun 	 liberal 	 liberal
amabile 	 adjective 	 pleasant 	 amiable, pleasant
amabile 	 adjective 	 amiable 	 amiable, pleasant
amabile 	 adjective 	 sweet 	 sweet
filologia 	 noun 	 philology 	 philology
proietto 	 noun 	 projectile 	 projectile
rabbuffo 	 noun 	 reprimand 	 reprimand
raddoppio 	 noun 	 doubling 	 doubling, redoubling
raddoppio 	 noun 	 redoubling 	 doubling, redoubling
raddoppio 	 noun 	 double 	 double
raddoppio 	 noun 	 gallop 	 gallop
raduno 	 noun 	 meeting 	 gathering, meeting, muster
raduno 	 noun 	 gathering 	 gathering, meeting, muster
raduno 	 noun 	 muster 	 gathering, meeting, muster
rantolo 	 noun 	 wheeze 	 wheeze
rappezzo 	 noun 	 patch 	 patch
malevolo 	 adjective 	 malevolent 	 malicious, malevolent, impish
malevolo 	 adjective 	 malicious 	 malicious, malevolent, impish
malevolo 	 adjective 	 impish 	 malicious, malevolent, impish
malevolo 	 adjective 	 spiteful 	 spiteful
malfermo 	 adjective 	 shaky 	 faltering, unsteady, shaky
malfermo 	 adjective 	 faltering 	 faltering, unsteady, shaky
malfermo 	 adjective 	 unsteady 	 faltering, unsteady, shaky
malfermo 	 adjective 	 unstable 	 unstable
malfermo 	 adjective 	 trembling 	 trembling - voice
feudale 	 adjective 	 feudal 	 feudal
purificare 	 verb 	 purify 	 to purify
mosto 	 noun 	 must 	 must
fido 	 adjective 	 loyal 	 faithful, loyal
fido 	 adjective 	 faithful 	 faithful, loyal
fido 	 noun 	 concession 	 A credit concession
fido 	 noun 	 credit 	 A credit concession
puntare 	 verb 	 plant 	 to push, lean, rest, plant, brace
puntare 	 verb 	 rest 	 to push, lean, rest, plant, brace
puntare 	 verb 	 push 	 to push, lean, rest, plant, brace
puntare 	 verb 	 brace 	 to push, lean, rest, plant, brace
puntare 	 verb 	 lean 	 to push, lean, rest, plant, brace
puntare 	 verb 	 set 	 to point, direct, aim, sight, set
puntare 	 verb 	 aim 	 to point, direct, aim, sight, set
puntare 	 verb 	 direct 	 to point, direct, aim, sight, set
puntare 	 verb 	 sight 	 to point, direct, aim, sight, set
puntare 	 verb 	 point 	 to point, direct, aim, sight, set
puntare 	 verb 	 bet 	 to bet, stake, gamble
puntare 	 verb 	 gamble 	 to bet, stake, gamble
puntare 	 verb 	 stake 	 to bet, stake, gamble
puntare 	 verb 	 point 	 to point of a gun dog
puntare 	 verb 	 head 	 to head
puntare 	 verb 	 aim 	 to aim
puntare 	 verb 	 count on 	 to count on
puntare 	 verb 	 fare 	 fare affidamento
puntare 	 verb 	 affidamento 	 fare affidamento
a punta 	 adjective 	 pointed 	 pointed
solenne 	 adjective 	 high 	 solemn, high
solenne 	 adjective 	 solemn 	 solemn, high
solenne 	 adjective 	 grave 	 solemn, grave
solenne 	 adjective 	 solemn 	 solemn, grave
solenne 	 adjective 	 thorough 	 thorough, terrific, downright, hard
solenne 	 adjective 	 terrific 	 thorough, terrific, downright, hard
solenne 	 adjective 	 hard 	 thorough, terrific, downright, hard
solenne 	 adjective 	 downright 	 thorough, terrific, downright, hard
intensificare 	 verb 	 enhance 	 to intensify, enhance, augment
intensificare 	 verb 	 augment 	 to intensify, enhance, augment
intensificare 	 verb 	 intensify 	 to intensify, enhance, augment
intensificare 	 verb 	 increase 	 to increase, step up
intensificare 	 verb 	 step up 	 to increase, step up
supporto 	 noun 	 helper 	 helper
supporto 	 noun 	 support 	 support
supporto 	 noun 	 holder 	 stand, holder
supporto 	 noun 	 stand 	 stand, holder
supporto 	 noun 	 supporter 	 supporter
vulcanico 	 adjective 	 volcanic 	 volcanic
cartografia 	 noun 	 cartography 	 cartography
cartografo 	 noun 	 cartographer 	 cartographer
scaduto 	 adjective 	 expired 	 expired, out of date
scaduto 	 adjective 	 out of date 	 expired, out of date
criticare 	 verb 	 criticize 	 to criticize
criticamente 	 adverb 	 critically 	 critically
rinforzo 	 noun 	 strengthening 	 ' strengthening, stiffening, reinforcement
rinforzo 	 noun 	 stiffening 	 ' strengthening, stiffening, reinforcement
rinforzo 	 noun 	 reinforcement 	 ' strengthening, stiffening, reinforcement
rinforzo 	 noun 	 support 	 reinforcement, support, brace, tip, prop
rinforzo 	 noun 	 tip 	 reinforcement, support, brace, tip, prop
rinforzo 	 noun 	 reinforcement 	 reinforcement, support, brace, tip, prop
rinforzo 	 noun 	 brace 	 reinforcement, support, brace, tip, prop
rinforzo 	 noun 	 prop 	 reinforcement, support, brace, tip, prop
rinforzo 	 noun 	 troops 	 reinforcements, back up troops
rinforzo 	 noun 	 back up 	 reinforcements, back up troops
rinforzo 	 noun 	 reinforcements 	 reinforcements, back up troops
spiano 	 noun 	 ground 	 level ground, clearing
spiano 	 noun 	 level 	 level ground, clearing
spiano 	 noun 	 clearing 	 level ground, clearing
cestino 	 noun 	 basket 	 basket
tifoso 	 adjective 	 fan 	 fan
tifoso 	 adjective 	 typhous 	 typhous, typhoid
tifoso 	 adjective 	 typhoid 	 typhous, typhoid
tifoso 	 noun 	 fan 	 fan
agghiaccio 	 noun 	 helm 	 helm
amalgamare 	 verb 	 amalgamate 	 to amalgamate
amalgamare 	 verb 	 combine 	 to mix, mingle, blend, combine, merge, amalgamate
amalgamare 	 verb 	 blend 	 to mix, mingle, blend, combine, merge, amalgamate
amalgamare 	 verb 	 mingle 	 to mix, mingle, blend, combine, merge, amalgamate
amalgamare 	 verb 	 mix 	 to mix, mingle, blend, combine, merge, amalgamate
amalgamare 	 verb 	 merge 	 to mix, mingle, blend, combine, merge, amalgamate
risveglio 	 noun 	 awakening 	 awakening, waking up, reawakening
risveglio 	 noun 	 waking up 	 awakening, waking up, reawakening
risveglio 	 noun 	 reawakening 	 awakening, waking up, reawakening
amalgama 	 noun 	 amalgam 	 amalgam
classificare 	 verb 	 classify 	 to classify
classifica 	 noun 	 placings 	 placings
classifica 	 noun 	 list 	 list exam results, etc
classifica 	 noun 	 charts 	 charts, hit parade
classifica 	 noun 	 hit parade 	 charts, hit parade
ione 	 noun 	 ion 	 ion
tossico 	 adjective 	 poisonous 	 toxic, poisonous
tossico 	 adjective 	 toxic 	 toxic, poisonous
tossico 	 noun 	 poison 	 poison
tossico 	 noun 	 substance 	 Any substance harmful to the body
tossico 	 noun 	 harmful 	 Any substance harmful to the body
tossico 	 noun 	 addict 	 drug addict, drug abuser, junkie
tossico 	 noun 	 drug 	 drug addict, drug abuser, junkie
tossico 	 noun 	 abuser 	 drug addict, drug abuser, junkie
tossico 	 noun 	 junkie 	 drug addict, drug abuser, junkie
picco 	 noun 	 summit 	 peak, summit
picco 	 noun 	 peak 	 peak, summit
picco 	 noun 	 spike 	 spike, peak
picco 	 noun 	 high 	 peak, high
picco 	 noun 	 spur 	 spur
picco 	 noun 	 beam 	 Ship parts a diagonal beam on which a sail is attached, called gaff in English, or see also nautical peak
picco 	 noun 	 sail 	 Ship parts a diagonal beam on which a sail is attached, called gaff in English, or see also nautical peak
picco 	 noun 	 diagonal 	 Ship parts a diagonal beam on which a sail is attached, called gaff in English, or see also nautical peak
inerte 	 adjective 	 inert 	 inert
inerte 	 adjective 	 inactive 	 inactive, apathetic
inerte 	 adjective 	 apathetic 	 inactive, apathetic
orbitale 	 adjective 	 orbital 	 orbital
orbitale 	 noun 	 orbital 	 orbital
metano 	 noun 	 methane 	 methane
protone 	 noun 	 proton 	 proton
entalpia 	 noun 	 enthalpy 	 enthalpy
metabolismo 	 noun 	 metabolism 	 metabolism
criogenico 	 adjective 	 cryogenic 	 cryogenic
reticolo 	 noun 	 network 	 network
reticolo 	 noun 	 lattice 	 lattice
reticolo 	 noun 	 reticulum 	 reticulum
polta 	 noun 	 confused 	 A confused mixture; muddle
polta 	 noun 	 mixture 	 A confused mixture; muddle
polta 	 noun 	 muddle 	 A confused mixture; muddle
etene 	 noun 	 ethene 	 ethene, ethylene
etene 	 noun 	 ethylene 	 ethene, ethylene
manto 	 noun 	 cloak 	 mantel, cloak
manto 	 noun 	 mantel 	 mantel, cloak
manto 	 noun 	 carpet 	 layer, surface, blanket, carpet
manto 	 noun 	 layer 	 layer, surface, blanket, carpet
manto 	 noun 	 surface 	 layer, surface, blanket, carpet
manto 	 noun 	 blanket 	 layer, surface, blanket, carpet
manto 	 noun 	 pavement 	 pavement
polimero 	 adjective 	 polymerous 	 polymerous
polimero 	 noun 	 polymer 	 polymer
plastica 	 noun 	 plastic 	 plastic
plastica 	 noun 	 plastic surgery 	 plastic surgery
enciclica 	 noun 	 encyclical 	 encyclical
provocare 	 verb 	 cause 	 to cause an incident, etc
provocare 	 verb 	 provoke 	 to provoke
provocare 	 verb 	 arouse 	 to arouse
provocante 	 adjective 	 provocative 	 provocative
rilascio 	 noun 	 issue 	 issue
rilascio 	 noun 	 release 	 release
suolo 	 noun 	 ground 	 ground
suolo 	 noun 	 earth 	 earth, soil
suolo 	 noun 	 soil 	 earth, soil
radioisotopo 	 noun 	 radioisotope 	 radioisotope
radioisotopo 	 noun 	 boneseeker 	 boneseeker
isotropo 	 adjective 	 isotropic 	 isotropic
sorvolo 	 noun 	 overflight 	 overflight
sorvolo 	 noun 	 flyby 	 flyby
strato 	 noun 	 sheet 	 layer, coat, coating, sheet, film
strato 	 noun 	 layer 	 layer, coat, coating, sheet, film
strato 	 noun 	 film 	 layer, coat, coating, sheet, film
strato 	 noun 	 coating 	 layer, coat, coating, sheet, film
strato 	 noun 	 coat 	 layer, coat, coating, sheet, film
strato 	 noun 	 layer 	 stratus, layer
strato 	 noun 	 stratus 	 stratus, layer
strato 	 noun 	 layer 	 stratum, layer
strato 	 noun 	 stratum 	 stratum, layer
strato 	 noun 	 class 	 stratum, class
strato 	 noun 	 stratum 	 stratum, class
stratosfera 	 noun 	 stratosphere 	 stratosphere
serata 	 noun 	 night 	 evening, night
serata 	 noun 	 evening 	 evening, night
padrino 	 noun 	 godfather 	 godfather
padrino 	 noun 	 sponsor 	 sponsor
padrino 	 noun 	 second 	 second
patrona 	 noun 	 patron saint 	 patron saint
spruzzo 	 noun 	 spurt 	 spray, sprinkling, splash, dash, spurt, spatter
spruzzo 	 noun 	 sprinkling 	 spray, sprinkling, splash, dash, spurt, spatter
spruzzo 	 noun 	 dash 	 spray, sprinkling, splash, dash, spurt, spatter
spruzzo 	 noun 	 spatter 	 spray, sprinkling, splash, dash, spurt, spatter
spruzzo 	 noun 	 splash 	 spray, sprinkling, splash, dash, spurt, spatter
spruzzo 	 noun 	 spray 	 spray, sprinkling, splash, dash, spurt, spatter
equilibrato 	 adjective 	 stable 	 balanced, well-balanced, even, stable
equilibrato 	 adjective 	 balanced 	 balanced, well-balanced, even, stable
equilibrato 	 adjective 	 even 	 balanced, well-balanced, even, stable
equilibrato 	 adjective 	 well-balanced 	 balanced, well-balanced, even, stable
adenite 	 noun 	 adenitis 	 adenitis
neutrone 	 noun 	 neutron 	 neutron
isotopico 	 adjective 	 isotopic 	 isotopic
contempo 	 noun 	 meantime 	 meantime, meanwhile
contempo 	 noun 	 meanwhile 	 meantime, meanwhile
malto 	 noun 	 malt 	 malt
malto 	 noun 	 Dravidian 	 A Dravidian language
mammografia 	 noun 	 mammography 	 mammography
onorevole 	 adjective 	 honourable 	 honourable
specialmente 	 adverb 	 particularly 	 especially, particularly, mainly
specialmente 	 adverb 	 especially 	 especially, particularly, mainly
specialmente 	 adverb 	 mainly 	 especially, particularly, mainly
alogeno 	 noun 	 halogen 	 halogen
acidità 	 noun 	 acidity 	 acidity
acidità 	 noun 	 heartburn 	 heartburn
troposfera 	 noun 	 troposphere 	 troposphere
termodinamico 	 adjective 	 thermodynamic 	 thermodynamic
alogena 	 noun 	 lamp 	 halogen lamp
alogena 	 noun 	 halogen 	 halogen lamp
termodinamica 	 noun 	 thermodynamics 	 thermodynamics
centrifugo 	 adjective 	 centrifugal 	 centrifugal
centrifuga 	 noun 	 centrifuge 	 centrifuge
centrifuga 	 noun 	 spin dryer 	 spin dryer
diodo 	 noun 	 diode 	 diode
nanotecnologia 	 noun 	 nanotechnology 	 nanotechnology
spirale 	 noun 	 spiral 	 spiral
spirale 	 noun 	 coil 	 coil
spirale 	 noun 	 wreath 	 wreath
satana 	 noun 	 wicked 	 an evil or wicked person
satana 	 noun 	 evil 	 an evil or wicked person
penetrante 	 adjective 	 piercing 	 penetrating, pervasive, piercing, sharp
penetrante 	 adjective 	 penetrating 	 penetrating, pervasive, piercing, sharp
penetrante 	 adjective 	 sharp 	 penetrating, pervasive, piercing, sharp
penetrante 	 adjective 	 pervasive 	 penetrating, pervasive, piercing, sharp
assassinare 	 verb 	 assassinate 	 to murder, to kill, to assassinate, to massacre
assassinare 	 verb 	 massacre 	 to murder, to kill, to assassinate, to massacre
assassinare 	 verb 	 kill 	 to murder, to kill, to assassinate, to massacre
assassinare 	 verb 	 murder 	 to murder, to kill, to assassinate, to massacre
mentalmente 	 adverb 	 mentally 	 mentally
microbiologico 	 adjective 	 microbiological 	 microbiological
sinfonico 	 adjective 	 symphonic 	 symphonic, symphony
sinfonico 	 adjective 	 symphony 	 symphonic, symphony
analfabeta 	 adjective 	 illiterate 	 illiterate
analfabeta 	 noun 	 illiterate 	 illiterate
astronave 	 noun 	 spaceship 	 spaceship
astronave 	 noun 	 starship 	 starship
malti 	 noun 	 Maltese 	 Maltese
approccio 	 noun 	 approach 	 approach
lineare 	 adjective 	 linear 	 linear, one-dimensional
lineare 	 adjective 	 one-dimensional 	 linear, one-dimensional
lineare 	 adjective 	 consistent 	 consistent
lineare 	 verb 	 trace 	 to plot, draw or trace with lines
lineare 	 verb 	 plot 	 to plot, draw or trace with lines
lineare 	 verb 	 line 	 to plot, draw or trace with lines
lineare 	 verb 	 draw 	 to plot, draw or trace with lines
lineare 	 verb 	 delineate 	 to delineate
lineare 	 verb 	 describe 	 to represent, describe
lineare 	 verb 	 represent 	 to represent, describe
varietà 	 noun 	 variety 	 variety
varietà 	 noun 	 difference 	 difference
varietà 	 noun 	 manifold 	 manifold
varietà 	 noun 	 variety show 	 variety show
varietà 	 noun 	 theatre 	 variety theatre
varietà 	 noun 	 cabaret 	 cabaret
malga 	 noun 	 mountain 	 mountain pasture
malga 	 noun 	 pasture 	 mountain pasture
malga 	 noun 	 alpine 	 alpine building
malga 	 noun 	 building 	 alpine building
malia 	 noun 	 charm 	 charm, enchantment
malia 	 noun 	 enchantment 	 charm, enchantment
malia 	 noun 	 spell 	 spell
anonimo 	 adjective 	 anonymous 	 anonymous
anonimo 	 noun 	 anonym 	 anonym, anonymous person
anonimo 	 noun 	 anonymous 	 anonym, anonymous person
anonimamente 	 adverb 	 anonymously 	 anonymously
biliardo 	 noun 	 billiards 	 billiards, id=Q11020
biliardo 	 numeral 	 thousand 	 a thousand trillion
biliardo 	 numeral 	 trillion 	 a thousand trillion
maligno 	 adjective 	 malicious 	 spiteful, malicious
maligno 	 adjective 	 spiteful 	 spiteful, malicious
maligno 	 adjective 	 wicked 	 evil, impish, wicked
maligno 	 adjective 	 impish 	 evil, impish, wicked
maligno 	 adjective 	 evil 	 evil, impish, wicked
maligno 	 adjective 	 malignant 	 malignant
annullo 	 noun 	 cancellation 	 cancellation, cancel
annullo 	 noun 	 cancel 	 cancellation, cancel
ascendere 	 verb 	 ascend 	 to ascend, rise
ascendere 	 verb 	 rise 	 to ascend, rise
vacillare 	 verb 	 sway 	 to sway
vacillare 	 verb 	 wobble 	 to totter or stagger along; to wobble
vacillare 	 verb 	 stagger 	 to totter or stagger along; to wobble
vacillare 	 verb 	 totter 	 to totter or stagger along; to wobble
vacillare 	 verb 	 flicker 	 to flicker
vacillare 	 verb 	 waver 	 to waver, falter
vacillare 	 verb 	 falter 	 to waver, falter
vacillare 	 verb 	 stand shilly-shally 	 to stand shilly-shally
vacillare 	 verb 	 blow hot and cold 	 to blow hot and cold
scompiglio 	 noun 	 mess 	 confusion, mess, havoc, turmoil
scompiglio 	 noun 	 havoc 	 confusion, mess, havoc, turmoil
scompiglio 	 noun 	 turmoil 	 confusion, mess, havoc, turmoil
scompiglio 	 noun 	 confusion 	 confusion, mess, havoc, turmoil
scompiglio 	 noun 	 stampede 	 stampede
messaggero 	 noun 	 messenger 	 messenger
apposto 	 adjective 	 appended 	 appended
proposto 	 adjective 	 proposed 	 proposed
proposto 	 noun 	 subject 	 subject
proposto 	 noun 	 provost 	 provost
riposto 	 adjective 	 hidden 	 hidden
supposta 	 noun 	 suppository 	 suppository
supposta 	 noun 	 pessario 	 pessario
supposta 	 noun 	 suppositorio 	 suppositorio
nanometro 	 noun 	 nanometre 	 nanometre / nanometer
nanometro 	 noun 	 nanometer 	 nanometre / nanometer
fotodiodo 	 noun 	 photodiode 	 photodiode
terminale 	 adjective 	 final 	 final
terminale 	 adjective 	 terminal 	 terminal
terminale 	 noun 	 terminal 	 terminal
collasso 	 noun 	 collapse 	 collapse
retta 	 noun 	 straight line 	 straight line
retta 	 noun 	 fee 	 fee
aromatizzare 	 verb 	 flavour 	 to flavour/flavor
aromatizzare 	 verb 	 flavor 	 to flavour/flavor
aromatizzare 	 verb 	 spice 	 to spice
cosmologico 	 adjective 	 cosmological 	 cosmological
oscillare 	 verb 	 oscillate 	 to oscillate
oscillare 	 verb 	 swing 	 to swing
oscillare 	 verb 	 flicker 	 to flicker
oscillare 	 verb 	 fluctuate 	 to fluctuate
oscillare 	 verb 	 stand shilly-shally 	 to stand shilly-shally
oscillare 	 verb 	 blow hot and cold 	 to blow hot and cold
dinamico 	 adjective 	 dynamic 	 dynamic
dinamico 	 adjective 	 high-energy 	 energetic, high-energy
dinamico 	 adjective 	 energetic 	 energetic, high-energy
dinamica 	 noun 	 dynamics 	 dynamics
scaglia 	 noun 	 scale 	 scale
scaglia 	 noun 	 flake 	 flake, sliver
scaglia 	 noun 	 sliver 	 flake, sliver
scaglia 	 noun 	 splinter 	 splinter
sovietico 	 adjective 	 Soviet 	 Soviet
sovietico 	 noun 	 Soviet Union 	 Citizen of the Soviet Union
convalescente 	 adjective 	 convalescent 	 convalescent
convalescente 	 noun 	 convalescent 	 convalescent
carotide 	 noun 	 carotid 	 carotid
gnomo 	 noun 	 gnome 	 gnome
riserbo 	 noun 	 reserve 	 reserve, discretion, secrecy
riserbo 	 noun 	 secrecy 	 reserve, discretion, secrecy
riserbo 	 noun 	 discretion 	 reserve, discretion, secrecy
comprimere 	 verb 	 compress 	 to compress
dolorante 	 adjective 	 sore 	 aching, painful, sore
dolorante 	 adjective 	 aching 	 aching, painful, sore
dolorante 	 adjective 	 painful 	 aching, painful, sore
amorosa 	 noun 	 lover 	 t=lover
hinduista 	 adjective 	 Hindu 	 Hindu
hinduista 	 noun 	 Hindu 	 Hindu
disarmo 	 noun 	 disarmament 	 disarmament
armamentario 	 noun 	 instruments 	 instruments, equipment, kit
armamentario 	 noun 	 kit 	 instruments, equipment, kit
armamentario 	 noun 	 equipment 	 instruments, equipment, kit
armamentario 	 noun 	 arsenal 	 paraphernalia, arsenal
armamentario 	 noun 	 paraphernalia 	 paraphernalia, arsenal
placido 	 adjective 	 placid 	 placid, calm
placido 	 adjective 	 calm 	 placid, calm
ehi 	 interjection 	 hey 	 hey!
onorato 	 adjective 	 honoured 	 honoured
