animal			singular		plural		archaic plural	
animal	nominative		ცხოველი ()	cxoveli	ცხოველები ()	cxovelebi	ცხოველნი ()	cxovelni
animal	ergative		ცხოველმა ()	cxovelma	ცხოველებმა ()	cxovelebma	ცხოველთ(ა) ()	cxovelt(a)
animal	dative		ცხოველს(ა) ()	cxovels(a)	ცხოველებს(ა) ()	cxovelebs(a)	ცხოველთ(ა) ()	cxovelt(a)
animal	genitive		ცხოველის(ა) ()	cxovelis(a)	ცხოველების(ა) ()	cxovelebis(a)	ცხოველთ(ა) ()	cxovelt(a)
animal	instrumental		ცხოველით(ა) ()	cxovelit(a)	ცხოველებით(ა) ()	cxovelebit(a)		
animal	adverbial		ცხოველად(ა) ()	cxovelad(a)	ცხოველებად(ა) ()	cxovelebad(a)		
animal	vocative		ცხოველო ()	cxovelo	ცხოველებო ()	cxovelebo	ცხოველნო ()	cxovelno
animal	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
son	ergative		ძემ ()	ʒem	ძეებმა ()	ʒeebma	ძეთ(ა) ()	ʒet(a)
son	dative		ძეს(ა) ()	ʒes(a)	ძეებს(ა) ()	ʒeebs(a)	ძეთ(ა) ()	ʒet(a)
son	genitive		ძის(ა) ()	ʒis(a)	ძეების(ა) ()	ʒeebis(a)	ძეთ(ა) ()	ʒet(a)
son	instrumental		ძით(ა) ()	ʒit(a)	ძეებით(ა) ()	ʒeebit(a)		
son	adverbial		ძედ(ა) ()	ʒed(a)	ძეებად(ა) ()	ʒeebad(a)		
son	vocative		ძევ ()	ʒev	ძეებო ()	ʒeebo	ძენო ()	ʒeno
son	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
son	postpositions taking a dative case		singular		plural	
son	-ზე (on - )		ძეზე ()	ʒeze	ძეებზე ()	ʒeebze
son	-თან (near - )		ძესთან ()	ʒestan	ძეებთან ()	ʒeebtan
son	-ში (in - )		ძეში ()	ʒeši	ძეებში ()	ʒeebši
son	-ვით (like a - )		ძესავით ()	ʒesavit	ძეებივით ()	ʒeebivit
son	postpositions taking a genitive case		singular		plural	
son	-თვის (for - )		ძისთვის ()	ʒistvis	ძეებისთვის ()	ʒeebistvis
son	-ებრ (like a - )		ძისებრ ()	ʒisebr	ძეებისებრ ()	ʒeebisebr
son	-კენ (towards - )		ძისკენ ()	ʒisḳen	ძეებისკენ ()	ʒeebisḳen
son	-გან (from/of - )		ძისგან ()	ʒisgan	ძეებისგან ()	ʒeebisgan
son	postpositions taking an instrumental case		singular		plural	
son	-დან (from / since - )		ძიდან ()	ʒidan	ძეებიდან ()	ʒeebidan
son	-ურთ (together with - )		ძითურთ ()	ʒiturt	ძეებითურთ ()	ʒeebiturt
son	postpositions taking an adverbial case		singular		plural	
son	-მდე (up to - )		ძემდე ()	ʒemde	ძეებამდე ()	ʒeebamde
sound			singular		plural		archaic plural	
sound	nominative		ხმა ()	xma	ხმები ()	xmebi	ხმანი ()	xmani
sound	ergative		ხმამ ()	xmam	ხმებმა ()	xmebma	ხმათ(ა) ()	xmat(a)
sound	dative		ხმას(ა) ()	xmas(a)	ხმებს(ა) ()	xmebs(a)	ხმათ(ა) ()	xmat(a)
sound	genitive		ხმის(ა) ()	xmis(a)	ხმების(ა) ()	xmebis(a)	ხმათ(ა) ()	xmat(a)
sound	instrumental		ხმით(ა) ()	xmit(a)	ხმებით(ა) ()	xmebit(a)		
sound	adverbial		ხმად(ა) ()	xmad(a)	ხმებად(ა) ()	xmebad(a)		
sound	vocative		ხმავ ()	xmav	ხმებო ()	xmebo	ხმანო ()	xmano
sound	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
sound	postpositions taking a dative case		singular		plural	
sound	-ზე (on - )		ხმაზე ()	xmaze	ხმებზე ()	xmebze
sound	-თან (near - )		ხმასთან ()	xmastan	ხმებთან ()	xmebtan
sound	-ში (in - )		ხმაში ()	xmaši	ხმებში ()	xmebši
sound	-ვით (like a - )		ხმასავით ()	xmasavit	ხმებივით ()	xmebivit
sound	postpositions taking a genitive case		singular		plural	
sound	-თვის (for - )		ხმისთვის ()	xmistvis	ხმებისთვის ()	xmebistvis
sound	-ებრ (like a - )		ხმისებრ ()	xmisebr	ხმებისებრ ()	xmebisebr
sound	-კენ (towards - )		ხმისკენ ()	xmisḳen	ხმებისკენ ()	xmebisḳen
sound	-გან (from/of - )		ხმისგან ()	xmisgan	ხმებისგან ()	xmebisgan
sound	postpositions taking an instrumental case		singular		plural	
sound	-დან (from / since - )		ხმიდან ()	xmidan	ხმებიდან ()	xmebidan
sound	-ურთ (together with - )		ხმითურთ ()	xmiturt	ხმებითურთ ()	xmebiturt
sound	postpositions taking an adverbial case		singular		plural	
sound	-მდე (up to - )		ხმამდე ()	xmamde	ხმებამდე ()	xmebamde
water			singular		plural		archaic plural	
water	nominative		წყალი ()	c̣q̇ali	წყლები ()	c̣q̇lebi	წყალნი ()	c̣q̇alni
water	ergative		წყალმა ()	c̣q̇alma	წყლებმა ()	c̣q̇lebma	წყალთ(ა) ()	c̣q̇alt(a)
water	dative		წყალს(ა) ()	c̣q̇als(a)	წყლებს(ა) ()	c̣q̇lebs(a)	წყალთ(ა) ()	c̣q̇alt(a)
water	genitive		წყლის(ა) ()	c̣q̇lis(a)	წყლების(ა) ()	c̣q̇lebis(a)	წყალთ(ა) ()	c̣q̇alt(a)
water	instrumental		წყლით(ა) ()	c̣q̇lit(a)	წყლებით(ა) ()	c̣q̇lebit(a)		
water	adverbial		წყლად(ა) ()	c̣q̇lad(a)	წყლებად(ა) ()	c̣q̇lebad(a)		
water	vocative		წყალო ()	c̣q̇alo	წყლებო ()	c̣q̇lebo	წყალნო ()	c̣q̇alno
water	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
water	postpositions taking a dative case		singular		plural	
water	-ზე (on - )		წყალზე ()	c̣q̇alze	წყლებზე ()	c̣q̇lebze
water	-თან (near - )		წყალთან ()	c̣q̇altan	წყლებთან ()	c̣q̇lebtan
water	-ში (in - )		წყალში ()	c̣q̇alši	წყლებში ()	c̣q̇lebši
water	-ვით (like a - )		წყალივით ()	c̣q̇alivit	წყლებივით ()	c̣q̇lebivit
water	postpositions taking a genitive case		singular		plural	
water	-თვის (for - )		წყლისთვის ()	c̣q̇listvis	წყლებისთვის ()	c̣q̇lebistvis
water	-ებრ (like a - )		წყლისებრ ()	c̣q̇lisebr	წყლებისებრ ()	c̣q̇lebisebr
water	-კენ (towards - )		წყლისკენ ()	c̣q̇lisḳen	წყლებისკენ ()	c̣q̇lebisḳen
water	-გან (from/of - )		წყლისგან ()	c̣q̇lisgan	წყლებისგან ()	c̣q̇lebisgan
water	postpositions taking an instrumental case		singular		plural	
water	-დან (from / since - )		წყლიდან ()	c̣q̇lidan	წყლებიდან ()	c̣q̇lebidan
water	-ურთ (together with - )		წყლითურთ ()	c̣q̇liturt	წყლებითურთ ()	c̣q̇lebiturt
water	postpositions taking an adverbial case		singular		plural	
water	-მდე (up to - )		წყლამდე ()	c̣q̇lamde	წყლებამდე ()	c̣q̇lebamde
way			singular		plural		archaic plural	
way	nominative		გზა ()	gza	გზები ()	gzebi	გზანი ()	gzani
way	ergative		გზამ ()	gzam	გზებმა ()	gzebma	გზათ(ა) ()	gzat(a)
way	dative		გზას(ა) ()	gzas(a)	გზებს(ა) ()	gzebs(a)	გზათ(ა) ()	gzat(a)
way	genitive		გზის(ა) ()	gzis(a)	გზების(ა) ()	gzebis(a)	გზათ(ა) ()	gzat(a)
way	instrumental		გზით(ა) ()	gzit(a)	გზებით(ა) ()	gzebit(a)		
way	adverbial		გზად(ა) ()	gzad(a)	გზებად(ა) ()	gzebad(a)		
way	vocative		გზავ ()	gzav	გზებო ()	gzebo	გზანო ()	gzano
way	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
way	postpositions taking a dative case		singular		plural	
way	-ზე (on - )		გზაზე ()	gzaze	გზებზე ()	gzebze
way	-თან (near - )		გზასთან ()	gzastan	გზებთან ()	gzebtan
way	-ში (in - )		გზაში ()	gzaši	გზებში ()	gzebši
way	-ვით (like a - )		გზასავით ()	gzasavit	გზებივით ()	gzebivit
way	postpositions taking a genitive case		singular		plural	
way	-თვის (for - )		გზისთვის ()	gzistvis	გზებისთვის ()	gzebistvis
way	-ებრ (like a - )		გზისებრ ()	gzisebr	გზებისებრ ()	gzebisebr
way	-კენ (towards - )		გზისკენ ()	gzisḳen	გზებისკენ ()	gzebisḳen
way	-გან (from/of - )		გზისგან ()	gzisgan	გზებისგან ()	gzebisgan
way	postpositions taking an instrumental case		singular		plural	
way	-დან (from / since - )		გზიდან ()	gzidan	გზებიდან ()	gzebidan
way	-ურთ (together with - )		გზითურთ ()	gziturt	გზებითურთ ()	gzebiturt
way	postpositions taking an adverbial case		singular		plural	
way	-მდე (up to - )		გზამდე ()	gzamde	გზებამდე ()	gzebamde
wind			singular		plural		archaic plural	
wind	nominative		ქარი ()	kari	ქარები ()	karebi	ქარნი ()	karni
wind	ergative		ქარმა ()	karma	ქარებმა ()	karebma	ქართ(ა) ()	kart(a)
wind	dative		ქარს(ა) ()	kars(a)	ქარებს(ა) ()	karebs(a)	ქართ(ა) ()	kart(a)
wind	genitive		ქარის(ა) ()	karis(a)	ქარების(ა) ()	karebis(a)	ქართ(ა) ()	kart(a)
wind	instrumental		ქარით(ა) ()	karit(a)	ქარებით(ა) ()	karebit(a)		
wind	adverbial		ქარად(ა) ()	karad(a)	ქარებად(ა) ()	karebad(a)		
wind	vocative		ქარო ()	karo	ქარებო ()	karebo	ქარნო ()	karno
wind	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
wind	postpositions taking a dative case		singular		plural	
wind	-ზე (on - )		ქარზე ()	karze	ქარებზე ()	karebze
wind	-თან (near - )		ქართან ()	kartan	ქარებთან ()	karebtan
wind	-ში (in - )		ქარში ()	karši	ქარებში ()	karebši
wind	-ვით (like a - )		ქარივით ()	karivit	ქარებივით ()	karebivit
wind	postpositions taking a genitive case		singular		plural	
wind	-თვის (for - )		ქარისთვის ()	karistvis	ქარებისთვის ()	karebistvis
wind	-ებრ (like a - )		ქარისებრ ()	karisebr	ქარებისებრ ()	karebisebr
wind	-კენ (towards - )		ქარისკენ ()	karisḳen	ქარებისკენ ()	karebisḳen
wind	-გან (from/of - )		ქარისგან ()	karisgan	ქარებისგან ()	karebisgan
wind	postpositions taking an instrumental case		singular		plural	
wind	-დან (from / since - )		ქარიდან ()	karidan	ქარებიდან ()	karebidan
wind	-ურთ (together with - )		ქარითურთ ()	kariturt	ქარებითურთ ()	karebiturt
wind	postpositions taking an adverbial case		singular		plural	
wind	-მდე (up to - )		ქარამდე ()	karamde	ქარებამდე ()	karebamde
window			singular		plural		archaic plural	
window	nominative		ფანჯარა ()	panǯara	ფანჯრები ()	panǯrebi	ფანჯარანი ()	panǯarani
window	ergative		ფანჯარამ ()	panǯaram	ფანჯრებმა ()	panǯrebma	ფანჯარათ(ა) ()	panǯarat(a)
window	dative		ფანჯარას(ა) ()	panǯaras(a)	ფანჯრებს(ა) ()	panǯrebs(a)	ფანჯარათ(ა) ()	panǯarat(a)
window	genitive		ფანჯრის(ა) ()	panǯris(a)	ფანჯრების(ა) ()	panǯrebis(a)	ფანჯარათ(ა) ()	panǯarat(a)
window	instrumental		ფანჯრით(ა) ()	panǯrit(a)	ფანჯრებით(ა) ()	panǯrebit(a)		
window	adverbial		ფანჯრად(ა) ()	panǯrad(a)	ფანჯრებად(ა) ()	panǯrebad(a)		
window	vocative		ფანჯარავ ()	panǯarav	ფანჯრებო ()	panǯrebo	ფანჯარანო ()	panǯarano
window	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
window	postpositions taking a dative case		singular		plural	
window	-ზე (on - )		ფანჯარაზე ()	panǯaraze	ფანჯრებზე ()	panǯrebze
window	-თან (near - )		ფანჯარასთან ()	panǯarastan	ფანჯრებთან ()	panǯrebtan
window	-ში (in - )		ფანჯარაში ()	panǯaraši	ფანჯრებში ()	panǯrebši
window	-ვით (like a - )		ფანჯარასავით ()	panǯarasavit	ფანჯრებივით ()	panǯrebivit
window	postpositions taking a genitive case		singular		plural	
window	-თვის (for - )		ფანჯრისთვის ()	panǯristvis	ფანჯრებისთვის ()	panǯrebistvis
window	-ებრ (like a - )		ფანჯრისებრ ()	panǯrisebr	ფანჯრებისებრ ()	panǯrebisebr
window	-კენ (towards - )		ფანჯრისკენ ()	panǯrisḳen	ფანჯრებისკენ ()	panǯrebisḳen
window	-გან (from/of - )		ფანჯრისგან ()	panǯrisgan	ფანჯრებისგან ()	panǯrebisgan
window	postpositions taking an instrumental case		singular		plural	
window	-დან (from / since - )		ფანჯრიდან ()	panǯridan	ფანჯრებიდან ()	panǯrebidan
window	-ურთ (together with - )		ფანჯრითურთ ()	panǯriturt	ფანჯრებითურთ ()	panǯrebiturt
window	postpositions taking an adverbial case		singular		plural	
window	-მდე (up to - )		ფანჯრამდე ()	panǯramde	ფანჯრებამდე ()	panǯrebamde
woman			singular		plural		archaic plural	
woman	nominative		ქალი ()	kali	ქალები ()	kalebi	ქალნი ()	kalni
woman	ergative		ქალმა ()	kalma	ქალებმა ()	kalebma	ქალთ(ა) ()	kalt(a)
woman	dative		ქალს(ა) ()	kals(a)	ქალებს(ა) ()	kalebs(a)	ქალთ(ა) ()	kalt(a)
woman	genitive		ქალის(ა) ()	kalis(a)	ქალების(ა) ()	kalebis(a)	ქალთ(ა) ()	kalt(a)
woman	instrumental		ქალით(ა) ()	kalit(a)	ქალებით(ა) ()	kalebit(a)		
woman	adverbial		ქალად(ა) ()	kalad(a)	ქალებად(ა) ()	kalebad(a)		
woman	vocative		ქალო ()	kalo	ქალებო ()	kalebo	ქალნო ()	kalno
woman	notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.		notes: archaic plurals might not exist.	
woman	postpositions taking a dative case		singular		plural	
woman	-ზე (on - )		ქალზე ()	kalze	ქალებზე ()	kalebze
woman	-თან (near - )		ქალთან ()	kaltan	ქალებთან ()	kalebtan
woman	-ში (in - )		ქალში ()	kalši	ქალებში ()	kalebši
woman	-ვით (like a - )		ქალივით ()	kalivit	ქალებივით ()	kalebivit
woman	postpositions taking a genitive case		singular		plural	
woman	-თვის (for - )		ქალისთვის ()	kalistvis	ქალებისთვის ()	kalebistvis
woman	-ებრ (like a - )		ქალისებრ ()	kalisebr	ქალებისებრ ()	kalebisebr
woman	-კენ (towards - )		ქალისკენ ()	kalisḳen	ქალებისკენ ()	kalebisḳen
woman	-გან (from/of - )		ქალისგან ()	kalisgan	ქალებისგან ()	kalebisgan
woman	postpositions taking an instrumental case		singular		plural	
woman	-დან (from / since - )		ქალიდან ()	kalidan	ქალებიდან ()	kalebidan
woman	-ურთ (together with - )		ქალითურთ ()	kaliturt	ქალებითურთ ()	kalebiturt
woman	postpositions taking an adverbial case		singular		plural	
woman	-მდე (up to - )		ქალამდე ()	kalamde	ქალებამდე ()	kalebamde
