appear	perfective, thematic, active only	perfective, thematic, active only	perfective, thematic, active only	perfective, thematic, active only	perfective, thematic, active only
appear	3rd singular	*h₁ludʰét			
appear	3rd plural	*h₁ludʰónt			
appear	active voice	indicative	imperative	subjunctive	optative
appear	1st singular	*h₁ludʰóm	—	*h₁ludʰṓh₂	*h₁ludʰóyh₁m̥
appear	2nd singular	*h₁ludʰés	*h₁ludʰé	*h₁ludʰḗsi	*h₁ludʰóys
appear	3rd singular	*h₁ludʰét	*h₁ludʰétu	*h₁ludʰḗti	*h₁ludʰóyt
appear	1st dual	*h₁ludʰówe	—	*h₁ludʰṓwos	*h₁ludʰóywe
appear	2nd dual	*h₁ludʰétom	*h₁ludʰétom	*h₁ludʰḗtes	*h₁ludʰóytom
appear	3rd dual	*h₁ludʰétām	*h₁ludʰétām	*h₁ludʰḗtes	*h₁ludʰóytām
appear	1st plural	*h₁ludʰóme	—	*h₁ludʰṓmos	*h₁ludʰóyme
appear	2nd plural	*h₁ludʰéte	*h₁ludʰéte	*h₁ludʰḗte	*h₁ludʰóyte
appear	3rd plural	*h₁ludʰónt	*h₁ludʰóntu	*h₁ludʰṓnti	*h₁ludʰóyh₁n̥t
appear					
appear	participle	*h₁ludʰónts			
be-red	3rd plural	*h₁rudʰéh₁n̥ti				
be-red	active voice	present indicative	past indicative	imperative	subjunctive	optative
be-red	1st singular	*h₁rudʰéh₁mi	*h₁rudʰéh₁m̥	—	*h₁rudʰéh₁oh₂	*h₁rudʰéh₁yeh₁m̥
be-red	2nd singular	*h₁rudʰéh₁si	*h₁rudʰéh₁s	*h₁rudʰéh₁, *h₁rudʰéh₁dʰi	*h₁rudʰéh₁esi	*h₁rudʰéh₁yeh₁s
be-red	3rd singular	*h₁rudʰéh₁ti	*h₁rudʰéh₁t	*h₁rudʰéh₁tu	*h₁rudʰéh₁eti	*h₁rudʰéh₁yeh₁t
be-red	1st dual	*h₁rudʰéh₁wos	*h₁rudʰéh₁we	—	*h₁rudʰéh₁owos	*h₁rudʰéh₁ih₁we
be-red	2nd dual	*h₁rudʰéh₁tes	*h₁rudʰéh₁tom	*h₁rudʰéh₁tom	*h₁rudʰéh₁etes	*h₁rudʰéh₁ih₁tom
be-red	3rd dual	*h₁rudʰéh₁tes	*h₁rudʰéh₁tām	*h₁rudʰéh₁tām	*h₁rudʰéh₁etes	*h₁rudʰéh₁ih₁tām
be-red	1st plural	*h₁rudʰéh₁mos	*h₁rudʰéh₁me	—	*h₁rudʰéh₁omos	*h₁rudʰéh₁ih₁me
be-red	2nd plural	*h₁rudʰéh₁te	*h₁rudʰéh₁te	*h₁rudʰéh₁te	*h₁rudʰéh₁ete	*h₁rudʰéh₁ih₁te
be-red	3rd plural	*h₁rudʰéh₁n̥ti	*h₁rudʰéh₁n̥t	*h₁rudʰéh₁n̥tu	*h₁rudʰéh₁onti	*h₁rudʰéh₁ih₁n̥t
be-red						
be-red	participle	*h₁rudʰéh₁n̥ts				
set-down	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic
set-down	3rd singular	*sodéyeti				
set-down	3rd plural	*sodéyonti				
set-down	active voice	present indicative	past indicative	imperative	subjunctive	optative
set-down	1st singular	*sodéyoh₂	*sodéyom	—	*sodéyōh₂	*sodéyoyh₁m̥
set-down	2nd singular	*sodéyesi	*sodéyes	*sodéye	*sodéyēsi	*sodéyoys
set-down	3rd singular	*sodéyeti	*sodéyet	*sodéyetu	*sodéyēti	*sodéyoyt
set-down	1st dual	*sodéyowos	*sodéyowe	—	*sodéyōwos	*sodéyoywe
set-down	2nd dual	*sodéyetes	*sodéyetom	*sodéyetom	*sodéyētes	*sodéyoytom
set-down	3rd dual	*sodéyetes	*sodéyetām	*sodéyetām	*sodéyētes	*sodéyoytām
set-down	1st plural	*sodéyomos	*sodéyome	—	*sodéyōmos	*sodéyoyme
set-down	2nd plural	*sodéyete	*sodéyete	*sodéyete	*sodéyēte	*sodéyoyte
set-down	3rd plural	*sodéyonti	*sodéyont	*sodéyontu	*sodéyōnti	*sodéyoyh₁n̥t
set-down						
set-down	participle	*sodéyonts				
set-down	middle voice	present indicative	past indicative	imperative	subjunctive	optative
set-down	1st singular	*sodéyoh₂er	*sodéyoh₂e	—	*sodéyōh₂er	*sodéyoyh₂e
set-down	2nd singular	*sodéyeth₂er	*sodéyeth₂e	*sodéyeso	*sodéyēth₂er	*sodéyoyth₂e
set-down	3rd singular	*sodéyetor	*sodéyeto	*?	*sodéyētor	*sodéyoyto, *sodéyoyh₁o
set-down	1st dual	*sodéyowosdʰh₂	*sodéyowedʰh₂	—	*sodéyōwosdʰh₂	*sodéyoywedʰh₂
set-down	2nd dual	*?	*?	*?	*?	*?
set-down	3rd dual	*?	*?	*?	*?	*?
set-down	1st plural	*sodéyomosdʰh₂	*sodéyomedʰh₂	—	*sodéyōmosdʰh₂	*sodéyoymedʰh₂
set-down	2nd plural	*sodéyedʰh₂we	*sodéyedʰh₂we	*sodéyedʰh₂we	*sodéyēdʰh₂we	*sodéyoydʰh₂we
set-down	3rd plural	*sodéyoror, *sodéyontor	*sodéyoro, *sodéyonto	*?	*sodéyōror, *sodéyōntor	*sodéyoyro, *sodéyoyh₁n̥to
set-down						
set-down	participle	*sodéyomnos				
want-to-see	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic	imperfective, thematic
want-to-see	3rd singular	*wéydseti				
want-to-see	3rd plural	*wéydsonti				
want-to-see	active voice	present indicative	past indicative	imperative	subjunctive	optative
want-to-see	1st singular	*wéydsoh₂	*wéydsom	—	*wéydsōh₂	*wéydsoyh₁m̥
want-to-see	2nd singular	*wéydsesi	*wéydses	*wéydse	*wéydsēsi	*wéydsoys
want-to-see	3rd singular	*wéydseti	*wéydset	*wéydsetu	*wéydsēti	*wéydsoyt
want-to-see	1st dual	*wéydsowos	*wéydsowe	—	*wéydsōwos	*wéydsoywe
want-to-see	2nd dual	*wéydsetes	*wéydsetom	*wéydsetom	*wéydsētes	*wéydsoytom
want-to-see	3rd dual	*wéydsetes	*wéydsetām	*wéydsetām	*wéydsētes	*wéydsoytām
want-to-see	1st plural	*wéydsomos	*wéydsome	—	*wéydsōmos	*wéydsoyme
want-to-see	2nd plural	*wéydsete	*wéydsete	*wéydsete	*wéydsēte	*wéydsoyte
want-to-see	3rd plural	*wéydsonti	*wéydsont	*wéydsontu	*wéydsōnti	*wéydsoyh₁n̥t
want-to-see						
want-to-see	participle	*wéydsonts				
want-to-see	middle voice	present indicative	past indicative	imperative	subjunctive	optative
want-to-see	1st singular	*wéydsoh₂er	*wéydsoh₂e	—	*wéydsōh₂er	*wéydsoyh₂e
want-to-see	2nd singular	*wéydseth₂er	*wéydseth₂e	*wéydseso	*wéydsēth₂er	*wéydsoyth₂e
want-to-see	3rd singular	*wéydsetor	*wéydseto	*?	*wéydsētor	*wéydsoyto, *wéydsoyh₁o
want-to-see	1st dual	*wéydsowosdʰh₂	*wéydsowedʰh₂	—	*wéydsōwosdʰh₂	*wéydsoywedʰh₂
want-to-see	2nd dual	*?	*?	*?	*?	*?
want-to-see	3rd dual	*?	*?	*?	*?	*?
want-to-see	1st plural	*wéydsomosdʰh₂	*wéydsomedʰh₂	—	*wéydsōmosdʰh₂	*wéydsoymedʰh₂
want-to-see	2nd plural	*wéydsedʰh₂we	*wéydsedʰh₂we	*wéydsedʰh₂we	*wéydsēdʰh₂we	*wéydsoydʰh₂we
want-to-see	3rd plural	*wéydsoror, *wéydsontor	*wéydsoro, *wéydsonto	*?	*wéydsōror, *wéydsōntor	*wéydsoyro, *wéydsoyh₁n̥to
want-to-see						
want-to-see	participle	*wéydsomnos				
renew	imperfective, athematic	imperfective, athematic	imperfective, athematic	imperfective, athematic	imperfective, athematic	imperfective, athematic
renew	3rd singular	*néweh₂ti				
renew	3rd plural	*néweh₂n̥ti				
renew	active voice	present indicative	past indicative	imperative	subjunctive	optative
renew	1st singular	*néweh₂mi	*néwām	—	*néweh₂oh₂	*néweh₂yeh₁m̥
renew	2nd singular	*néweh₂si	*néweh₂s	*néweh₂, *néweh₂dʰi	*néweh₂esi	*néweh₂yeh₁s
renew	3rd singular	*néweh₂ti	*néweh₂t	*néweh₂tu	*néweh₂eti	*néweh₂yeh₁t
renew	1st dual	*néweh₂wos	*néweh₂we	—	*néweh₂owos	*néweh₂ih₁we
renew	2nd dual	*néweh₂tes	*néweh₂tom	*néweh₂tom	*néweh₂etes	*néweh₂ih₁tom
renew	3rd dual	*néweh₂tes	*néweh₂tām	*néweh₂tām	*néweh₂etes	*néweh₂ih₁tām
renew	1st plural	*néweh₂mos	*néweh₂me	—	*néweh₂omos	*néweh₂ih₁me
renew	2nd plural	*néweh₂te	*néweh₂te	*néweh₂te	*néweh₂ete	*néweh₂ih₁te
renew	3rd plural	*néweh₂n̥ti	*néweh₂n̥t	*néweh₂n̥tu	*néweh₂onti	*néweh₂ih₁n̥t
renew						
renew	participle	*néweh₂n̥ts				
renew	middle voice	present indicative	past indicative	imperative	subjunctive	optative
renew	1st singular	*néweh₂h₂er	*néweh₂h₂e	—	*néweh₂oh₂er	*néweh₂ih₁h₂e
renew	2nd singular	*néweh₂th₂er	*néweh₂th₂e	*néweh₂so	*néweh₂eth₂er	*néweh₂ih₁th₂e
renew	3rd singular	*néweh₂tor, *néweh₂or	*néweh₂to, *néweh₂o	*?	*néweh₂etor	*néweh₂ih₁to, *néweh₂ih₁o
renew	1st dual	*néweh₂wosdʰh₂	*néweh₂wedʰh₂	—	*néweh₂owosdʰh₂	*néweh₂ih₁wedʰh₂
renew	2nd dual	*?	*?	*?	*?	*?
renew	3rd dual	*?	*?	*?	*?	*?
renew	1st plural	*néweh₂mosdʰh₂	*néweh₂medʰh₂	—	*néweh₂omosdʰh₂	*néweh₂ih₁medʰh₂
renew	2nd plural	*néweh₂dʰh₂we	*néweh₂dʰh₂we	*néweh₂dʰh₂we	*néweh₂edʰh₂we	*néweh₂ih₁dʰh₂we
renew	3rd plural	*néweh₂ror, *néweh₂n̥tor	*néweh₂ro, *néweh₂n̥to	*?	*néweh₂oror, *néweh₂ontor	*néweh₂ih₁ro, *néweh₂ih₁n̥to
renew						
renew	participle	*néweh₂m̥h₁nos				
arrive	perfective, thematic, active only	perfective, thematic, active only	perfective, thematic, active only	perfective, thematic, active only	perfective, thematic, active only
arrive	3rd singular	*h₁ludʰét			
arrive	3rd plural	*h₁ludʰónt			
arrive	active voice	indicative	imperative	subjunctive	optative
arrive	1st singular	*h₁ludʰóm	—	*h₁ludʰṓh₂	*h₁ludʰóyh₁m̥
arrive	2nd singular	*h₁ludʰés	*h₁ludʰé	*h₁ludʰḗsi	*h₁ludʰóys
arrive	3rd singular	*h₁ludʰét	*h₁ludʰétu	*h₁ludʰḗti	*h₁ludʰóyt
arrive	1st dual	*h₁ludʰówe	—	*h₁ludʰṓwos	*h₁ludʰóywe
arrive	2nd dual	*h₁ludʰétom	*h₁ludʰétom	*h₁ludʰḗtes	*h₁ludʰóytom
arrive	3rd dual	*h₁ludʰétām	*h₁ludʰétām	*h₁ludʰḗtes	*h₁ludʰóytām
arrive	1st plural	*h₁ludʰóme	—	*h₁ludʰṓmos	*h₁ludʰóyme
arrive	2nd plural	*h₁ludʰéte	*h₁ludʰéte	*h₁ludʰḗte	*h₁ludʰóyte
arrive	3rd plural	*h₁ludʰónt	*h₁ludʰóntu	*h₁ludʰṓnti	*h₁ludʰóyh₁n̥t
arrive					
arrive	participle	*h₁ludʰónts			
say	perfective, thematic	perfective, thematic	perfective, thematic	perfective, thematic	perfective, thematic
say	3rd singular	*wéwket			
say	3rd plural	*wéwkont			
say	active voice	indicative	imperative	subjunctive	optative
say	1st singular	*wéwkom	—	*wéwkōh₂	*wéwkoyh₁m̥
say	2nd singular	*wéwkes	*wéwke	*wéwkēsi	*wéwkoys
say	3rd singular	*wéwket	*wéwketu	*wéwkēti	*wéwkoyt
say	1st dual	*wéwkowe	—	*wéwkōwos	*wéwkoywe
say	2nd dual	*wéwketom	*wéwketom	*wéwkētes	*wéwkoytom
say	3rd dual	*wéwketām	*wéwketām	*wéwkētes	*wéwkoytām
say	1st plural	*wéwkome	—	*wéwkōmos	*wéwkoyme
say	2nd plural	*wéwkete	*wéwkete	*wéwkēte	*wéwkoyte
say	3rd plural	*wéwkont	*wéwkontu	*wéwkōnti	*wéwkoyh₁n̥t
say					
say	participle	*wéwkonts			
say	middle voice	indicative	imperative	subjunctive	optative
say	1st singular	*wéwkoh₂e	—	*wéwkōh₂er	*wéwkoyh₂e
say	2nd singular	*wéwketh₂e	*wéwkeso	*wéwkēth₂er	*wéwkoyth₂e
say	3rd singular	*wéwketo	*?	*wéwkētor	*wéwkoyto, *wéwkoyh₁o
say	1st dual	*wéwkowedʰh₂	—	*wéwkōwosdʰh₂	*wéwkoywedʰh₂
say	2nd dual	*?	*?	*?	*?
say	3rd dual	*?	*?	*?	*?
say	1st plural	*wéwkomedʰh₂	—	*wéwkōmosdʰh₂	*wéwkoymedʰh₂
say	2nd plural	*wéwkedʰh₂we	*wéwkedʰh₂we	*wéwkēdʰh₂we	*wéwkoydʰh₂we
say	3rd plural	*wéwkoro, *wéwkonto	*?	*wéwkōror, *wéwkōntor	*wéwkoyro, *wéwkoyh₁n̥to
say					
say	participle	*wéwkomnos			
point-out	perfective, athematic	perfective, athematic	perfective, athematic	perfective, athematic	perfective, athematic
point-out	3rd singular	*dḗyḱst			
point-out	3rd plural	*déyḱsn̥t			
point-out	active voice	indicative	imperative	subjunctive	optative
point-out	1st singular	*dḗyḱsm̥	—	*dḗyḱsoh₂	*déyḱsyeh₁m̥
point-out	2nd singular	*dḗyḱs	*dḗyḱs, *déyḱsdʰi	*dḗyḱsesi	*déyḱsyeh₁s
point-out	3rd singular	*dḗyḱst	*dḗyḱstu	*dḗyḱseti	*déyḱsyeh₁t
point-out	1st dual	*déyḱswe	—	*dḗyḱsowos	*déyḱsih₁we
point-out	2nd dual	*déyḱstom	*déyḱstom	*dḗyḱsetes	*déyḱsih₁tom
point-out	3rd dual	*déyḱstām	*déyḱstām	*dḗyḱsetes	*déyḱsih₁tām
point-out	1st plural	*déyḱsme	—	*dḗyḱsomos	*déyḱsih₁me
point-out	2nd plural	*déyḱste	*déyḱste	*dḗyḱsete	*déyḱsih₁te
point-out	3rd plural	*déyḱsn̥t	*déyḱsn̥tu	*dḗyḱsonti	*déyḱsih₁n̥t
point-out					
point-out	participle	*déyḱsn̥ts			
point-out	middle voice	indicative	imperative	subjunctive	optative
point-out	1st singular	*déyḱsh₂e	—	*dḗyḱsoh₂er	*déyḱsih₁h₂e
point-out	2nd singular	*déyḱsth₂e	*déyḱso	*dḗyḱseth₂er	*déyḱsih₁th₂e
point-out	3rd singular	*déyḱsto, *déyḱso	*?	*dḗyḱsetor	*déyḱsih₁to, *déyḱsih₁o
point-out	1st dual	*déyḱswedʰh₂	—	*dḗyḱsowosdʰh₂	*déyḱsih₁wedʰh₂
point-out	2nd dual	*?	*?	*?	*?
point-out	3rd dual	*?	*?	*?	*?
point-out	1st plural	*déyḱsmedʰh₂	—	*dḗyḱsomosdʰh₂	*déyḱsih₁medʰh₂
point-out	2nd plural	*déyḱsdʰh₂we	*déyḱsdʰh₂we	*dḗyḱsedʰh₂we	*déyḱsih₁dʰh₂we
point-out	3rd plural	*déyḱsro, *déyḱsn̥to	*?	*dḗyḱsoror, *dḗyḱsontor	*déyḱsih₁ro, *déyḱsih₁n̥to
point-out					
point-out	participle	*déyḱsm̥h₁nos			
think	stative	stative	stative	stative	stative
think	3rd singular	*memóne			
think	3rd plural	*memnḗr			
think	active voice	indicative	imperative	subjunctive	optative
think	1st singular	*memónh₂e	—	*meménoh₂	*memn̥yéh₁m̥
think	2nd singular	*memónth₂e	*memón, *memn̥dʰí	*meménesi	*memn̥yéh₁s
think	3rd singular	*memóne	*memóntu	*meméneti	*memn̥yéh₁t
think	1st dual	*memn̥wé	—	*meménowos	*memnih₁wé
think	2nd dual	*?	*memn̥tóm	*meménetes	*memnih₁tóm
think	3rd dual	*?	*memn̥tā́m	*meménetes	*memnih₁tā́m
think	1st plural	*memn̥mé	—	*meménomos	*memnih₁mé
think	2nd plural	*memné	*memn̥té	*meménete	*memnih₁té
think	3rd plural	*memnḗr	*memnéntu	*meménonti	*memnih₁ént
think					
think	participle	*memn̥wṓs			
