#swadesh 207 id	part-of-speech	English	Proto-Germanic	Old English	Old English IPA	Scots 	West Frisian 	Dutch 	Afrikaans 	Low Saxon 	Limburgish 	Central Franconian 	Luxembourgish 	German 	Yiddish 	Old Norse	Danish 	Swedish 	Faroese 	Icelandic 	Norwegian (bokmål) 	Norwegian (nynorsk) 	Gothic
155	noun	salt	*saltą	sealt n 	/sæɑ̯ɫt/	saut 	sâlt 	zout 	sout 	Solt 	zawt 	Salz 	Salz 	Salz 	זאַלץ (zalts) 	salt	salt 	salt 	salt 	salt 	salt 	salt 	𐍃𐌰𐌻𐍄 (salt)
156	noun	stone	*stainaz	stān m 	/stɑːn/	stane 	stien 	steen 	klip 	Steen 	sjtein 	Steen, Stään, Stein 	Steen 	Stein 	שטיין (shteyn) 	steinn	sten 	sten 	steinur 	steinn 	stein, sten 	stein 	𐍃𐍄𐌰𐌹𐌽𐍃 (stains)
157	noun	sand	*samdaz	sand n 	/sɒnd/	saund 	sân 	zand 	sand 	Sand 	zandj 	Sand, Sank 	Sand 	Sand 	זאַמד (zamd) 	sandr	sand 	sand 	sandur 	sandur 	sand 	sand 	[Term?]
158	noun	dust	*dustą, *stubjuz	dust n 	/dust/	stour 	stof 	stof 	stof 	Mulm, Dust, Stoff 	sjtub 	Stöbb, Stoff 	Stëbs 	Staub 	שטויב (shtoyb) 	dust	støv 	damm, stoft 	dust, støv 	ryk 	støv, bøss 	bos, støv, dust 	[Term?]
159	noun	earth	*erþō	eorþe f 	/eo̯rˠðe/	yird 	ierde, 	aarde 	grond 	Eerd, Bodden, Borrn 	eerd 	Ääd, Erd 	Buedem 	Erde, Boden 	ערד (erd) 	jǫrð	jord 	jord 	mold, jørð 	jörð 	jord 	jord 	[Term?]
160	noun	cloud	*wulkaną, *melhmô	wolcn n 	/ˈwoɫkn̩/	clood/clud 	wolk 	wolk 	wolk 	Wulk 	wolk 	Wollek 	Wollek 	Wolke 	וואָלקן (volkn) 	ský	sky 	moln 	skýggj 	ský 	sky 	sky 	𐌼𐌹𐌻𐌷𐌼𐌰 (milhma)
161	noun	fog	*nebulaz, *mihstaz	mist m 	/mist/	mist, haar 	dize 	mist, nevel 	mis 	Mist, Nevel, Daak 	naevel 	Nevvel, Nävel 	Niwwel 	Nebel 	נעפּל (nepl) 	þoka	tåge 	dimma 	mjørki, toka 	þoka 	tåke 	tåke, skodde 	[Term?]
162	noun	sky	*himinaz	heofon m 	/ˈheo̯von/	lift 	loft 	hemel, lucht 	lug 	Heven, Himmel, Lucht 	hiemel, loch 	Himmel 	Himmel 	Himmel 	הימל (himl) 	himinn	himmel 	himmel, sky (poetic) 	himmal, himin 	himinn 	himmel 	himmel 	𐌷𐌹𐌼𐌹𐌽𐍃 (himins)
163	noun	wind	*windaz	wind m 	/wind/	wind 	wyn 	wind 	wind, briesie 	Wind 	wèndj 	Wend, Wond, Wenk, Wink 	Wand, Loft 	Wind 	ווינט (vint) 	vindr	vind 	vind 	vindur 	vindur 	vind 	vind 	𐍅𐌹𐌽𐌳𐍃 (winds)
164	noun	snow	*snaiwaz	snāw m 	/snɑːw/	snaw 	snie 	sneeuw 	sneeu 	Snee 	sjnie 	Schnie 	Schnéi 	Schnee 	שניי (shney) 	snjór	sne 	snö 	kavi, snjógvur 	snjór 	snø 	snø 	𐍃𐌽𐌰𐌹𐍅𐍃 (snaiws)
165	noun	ice	*īsą	īs n 	/iːs/	ice 	iis 	ijs 	ys 	Ies 	ies 	Ies, Eis 	Äis 	Eis 	אײַז (ayz) 	íss	is 	is 	ísur 	ís, klaki 	is 	is 	[Term?]
166	noun	smoke	*raukiz	smīeċ m 	/smiːy̯t͡ʃ/	reek 	reek 	rook 	rook 	Smook, Rook 	rouk 	Quallem, Rooch, Rauch 	Damp 	Rauch 	רויך (roykh) 	reykr	røg 	rök 	roykur 	reykur 	røyk 	røyk 	[Term?]
167	noun	fire	*fōr	fȳr n 	/fyːr/	fire 	fjoer 	vuur 	vuur 	Füer 	vuur 	Füür, Feier 	Feier 	Feuer 	פֿײַער (fayer) 	eldr, bál	ild 	eld 	eldur 	eldur 	ild 	eld 	𐍆𐍉𐌽 (fōn)
168	noun	ash	*askǭ	æsċe f 	/ˈæʃ.ʃe/	ess 	jiske 	as 	as 	Asch 	asj 	Äsch 	Äschen 	Asche 	אַש (ash) 	aska	aske 	aska 	øska 	aska 	aske 	oske, oska 	𐌰𐌶𐌲𐍉 (azgō)
169	verb	to burn	*brinnaną	birnan (intransitive), bærnan (transitive) 	/ˈbirˠ.nɑn/, /ˈbærˠ.nɑn/	bren 	brâne 	branden 	brand 	brennen 	branje 	brenne 	brennen 	brennen 	ברענען (brenen) 	brenna	brænde 	brinna 	brenna 	brenna 	brenne 	brenna 	𐌱𐍂𐌹𐌽𐌽𐌰𐌽 (brinnan)
170	noun	road	*wegaz	weġ m, strǣt f 	/wej/, /stræːt/	road, gate, wey 	dyk/wei/reed 	weg 	pad 	Straat, Weg 	waeg 	Stroß, Wääch 	Strooss 	Weg 	װעג (veg) 	gata, vegr, leið, braut	vej 	väg 	vegur 	vegur, gata 	vei 	veg 	𐍅𐌹𐌲𐍃 (wigs)
171	noun	mountain	*bergaz	beorg m, dūn f, munt m 	/beo̯rˠɣ/, /duːn/, /munt/	muntain, slieve 	berch 	berg 	berg 	Barg 	berg 	Berch 	Bierg 	Berg 	באַרג (barg) 	fjall	bjerg 	berg 	fjall 	fjall 	fjell 	fjell 	𐍆𐌰𐌹𐍂𐌲𐌿𐌽𐌹 (fairguni)
172	adjective	red	*raudaz	rēad 	/ræːɑ̯d/	reid 	read 	rood 	rooi 	root 	roed 	rut, rot 	rout 	rot 	רויט (royt) 	rauðr	rød 	röd 	reyður 	rauður 	rød 	raud 	𐍂𐌰𐌿𐌸𐍃 (rauþs)
173	adjective	green	*grōniz	grēne 	/ˈɣreːne/	green 	grien 	groen 	groen 	gröön 	greun 	jrön, green, grien 	gréng 	grün 	גרין (grin) 	grœnn	grøn 	grön 	grønur 	grænn 	grønn 	grøn 	[Term?]
174	adjective	yellow	*gelwaz	ġeolu 	/ˈjeo̯ɫu/	yellae 	giel 	geel 	geel 	geel 	gael 	jäl, gäl 	giel 	gelb 	געל (gel) 	gulr	gul 	gul 	gulur 	gulur 	gul 	gul 	[Term?]
175	adjective	white	*hwītaz	hwīt 	/ʍiːt/	white 	wyt 	wit 	wit 	witt 	wit 	wieß, weiß 	wäiss 	weiß 	ווײַס (vays) 	hvítr	hvid 	vit 	hvítur 	hvítur 	hvit 	kvit 	𐍈𐌴𐌹𐍄𐍃 (ƕeits)
176	adjective	black	*swartaz, *blakaz	sweart 	/swæɑ̯rˠt/	swart 	swart 	zwart 	swart 	swatt 	zjwart 	schwatz, schwarz 	schwaarz 	schwarz 	שוואַרץ (shvarts) 	svartr	sort 	svart 	svartur 	svartur 	svart 	svart 	𐍃𐍅𐌰𐍂𐍄𐍃 (swarts)
177	noun	night	*nahts	niht f 	/niçt/	nicht 	nacht 	nacht 	nag 	Nacht 	nach 	Naach, Naacht, Naat 	Nuecht 	Nacht 	נאַכט (nakht) 	nótt	nat 	natt 	nátt 	nótt 	natt 	natt 	𐌽𐌰𐌷𐍄𐍃 (nahts)
178	noun	day	*dagaz	dæġ m 	/dæj/	day 	dei 	dag 	dag 	Dag 	daag 	Daach 	Dag 	Tag 	טאָג (tog) 	dagr	dag 	dag 	dagur 	dagur 	dag 	dag 	𐌳𐌰𐌲𐍃 (dags)
179	noun	year	*jērą, *aþna-	ġēar n 	/jæːɑ̯r/	year 	jier 	jaar 	jaar 	Johr 	jaor 	Johr 	Joer 	Jahr 	יאָר (yor) 	ár	år 	år 	ár 	ár 	år 	år 	𐌾𐌴𐍂 (jēr)
180	adjective	warm	*warmaz	wearm 	/wæɑ̯rˠm/	wairm 	waarm 	warm 	warm 	warm 	werm 	wärm, warm 	waarm 	warm 	וואַרעם (varem) 	varmr	varm (hot), lun (warm) 	varm 	heitur, lýggjur 	hlýr, heitur 	varm (hot), lun (warm) 	varm (hot), logn (warm) 	*𐍅𐌰𐍂𐌼𐍃 (*warms)
181	adjective	cold	*kaldaz	ċeald 	/t͡ʃæɑ̯ɫd/	cauld 	kâld 	koud 	koud 	koolt 	kawd 	kalt (inflected kal-) 	kal 	kalt 	קאַלט (kalt) 	kaldr	kold 	kall 	kalt 	kaldur 	kald 	kald 	𐌺𐌰𐌻𐌳𐍃 (kalds)
182	adjective	full	*fullaz	full 	/fuɫː/	fou 	fol 	vol 	vol 	vull 	vol 	voll 	voll 	voll 	פֿול (ful) 	fullr	fuld 	full 	fullur 	fullur 	full 	full 	𐍆𐌿𐌻𐌻𐍃 (fulls)
183	adjective	new	*niwjaz	nīewe 	/ˈniːy̯we/	new 	nij 	nieuw 	nuut, nuwe 	nee 	nuuj 	neu, nei 	nei 	neu 	נײַ (nay) 	nýr	ny 	ny 	nýggjur 	nýr 	ny 	ny 	𐌽𐌹𐌿𐌾𐌹𐍃 (niujis)
184	adjective	old	*sinīgaz	eald 	/æɑ̯ɫd/	auld 	âld 	oud 	oud 	oolt 	awd 	alt (inflected al-) 	al 	alt 	אַלט (alt) 	gamall	gammel 	gammal 	gamal 	gamall 	gammel, gammal 	gamal 	𐌰𐌻𐌸𐌴𐌹𐍃 (alþeis), 𐍃𐌹𐌽𐌴𐌹𐌲𐍃 (sineigs), 𐍆𐌰𐌹𐍂𐌽𐌴𐌹𐍃 (fairneis)
185	adjective	good	*gōdaz	gōd 	/ɣoːd/	guid 	goed 	goed 	goed 	goot 	good 	jot, got, gut 	gutt 	gut 	גוט (gut) 	góðr	god 	bra 	góður 	góður 	god, bra 	god, bra 	𐌲𐍉𐌸𐍃 (gōþs), 𐍅𐌰𐌹𐌻𐌰 (waila)
186	adjective	bad	*ubilaz	yfel 	/ˈyvel/	ill 	min 	slecht 	sleg 	slecht 	sjlech 	schlääch, schläächt 	schlecht 	schlecht 	שלעכט (shlekht) 	illr	dårlig 	dålig 	ringur 	vondur, slæmur 	ille, vond, dårlig 	ill, vond, dåleg 	𐌿𐌱𐌹𐌻𐍃 (ubils)
187	adjective	rotten	*fausaz, *rutāndz	fūl, ġerotod 	/fuːl/, /jeˈrotod/	rotten 	ferrotte, bedoarn 	rot 	vrot 	rott 	bedorve 	fuul, foul 	faul 	verrottet 	פֿאַרפֿוילט (farfoylt) 	rotinn	rådden 	rutten 	rotin 	fúinn, rotinn 	råtten 	ròten 	
188	adjective	dirty	*fūlaz	horiġ 	/ˈhorij/	dirty 	smoarch 	vuil, vies 	vuil 	fuul, smuddelig 	vies 	dreckig, dreckelig 	knaschteg, dreckeg 	schmutzig 	שמוציק (shmutsik) 	skitinn	snavset, beskidt 	smutsig 	skitin 	skítugur, óhreinn 	skitten 	møkut, skiten 	[Term?]
189	adjective	straight	*strakaz	riht 	/riçt/	straucht 	rjocht 	recht 	reguit 	jüst, nett, graad 	rech 	jrad, grad 	riicht 	gerade 	גלײַך (glaykh), גראָד (grod) 	beinn	lige 	rak 	beinur 	beinn 	rett 	rett, bein, rak 	𐍂𐌰𐌹𐌷𐍄𐍃 (raihts)
190	adjective	round	*trindaz, *kraitijaz	sinewealt 	/ˈsinewæɑ̯ɫt/	roond 	rûn 	rond 	rond 	rund 	róndj 	rond, ronk 	ronn 	rund 	קײַלעכיק (kaylechik) 	kringlóttr	rund 	rund 	rundur 	kringlóttur 	rund 	rund 	[Term?]
191	adjective	sharp (as a knife)	*hwassaz	sċearp 	/ʃæɑ̯rˠp/	shairp 	skerp 	scherp 	skerp 	scharp 	sjerp 	schärp, scharp, scharf 	schaarf 	scharf 	שאַרף (sharf) 	skarpr	skarp 	vass 	hvassur 	beittur, hvass, skarpur 	skarp 	skarp, kvass 	*𐍈𐌰𐍃𐍃 (*ƕass) (only in derivatives)
192	adjective	dull (as a knife)	*slaiwaz	stump 	/stump/	dull 	stomp 	stomp, bot 	stomp 	stuuf, stump 	sjtómp 	stomp, schlieh 	stomp 	stumpf 	טעמפּ (temp) 	sljór, sljár, slær	sløv, stump 	slö 	óhvassur 	bitlaus 	sløv 	slø 	[Term?]
193	adjective	smooth	*slihtaz	smēþe 	/ˈsmeːðe/	smuith 	glêd 	glad 	glad 	glatt, even, week 	glad 	jlatt, glatt, glaat 	glat 	glatt 	גלאַט (glat) 	sléttr	glat 	len, slät 	slættur 	sleipur, sléttur 	jevn, slett, glatt 	jamn, slett 	𐍃𐌻𐌰𐌹𐌷𐍄𐍃 (slaihts)
194	adjective	wet	*wētaz, *nataz	wǣt 	/wæːt/	weet 	wiet 	nat 	nat 	natt 	naat 	naaß 	naass 	nass, feucht 	נאַס (nas) 	vátr, blautr	våd 	våt, blöt 	vátur 	blautur 	våt, bløt 	våt, blaut 	[Term?]
195	adjective	dry	*þursuz	drȳġe 	/ˈdryːje/	drouth 	droech 	droog 	droog 	dröög 	druug 	drüch, drei, dreche 	dréchen 	trocken 	טרוקן (trukn), פֿאַרטריקנט (fartriknt) 	þurr	tør 	torr 	turrur 	þurr 	tørr 	tørr, turr 	𐌸𐌰𐌿𐍂𐍃𐌿𐍃 (þaursus)
196	adjective	correct	*rehtaz	riht 	/riçt/	correct, richt 	korrekt 	juist, correct 	reg, korrek 	richtig 	zjus 	richtig, rääch 	richteg 	richtig 	ריכטיק (rikhtik) 	réttr, réttligr	rigtig 	rätt, riktig 	rættur 	réttur 	rett, riktig 	rett 	𐍃𐌿𐌽𐌾𐌹𐍃 (sunjis), 𐍂𐌰𐌹𐌷𐍄𐍃 (raihts)
197	adjective	near	*nēhwaz	nēah 	/næːɑ̯x/	near/naur 	tichteby 	dichtbij 	naby 	dichtbi 	kortbie 	noh 	no, nobäi 	nah, nahe 	בײַ (bay), נאָענט (noent) 	nær, hjá	nær 	nära 	nær 	nálægur 	nær, nærme, nære 	nær, nære 	𐌽𐌴𐍈𐌰 (nēƕa)
198	adjective	far	*ferrai	feorr 	/feo̯rˠː/	faur 	fier 	ver 	ver 	feern, wiet 	wiedeweg 	weck, wick, weit 	wäit, wäit ewech 	weit, fern 	ווײַט (vayt) 	fjarri	langt væk, fjern 	långt bort, fjärran 	fjarur 	langt 	langt 	langt 	𐍆𐌰𐌹𐍂𐍂𐌰 (fairra)
199	adjective	right	*tehswô	swīþra 	/ˈswiːðrɑ/	richt 	rjochts 	rechts 	regs 	rechts 	rechs 	rääs, rääts, riets 	riets 	rechts 	רעכץ (rekhts) 	réttr, hœgr	højre 	höger 	høgra 	hægri 	høyre 	høgre 	𐍄𐌰𐌹𐌷𐍃𐍅𐌰 (taihswa)
200	adjective	left	*winistraz	winestra 	/ˈwinestrɑ/	left 	lofts 	links 	links 	links 	links 	lenks 	lénks 	links 	לינקס (links) 	vinstri	venstre 	vänster 	vinstra 	vinstri 	venstre 	venstre, vinstre 	𐌷𐌻𐌴𐌹𐌳𐌿𐌼𐌰 (hleiduma)
201	preposition	at	*at	æt 	/æt/	at, by 	iet 	aan, te, bij 	by 	bi 	bie 	aan, bei, op 	an, bei, drun, op 	bei, an 	בײַ (bay), אויף (oyf) 	á	hos, ved 	hos, vid 	hjá 	hjá 	hos, på 	hjå, hos, på 	𐌱𐌹 (bi), 𐌰𐍄 (at)
202	preposition	in	*in	on 	/on/	in 	yn 	in 	in, binne 	in 	in 	en, on 	an, dran 	in 	אין (in), אַרײַן (arayn) 	í	i 	i 	í 	í 	i 	i 	𐌹𐌽 (in)
203	preposition	with	*midi	mid 	/mid/	wi 	mei 	met 	met 	mit 	mit 	met, mot 	mat 	mit 	מיט (mit) 	með	med 	med 	við, med 	með 	med 	med 	𐌼𐌹𐌸 (miþ)
204	preposition	and	*andi	and 	/ɒnd/	an 	en 	en 	en 	un 	en 	un, on, en 	an 	und 	און (un) 	ok	og 	och 	og 	og 	og 	og 	𐌾𐌰𐌷 (jah)
205	preposition	if	*jabai	ġif 	/jif/	gin, gif 	at 	als, indien 	as 	wenn, as, wennehr 	es 	wann, wenn 	wann 	wenn, falls, ob 	אויב (oyb), באם (be'im), טאָמער (tomer) 	ef	hvis 	om 	um 	ef 	hvis, om 	om 	𐌾𐌰𐌱𐌰𐌹 (jabai)
206	preposition	because	*hwandê	for þon þe (because), for (because of) 	/for θon θe/, /for/	acause 	omdat 	omdat 	omdat 	wielt, wiel dat 	ómdat 	weil 	well 	weil 	ווײַל (vayl), צוליב (tsulib) 	því at	fordi 	eftersom, ty 	tí 	því, af því að 	fordi, på grunn av 	av di, på grunn av at 	𐌿𐌽𐍄𐌴 (untē)
207	noun	name	*namô	nama 	/ˈnɒmɑ/ 	name 	namme 	naam 	naam 	Naam 	naam 	Nam, Name 	Numm 	Name 	נאָמען (nomen) 	nafn 	navn 	namn 	navn 	nafn 	navn 	namn 	𐌽𐌰𐌼𐍉 (namō) 
																							
																							
