a 	 interjection 	 hah 	 hah!
pha 	 noun 	 short 	 a short, and astonishing and/or exciting, incident
pha 	 noun 	 incident 	 a short, and astonishing and/or exciting, incident
pha 	 noun 	 astonishing 	 a short, and astonishing and/or exciting, incident
pha 	 noun 	 exciting 	 a short, and astonishing and/or exciting, incident
pha 	 noun 	 phase 	 a phase; a stage
pha 	 noun 	 stage 	 a phase; a stage
pha 	 noun 	 headlight 	 a headlight
quên 	 verb 	 forget 	 to forget
quyện 	 verb 	 adhere 	 stick, adhere
quyện 	 verb 	 stick 	 stick, adhere
riềng 	 noun 	 Alpinia 	 Alpinia
trận 	 noun 	 formation 	 a battle formation
trận 	 noun 	 battle 	 a battle formation
phổi 	 noun 	 lung 	 lung
phoi 	 noun 	 shavings 	 shavings
phơi 	 verb 	 air out 	 to air out
phơi 	 verb 	 expose 	 to expose
phới 	 verb 	 leave 	 leave quickly
phòi 	 verb 	 come out 	 to come out
xẹp 	 adjective 	 flat 	 flat
xẹp 	 verb 	 go down 	 to go down
ịch 	 noun 	 thud 	 thud
chích 	 verb 	 prick 	 to prick
chích 	 verb 	 sting 	 to sting
chích 	 verb 	 inject 	 to inject
sắp 	 particle 	 about to 	 about to
sắp 	 verb 	 arrange 	 to arrange
sếp 	 noun 	 chief 	 chief; boss
sếp 	 noun 	 boss 	 chief; boss
thạo 	 adjective 	 experienced 	 proficient, skilled, experienced
thạo 	 adjective 	 proficient 	 proficient, skilled, experienced
thạo 	 adjective 	 skilled 	 proficient, skilled, experienced
ách 	 noun 	 yoke 	 yoke
ách 	 verb 	 stop 	 to stop
xối 	 verb 	 pour 	 to pour down
thấp 	 adjective 	 short 	 short
thấp 	 adjective 	 low 	 low
phụ 	 verb 	 aid 	 to aid, to help, to assist
phụ 	 verb 	 help 	 to aid, to help, to assist
phụ 	 verb 	 assist 	 to aid, to help, to assist
phụ 	 verb 	 disappoint 	 to disappoint
hoàng 	 adjective 	 yellow 	 yellow
hoàng 	 noun 	 emperor 	 king, emperor, prince
hoàng 	 noun 	 king 	 king, emperor, prince
hoàng 	 noun 	 prince 	 king, emperor, prince
chúa 	 noun 	 retired 	 the retired father of a monarch of feudal Vietnam
chúa 	 noun 	 feudal 	 the retired father of a monarch of feudal Vietnam
chúa 	 noun 	 monarch 	 the retired father of a monarch of feudal Vietnam
chúa 	 noun 	 father 	 the retired father of a monarch of feudal Vietnam
chúa 	 noun 	 Vietnam 	 the retired father of a monarch of feudal Vietnam
chúa 	 noun 	 pinnacle 	 overlord) someone who is the "pinnacle" of something
chúa 	 adverb 	 mighty 	 very; mighty
chúa 	 adverb 	 very 	 very; mighty
công 	 noun 	 peacock 	 peafowl; peacock
công 	 noun 	 peafowl 	 peafowl; peacock
công 	 noun 	 pay 	 the amount of labor that will factor in your pay
công 	 noun 	 amount 	 the amount of labor that will factor in your pay
công 	 noun 	 factor 	 the amount of labor that will factor in your pay
công 	 noun 	 labor 	 the amount of labor that will factor in your pay
công 	 noun 	 work 	 work
công 	 noun 	 accomplishment 	 accomplishment
công 	 noun 	 women 	 competence, one of the |four virtues that women are supposed to have
công 	 noun 	 competence 	 competence, one of the |four virtues that women are supposed to have
công 	 adjective 	 public 	 public or state-owned
công 	 adjective 	 state-owned 	 public or state-owned
lệ chi 	 noun 	 lychee 	 lychee
vải 	 noun 	 cloth 	 cloth, fabric
vải 	 noun 	 fabric 	 cloth, fabric
vải 	 noun 	 lychee 	 lychee
khế 	 noun 	 star fruit 	 carambola, star fruit
khế 	 noun 	 carambola 	 carambola, star fruit
tiên 	 adverb 	 firstAdverb 	 first; prior; before
tiên 	 adverb 	 beforeAdverb 	 first; prior; before
tiên 	 adverb 	 priorAdverb 	 first; prior; before
tiên 	 noun 	 human 	 a hermit  who trains themself for thousands of years to become a god, or a state of existence between a human  and a god
tiên 	 noun 	 become 	 a hermit  who trains themself for thousands of years to become a god, or a state of existence between a human  and a god
tiên 	 noun 	 state 	 a hermit  who trains themself for thousands of years to become a god, or a state of existence between a human  and a god
tiên 	 noun 	 hermit 	 a hermit  who trains themself for thousands of years to become a god, or a state of existence between a human  and a god
tiên 	 noun 	 thousands 	 a hermit  who trains themself for thousands of years to become a god, or a state of existence between a human  and a god
tiên 	 noun 	 god 	 a hermit  who trains themself for thousands of years to become a god, or a state of existence between a human  and a god
tiên 	 noun 	 year 	 a hermit  who trains themself for thousands of years to become a god, or a state of existence between a human  and a god
tiên 	 noun 	 existence 	 a hermit  who trains themself for thousands of years to become a god, or a state of existence between a human  and a god
tiên 	 noun 	 train 	 a hermit  who trains themself for thousands of years to become a god, or a state of existence between a human  and a god
tiên 	 noun 	 creature 	 a fine, beautiful creature such as a fairy, a pixie, an undine, an elf, a dryad, a mermaid, etc
tiên 	 noun 	 elf 	 a fine, beautiful creature such as a fairy, a pixie, an undine, an elf, a dryad, a mermaid, etc
tiên 	 noun 	 pixie 	 a fine, beautiful creature such as a fairy, a pixie, an undine, an elf, a dryad, a mermaid, etc
tiên 	 noun 	 fairy 	 a fine, beautiful creature such as a fairy, a pixie, an undine, an elf, a dryad, a mermaid, etc
tiên 	 noun 	 fine 	 a fine, beautiful creature such as a fairy, a pixie, an undine, an elf, a dryad, a mermaid, etc
tiên 	 noun 	 dryad 	 a fine, beautiful creature such as a fairy, a pixie, an undine, an elf, a dryad, a mermaid, etc
tiên 	 noun 	 mermaid 	 a fine, beautiful creature such as a fairy, a pixie, an undine, an elf, a dryad, a mermaid, etc
tiên 	 noun 	 beautiful 	 a fine, beautiful creature such as a fairy, a pixie, an undine, an elf, a dryad, a mermaid, etc
tiên 	 noun 	 undine 	 a fine, beautiful creature such as a fairy, a pixie, an undine, an elf, a dryad, a mermaid, etc
nhàu 	 noun 	 noni 	 Morinda citrifolia, noni
nhàu 	 noun 	 Morinda citrifolia 	 Morinda citrifolia, noni
nhàu 	 adjective 	 wrinkled 	 be wrinkled
xa kê 	 noun 	 breadfruit 	 breadfruit
loài 	 noun 	 species 	 species
phổ 	 verb 	 song 	 to compose a score, arrange, or write lyrics to a song
phổ 	 verb 	 write 	 to compose a score, arrange, or write lyrics to a song
phổ 	 verb 	 arrange 	 to compose a score, arrange, or write lyrics to a song
phổ 	 verb 	 lyrics 	 to compose a score, arrange, or write lyrics to a song
phổ 	 verb 	 score 	 to compose a score, arrange, or write lyrics to a song
phổ 	 verb 	 compose 	 to compose a score, arrange, or write lyrics to a song
phổ 	 verb 	 poem 	 to write a poem
phổ 	 verb 	 write 	 to write a poem
phổ 	 noun 	 light spectrum 	 |light spectrum
phổ 	 noun 	 iron 	 |iron-filing representation of a magnetic field
phổ 	 noun 	 magnetic field 	 |iron-filing representation of a magnetic field
phổ 	 noun 	 representation 	 |iron-filing representation of a magnetic field
phổ 	 noun 	 filing 	 |iron-filing representation of a magnetic field
phát 	 verb 	 dispense 	 to distribute, to dispense, to issue, to deliver
phát 	 verb 	 deliver 	 to distribute, to dispense, to issue, to deliver
phát 	 verb 	 distribute 	 to distribute, to dispense, to issue, to deliver
phát 	 verb 	 issue 	 to distribute, to dispense, to issue, to deliver
phát 	 verb 	 slash 	 to slash grass or weeds
phát 	 verb 	 grass 	 to slash grass or weeds
phát 	 verb 	 weeds 	 to slash grass or weeds
chuỗi 	 noun 	 string 	 chain, string, series
chuỗi 	 noun 	 series 	 chain, string, series
chuỗi 	 noun 	 chain 	 chain, string, series
bứa 	 noun 	 Garcinia 	 plants in the genus Garcinia
bứa 	 noun 	 genus 	 plants in the genus Garcinia
gấc 	 noun 	 gac 	 gac
phèn 	 noun 	 alum 	 alum
canh 	 verb 	 guard 	 to watch, to guard
canh 	 verb 	 watch 	 to watch, to guard
chấm 	 noun 	 point 	 dot, point
chấm 	 noun 	 dot 	 dot, point
chấm 	 verb 	 dip 	 to dip
cúc 	 noun 	 chrysanthemum 	 daisy; chrysanthemum
cúc 	 noun 	 daisy 	 daisy; chrysanthemum
cúc 	 noun 	 ammonite 	 ammonite
cúc 	 noun 	 button 	 button
cúc 	 noun 	 antlion 	 antlion
đơn 	 noun 	 application 	 application, petition, request
đơn 	 noun 	 request 	 application, petition, request
đơn 	 noun 	 petition 	 application, petition, request
đơn 	 noun 	 alone 	 alone, only
đơn 	 noun 	 only 	 alone, only
thực 	 adjective 	 true 	 true, real
thực 	 adjective 	 real 	 true, real
thực 	 noun 	 food 	 food
bổ 	 verb 	 axis 	 to split firewood by the axis of each log
bổ 	 verb 	 firewood 	 to split firewood by the axis of each log
bổ 	 verb 	 split 	 to split firewood by the axis of each log
bổ 	 verb 	 log 	 to split firewood by the axis of each log
bổ 	 verb 	 each 	 to split firewood by the axis of each log
bổ 	 verb 	 axis 	 to chop a piece of fruit, especially a large one, by its axis to divide it into smaller pieces for consumption
bổ 	 verb 	 large 	 to chop a piece of fruit, especially a large one, by its axis to divide it into smaller pieces for consumption
bổ 	 verb 	 consumption 	 to chop a piece of fruit, especially a large one, by its axis to divide it into smaller pieces for consumption
bổ 	 verb 	 fruit 	 to chop a piece of fruit, especially a large one, by its axis to divide it into smaller pieces for consumption
bổ 	 verb 	 divide 	 to chop a piece of fruit, especially a large one, by its axis to divide it into smaller pieces for consumption
bổ 	 verb 	 small 	 to chop a piece of fruit, especially a large one, by its axis to divide it into smaller pieces for consumption
bổ 	 verb 	 piece 	 to chop a piece of fruit, especially a large one, by its axis to divide it into smaller pieces for consumption
bổ 	 verb 	 chop 	 to chop a piece of fruit, especially a large one, by its axis to divide it into smaller pieces for consumption
bổ 	 verb 	 fall 	 to trip and fall onto the ground
bổ 	 verb 	 trip 	 to trip and fall onto the ground
bổ 	 verb 	 ground 	 to trip and fall onto the ground
bổ 	 adverb 	 quickly 	 quickly and heavily to the ground
bổ 	 adverb 	 heavily 	 quickly and heavily to the ground
bổ 	 adverb 	 ground 	 quickly and heavily to the ground
bổ 	 adjective 	 healthy 	 healthy; wholesome
bổ 	 adjective 	 wholesome 	 healthy; wholesome
lương 	 noun 	 pay 	 pay; earnings
lương 	 noun 	 earnings 	 pay; earnings
hệch 	 verb 	 gape 	 gape
kệch 	 adjective 	 coarse 	 coarse
rách 	 adjective 	 torn 	 be torn
thách 	 verb 	 dare 	 to challenge; to dare
thách 	 verb 	 challenge 	 to challenge; to dare
đạc 	 verb 	 measure 	 measure
sức 	 noun 	 power 	 strength; power
sức 	 noun 	 strength 	 strength; power
lực 	 noun 	 force 	 force
sệt 	 adjective 	 thick 	 very thick, viscous
sệt 	 adjective 	 viscous 	 very thick, viscous
sọt 	 noun 	 basket 	 basket
sọt 	 noun 	 cylindrical 	 cylindrical crate
sọt 	 noun 	 crate 	 cylindrical crate
rửa 	 verb 	 wash 	 to wash something non-fabric and non-rice
rửa 	 verb 	 fabric 	 to wash something non-fabric and non-rice
rửa 	 verb 	 rice 	 to wash something non-fabric and non-rice
rữa 	 verb 	 decompose 	 to decompose
rủa 	 verb 	 curse 	 to curse
rũa 	 verb 	 rotten 	 to be rotten
ập 	 verb 	 rush 	 to rush in
ập 	 verb 	 rush 	 to rush down
ấp 	 noun 	 hamlet 	 hamlet
ấp 	 verb 	 embrace 	 to embrace, to hug
ấp 	 verb 	 hug 	 to embrace, to hug
ấp 	 verb 	 incubate 	 to hatch, to brood, to sit, to incubate
ấp 	 verb 	 hatch 	 to hatch, to brood, to sit, to incubate
ấp 	 verb 	 brood 	 to hatch, to brood, to sit, to incubate
ấp 	 verb 	 sit 	 to hatch, to brood, to sit, to incubate
giũa 	 verb 	 file 	 to file
giũa 	 noun 	 file 	 file
thúng 	 noun 	 basket 	 basket
quặt 	 verb 	 turn 	 to turn
quật 	 verb 	 dig up 	 to dig up, to disinter
quật 	 verb 	 disinter 	 to dig up, to disinter
quật 	 verb 	 whip 	 to beat; to lash; to whip
quật 	 verb 	 beat 	 to beat; to lash; to whip
quật 	 verb 	 lash 	 to beat; to lash; to whip
巡洋艦 	 noun 	 cruiser 	 cruiser
điện 	 noun 	 electricity 	 electricity
điện 	 noun 	 electric current 	 |electric current
điện 	 noun 	 telegram 	 |telegram
điện 	 noun 	 telephone 	 |telephone; phone
điện 	 noun 	 phone 	 |telephone; phone
điện 	 noun 	 electric 	 electric lights
điện 	 noun 	 light 	 electric lights
điện 	 verb 	 phone call 	 to send telegram or to make a phone call
điện 	 verb 	 send 	 to send telegram or to make a phone call
điện 	 verb 	 telegram 	 to send telegram or to make a phone call
điện 	 verb 	 make 	 to send telegram or to make a phone call
điện 	 noun 	 shrine 	 |temple; shrine
điện 	 noun 	 temple 	 |temple; shrine
cứu 	 verb 	 save 	 to save, to rescue, to relieve
cứu 	 verb 	 rescue 	 to save, to rescue, to relieve
cứu 	 verb 	 relieve 	 to save, to rescue, to relieve
giảnh 	 verb 	 prick up 	 to prick up
hứng 	 noun 	 interest 	 inspiration, interest
hứng 	 noun 	 inspiration 	 inspiration, interest
hứng 	 verb 	 catch 	 to catch a falling object
hứng 	 verb 	 falling 	 to catch a falling object
hứng 	 verb 	 object 	 to catch a falling object
ngoắc 	 verb 	 hook 	 hang , hook
ngoắc 	 verb 	 hang 	 hang , hook
ngoặc 	 noun 	 quotation mark 	 |double quotation mark
ngoặc 	 noun 	 double 	 |double quotation mark
ngoảy 	 verb 	 anger 	 to turn away in anger
ngoảy 	 verb 	 turn away 	 to turn away in anger
thợ 	 noun 	 laborer 	 a laborer, artisan or technician
thợ 	 noun 	 artisan 	 a laborer, artisan or technician
thợ 	 noun 	 technician 	 a laborer, artisan or technician
đao 	 noun 	 katana 	 a katana
đao 	 noun 	 Down syndrome 	 Down syndrome
vây 	 verb 	 encircle 	 to encircle
cung 	 noun 	 palace 	 a palace
cung 	 noun 	 sign 	 a sign
cung 	 noun 	 bow 	 bow
cung 	 noun 	 arc 	 arc
cung 	 noun 	 supply 	 supply
cung 	 noun 	 demand 	 |demand
大佐 	 noun 	 commodore 	 commodore
quất 	 noun 	 kumquat 	 kumquat
quất 	 verb 	 whip 	 to lash, to whip
quất 	 verb 	 lash 	 to lash, to whip
quất 	 verb 	 drastically 	 to do something drastically and redundantly
quất 	 verb 	 redundantly 	 to do something drastically and redundantly
quất 	 verb 	 sexual intercourse 	 to fuck; to have sexual intercourse
quất 	 verb 	 fuck 	 to fuck; to have sexual intercourse
tạo 	 verb 	 form 	 to create, to make, to form, to cause
tạo 	 verb 	 make 	 to create, to make, to form, to cause
tạo 	 verb 	 create 	 to create, to make, to form, to cause
tạo 	 verb 	 cause 	 to create, to make, to form, to cause
phè 	 adverb 	 excessively 	 excessively
kêu 	 verb 	 call 	 to call, to cry
kêu 	 verb 	 cry 	 to call, to cry
kêu 	 noun 	 call 	 call
nhóm 	 noun 	 group 	 group
nhóm 	 verb 	 form 	 to team up, to form a group
nhóm 	 verb 	 team up 	 to team up, to form a group
nhóm 	 verb 	 fire 	 to make a fire, to start a fire, to kindle
nhóm 	 verb 	 kindle 	 to make a fire, to start a fire, to kindle
nhóm 	 verb 	 start 	 to make a fire, to start a fire, to kindle
nhóm 	 verb 	 make 	 to make a fire, to start a fire, to kindle
kết 	 verb 	 plait 	 to plait, to tie in knots
kết 	 verb 	 tie 	 to plait, to tie in knots
kết 	 verb 	 knots 	 to plait, to tie in knots
kết 	 verb 	 bear 	 to bear
kết 	 verb 	 crush 	 to have a crush on someone, to show love interest in someone
kết 	 verb 	 love interest 	 to have a crush on someone, to show love interest in someone
kết 	 verb 	 show 	 to have a crush on someone, to show love interest in someone
kết 	 verb 	 have 	 to have a crush on someone, to show love interest in someone
kết 	 noun 	 ending 	 end; ending
kết 	 noun 	 end 	 end; ending
mẫu 	 noun 	 style 	 a design, model, style, etc
mẫu 	 noun 	 model 	 a design, model, style, etc
mẫu 	 noun 	 design 	 a design, model, style, etc
mẫu 	 noun 	 acre 	 acre
mẫu 	 noun 	 mother 	 mother
siêu 	 adverb 	 super-duper 	 super; super-duper
siêu 	 adverb 	 super 	 super; super-duper
siêu 	 adjective 	 good 	 outstanding; very good
siêu 	 adjective 	 very 	 outstanding; very good
thị 	 noun 	 persimmon 	 yellow persimmon , noshow=1|ver=161017
thị 	 noun 	 yellow 	 yellow persimmon , noshow=1|ver=161017
thị 	 noun 	 market 	 market
thị 	 pronoun 	 she 	 she/her, that criminal
thị 	 pronoun 	 criminal 	 she/her, that criminal
thị 	 pronoun 	 her 	 she/her, that criminal
thị 	 verb 	 see 	 to see
khoá 	 noun 	 lock 	 |lock; padlock
khoá 	 noun 	 padlock 	 |lock; padlock
khoá 	 verb 	 lock 	 to lock
khoá 	 verb 	 turn off 	 to turn off ; to close
khoá 	 verb 	 close 	 to turn off ; to close
khoá 	 noun 	 key 	 key
khoá 	 noun 	 term 	 term; course; round
khoá 	 noun 	 round 	 term; course; round
khoá 	 noun 	 course 	 term; course; round
lắc 	 verb 	 wag 	 to shake; to wag; to bump
lắc 	 verb 	 bump 	 to shake; to wag; to bump
lắc 	 verb 	 shake 	 to shake; to wag; to bump
lắc 	 noun 	 anklet 	 bracelet; anklet
lắc 	 noun 	 bracelet 	 bracelet; anklet
châu 	 noun 	 continent 	 |geopolitical continent
châu 	 noun 	 geopolitical 	 |geopolitical continent
châu 	 noun 	 Antarctica 	 the same as châu lục, minus Antarctica
châu 	 noun 	 jewel 	 precious stone, gem, jewel, pearl
châu 	 noun 	 gem 	 precious stone, gem, jewel, pearl
châu 	 noun 	 pearl 	 precious stone, gem, jewel, pearl
châu 	 noun 	 precious stone 	 precious stone, gem, jewel, pearl
châu 	 verb 	 together 	 to huddle together
châu 	 verb 	 huddle 	 to huddle together
xảo 	 adjective 	 artful 	 artful
迷信 	 verb 	 superstitious 	 to be superstitious
bích 	 adjective 	 green 	 bluish green
bích 	 adjective 	 bluish 	 bluish green
bệch 	 adjective 	 chalky 	 chalky; sickly white
bệch 	 adjective 	 white 	 chalky; sickly white
bệch 	 adjective 	 sickly 	 chalky; sickly white
bịch 	 verb 	 hard 	 to hit hard
bịch 	 verb 	 hit 	 to hit hard
bịch 	 adjective 	 thud 	 a thudding noise from a heavy object flopping over
bịch 	 adjective 	 flop 	 a thudding noise from a heavy object flopping over
bịch 	 adjective 	 object 	 a thudding noise from a heavy object flopping over
bịch 	 adjective 	 heavy 	 a thudding noise from a heavy object flopping over
bịch 	 adjective 	 noise 	 a thudding noise from a heavy object flopping over
bịch 	 noun 	 basket 	 cylindrical bamboo tank; basket
bịch 	 noun 	 cylindrical 	 cylindrical bamboo tank; basket
bịch 	 noun 	 tank 	 cylindrical bamboo tank; basket
bịch 	 noun 	 bamboo 	 cylindrical bamboo tank; basket
bịch 	 noun 	 pack 	 pack; packet
bịch 	 noun 	 packet 	 pack; packet
cuốc 	 noun 	 swamphen 	 swamphen
cuốc 	 noun 	 hoe 	 hoe
cuốc 	 verb 	 hoe 	 to hoe
cuốc 	 noun 	 errand 	 errand
cút 	 noun 	 quail 	 quail
cút 	 noun 	 measuring 	 a bottle-shaped container with an approximate volume of 1/4 or 1/8 litres, often used for holding liquor or used as a measuring vessel
cút 	 noun 	 litre 	 a bottle-shaped container with an approximate volume of 1/4 or 1/8 litres, often used for holding liquor or used as a measuring vessel
cút 	 noun 	 vessel 	 a bottle-shaped container with an approximate volume of 1/4 or 1/8 litres, often used for holding liquor or used as a measuring vessel
cút 	 noun 	 bottle 	 a bottle-shaped container with an approximate volume of 1/4 or 1/8 litres, often used for holding liquor or used as a measuring vessel
cút 	 noun 	 liquor 	 a bottle-shaped container with an approximate volume of 1/4 or 1/8 litres, often used for holding liquor or used as a measuring vessel
cút 	 noun 	 container 	 a bottle-shaped container with an approximate volume of 1/4 or 1/8 litres, often used for holding liquor or used as a measuring vessel
cút 	 noun 	 volume 	 a bottle-shaped container with an approximate volume of 1/4 or 1/8 litres, often used for holding liquor or used as a measuring vessel
cút 	 interjection 	 beat it 	 Beat it!; Take a hike!; Get lost!
cút 	 interjection 	 take a hike 	 Beat it!; Take a hike!; Get lost!
cút 	 interjection 	 get lost 	 Beat it!; Take a hike!; Get lost!
cút 	 verb 	 beat it 	 to beat it; to take a hike; to get lost
cút 	 verb 	 take a hike 	 to beat it; to take a hike; to get lost
cút 	 verb 	 get lost 	 to beat it; to take a hike; to get lost
điên 	 adjective 	 rabid 	 rabid
điên 	 adjective 	 mad 	 insane, mad
điên 	 adjective 	 insane 	 insane, mad
chưng 	 verb 	 show off 	 to show off, to sport
chưng 	 verb 	 sport 	 to show off, to sport
chưng 	 verb 	 distill 	 to distill
thỏ 	 noun 	 rabbit 	 a rabbit
thỏ 	 noun 	 leporid 	 a leporid
lộc 	 noun 	 bud 	 bud
lộc 	 noun 	 bud 	 to bud
lộc 	 noun 	 pay 	 some sort of pay/salary of a mandarin/courtier
lộc 	 noun 	 courtier 	 some sort of pay/salary of a mandarin/courtier
lộc 	 noun 	 salary 	 some sort of pay/salary of a mandarin/courtier
lộc 	 noun 	 mandarin 	 some sort of pay/salary of a mandarin/courtier
cẩu 	 verb 	 lift 	 to lift with a crane
cẩu 	 verb 	 crane 	 to lift with a crane
dơi 	 noun 	 bat 	 bat
khung 	 noun 	 frame 	 frame
khung 	 noun 	 frame 	 chassis;  frame
khung 	 noun 	 chassis 	 chassis;  frame
khung 	 noun 	 skeleton 	 framework; skeleton
khung 	 noun 	 framework 	 framework; skeleton
khựng 	 verb 	 suddenly 	 to stop suddenly
khựng 	 verb 	 stop 	 to stop suddenly
khứng 	 verb 	 consent 	 consent, accept, agree
khứng 	 verb 	 accept 	 consent, accept, agree
khứng 	 verb 	 agree 	 consent, accept, agree
lãnh 	 noun 	 satin 	 satin
lãnh 	 verb 	 receive 	 to receive, to get
lãnh 	 verb 	 get 	 to receive, to get
bọ 	 noun 	 bug 	 insect; bug
bọ 	 noun 	 insect 	 insect; bug
bọ 	 noun 	 guinea pig 	 guinea pig
bọ 	 noun 	 dad 	 father; dad
bọ 	 noun 	 father 	 father; dad
ngự 	 adjective 	 royal 	 royal
túi 	 noun 	 bag 	 bag
túi 	 noun 	 pocket 	 pocket
túi 	 noun 	 pouch 	 pouch
hùm 	 noun 	 tiger 	 tiger Panthera tigris
cọp 	 noun 	 tiger 	 tiger
sồi 	 noun 	 oak 	 oak
dâu 	 noun 	 mulberry 	 mulberry
dâu 	 noun 	 strawberry 	 strawberry
dâu 	 noun 	 daughter-in-law 	 daughter-in-law
dâu 	 noun 	 bride 	 |bride
tằm 	 noun 	 silkworm 	 silkworm
tạm 	 adjective 	 temporary 	 temporary
tạm 	 adjective 	 decent 	 not bad, somewhat decent
tạm 	 adjective 	 bad 	 not bad, somewhat decent
lăng 	 noun 	 mausoleum 	 a mausoleum
su su 	 noun 	 chayote 	 chayote
đế 	 noun 	 sole 	 sole
đế 	 noun 	 emperor 	 emperor of an empire
đế 	 adjective 	 emperor 	 pertaining to an emperor or an empire
đế 	 adjective 	 empire 	 pertaining to an emperor or an empire
đột 	 verb 	 sew 	 to sew, to stitch
đột 	 verb 	 stitch 	 to sew, to stitch
kình 	 noun 	 whale 	 whale
nhông 	 noun 	 agama 	 agama
chảo 	 noun 	 cookware 	 a pan-like item of cookware; a pan, a wok, etc
chảo 	 noun 	 item 	 a pan-like item of cookware; a pan, a wok, etc
chảo 	 noun 	 pan 	 a pan-like item of cookware; a pan, a wok, etc
chảo 	 noun 	 wok 	 a pan-like item of cookware; a pan, a wok, etc
chảo 	 noun 	 dish 	 a dish type of antenna
dẽ 	 noun 	 curlew 	 curlew
dẽ 	 adjective 	 lumpy 	 lumpy
luận 	 noun 	 essay 	 essay
luồn 	 verb 	 pass through 	 to pass through
lườn 	 noun 	 keel 	 keel
lườn 	 noun 	 breast 	 breast
lườn 	 noun 	 filet 	 filet
lườn 	 noun 	 rib 	 rib
lượn 	 verb 	 soar 	 to soar, to hover, to glide
lượn 	 verb 	 hover 	 to soar, to hover, to glide
lượn 	 verb 	 glide 	 to soar, to hover, to glide
luôn 	 adverb 	 always 	 always
luôn 	 adverb 	 continually 	 continually
luôn 	 adverb 	 straight away 	 at once; straight away
luôn 	 adverb 	 at once 	 at once; straight away
lượm 	 verb 	 take up 	 to pick up, to take up
lượm 	 verb 	 pick up 	 to pick up, to take up
lườm 	 verb 	 glare 	 to glare at
lườm 	 verb 	 frown 	 |to frown
ức 	 noun 	 sternum 	 sternum
ức 	 noun 	 breast 	 breast
ức 	 verb 	 resent 	 to resent
chúc 	 verb 	 wish 	 to wish
chúc 	 verb 	 downward 	 to lean downward, to incline downward
chúc 	 verb 	 lean 	 to lean downward, to incline downward
chúc 	 verb 	 incline 	 to lean downward, to incline downward
gióc 	 verb 	 plait 	 to plait
dốc 	 verb 	 slope 	 to slope, to dip
dốc 	 verb 	 dip 	 to slope, to dip
dốc 	 noun 	 slope 	 slope
dốc 	 verb 	 pour out 	 to pour out; to empty; to exhaust
dốc 	 verb 	 exhaust 	 to pour out; to empty; to exhaust
dốc 	 verb 	 empty 	 to pour out; to empty; to exhaust
chạc 	 noun 	 fork 	 tree fork; tree crotch
chạc 	 noun 	 tree 	 tree fork; tree crotch
chạc 	 noun 	 crotch 	 tree fork; tree crotch
chạc 	 noun 	 rope 	 rope
trục 	 noun 	 axle 	 axle, axis
trục 	 noun 	 axis 	 axle, axis
trục 	 verb 	 lift 	 to lift
trắc 	 noun 	 kingwood 	 rosewood; kingwood
trắc 	 noun 	 rosewood 	 rosewood; kingwood
trát 	 verb 	 coat 	 to plaster, to coat, to smear
trát 	 verb 	 smear 	 to plaster, to coat, to smear
trát 	 verb 	 plaster 	 to plaster, to coat, to smear
trặc 	 verb 	 sprain 	 to sprain
cục 	 noun 	 office 	 an office under a |ministry
đu 	 noun 	 swing 	 swing
đu 	 verb 	 seesaw 	 to swing, to seesaw, to teeter
đu 	 verb 	 swing 	 to swing, to seesaw, to teeter
đu 	 verb 	 teeter 	 to swing, to seesaw, to teeter
nữa 	 adverb 	 more 	 more, further
nữa 	 adverb 	 further 	 more, further
nữa 	 adverb 	 longer 	 longer
nữa 	 interjection 	 encore 	 encore!
ềnh 	 verb 	 swell 	 to stick out, to swell
ềnh 	 verb 	 stick out 	 to stick out, to swell
ễnh 	 verb 	 swell 	 to swell
nhói 	 adjective 	 pain 	 stinging pain
nhói 	 adjective 	 stinging 	 stinging pain
nhoi 	 verb 	 emerge 	 to emerge
nhơi 	 verb 	 chew the cud 	 to chew the cud
nhởi 	 verb 	 play 	 to play
nhởi 	 verb 	 gambol 	 to frolic, to gambol
nhởi 	 verb 	 frolic 	 to frolic, to gambol
nhài 	 noun 	 jasmine 	 jasmine
nhài 	 noun 	 pin 	 paper fan pin
nhài 	 noun 	 paper 	 paper fan pin
nhài 	 noun 	 fan 	 paper fan pin
nhài 	 noun 	 abigail 	 maid; maidservant; abigail
nhài 	 noun 	 maidservant 	 maid; maidservant; abigail
nhài 	 noun 	 maid 	 maid; maidservant; abigail
suy 	 verb 	 carefully 	 to ponder over; to think carefully
suy 	 verb 	 ponder 	 to ponder over; to think carefully
suy 	 verb 	 over 	 to ponder over; to think carefully
suy 	 verb 	 think 	 to ponder over; to think carefully
suy 	 verb 	 decay 	 to decline; to decay
suy 	 verb 	 decline 	 to decline; to decay
suy 	 verb 	 fail 	 to fail
sầy 	 adjective 	 scratched 	 scratched
sẩy 	 verb 	 lose 	 to lose something
sậy 	 noun 	 reed 	 reed
sỉa 	 verb 	 slip 	 slip, stumble
sỉa 	 verb 	 stumble 	 slip, stumble
đuốc 	 noun 	 torch 	 torch
véo 	 verb 	 pinch 	 to pinch
vẻ 	 noun 	 appearance 	 look, appearance
vẻ 	 noun 	 look 	 look, appearance
vẽ 	 verb 	 draw 	 to draw; to paint
vẽ 	 verb 	 paint 	 to draw; to paint
vẽ 	 verb 	 contrive 	 to contrive
vé 	 noun 	 ticket 	 ticket
về 	 verb 	 go back 	 to come back or go back
về 	 verb 	 come back 	 to come back or go back
