gratis 	 adverb 	 free 	 free, without charge
halleluja 	 interjection 	 hallelujah 	 hallelujah
bena 	 noun 	 parting 	 parting, a way of combing hair in which a line is formed, the hair to the right of which is combed to the right, and the hair to the left is combed to the left; the line so formed
bena 	 verb 	 benaSwedish 	 to comb the hair into a "bena&quot
slåss 	 verb 	 fight 	 to be in a fight
slåss 	 verb 	 fisticuff 	 to regularly be in fights or fisticuffs
hissa 	 verb 	 hoist 	 to hoist
hissa 	 verb 	 throw 	 to throw someone  in the air
hissa 	 verb 	 praise 	 to praise someone highly
lilja 	 noun 	 lily 	 a lily
lilja 	 noun 	 fleur-de-lis 	 a fleur-de-lis
gälla 	 verb 	 valid 	 to be valid; to be correct or proper
gälla 	 verb 	 regard 	 to concern; to regard; to be about
gälla 	 verb 	 concern 	 to concern; to regard; to be about
gälla 	 verb 	 geld 	 to geld; to castrate
gälla 	 verb 	 castrate 	 to geld; to castrate
latitud 	 noun 	 latitude 	 latitude; the angular distance north or south from the equator
hotell 	 noun 	 hotel 	 hotel
innovativ 	 adjective 	 innovative 	 innovative
morfem 	 noun 	 morpheme 	 morpheme
objekt 	 noun 	 object 	 an object
balett 	 noun 	 ballet 	 ballet
klor 	 noun 	 chlorine 	 chlorine
konflikt 	 noun 	 conflict 	 conflict
lösen 	 noun 	 ransom 	 ransom
lösen 	 noun 	 password 	 password
kontrovers 	 noun 	 controversy 	 controversy
ständig 	 adjective 	 permanent 	 permanent
ständig 	 adjective 	 incessant 	 incessant
torped 	 noun 	 torpedo 	 torpedo; an underwater weapon
torped 	 noun 	 hit man 	 hit man, a hired assassin; a person who use violence  against a specified target for pay
torped 	 noun 	 assassin 	 hit man, a hired assassin; a person who use violence  against a specified target for pay
lexikograf 	 noun 	 lexicographer 	 a lexicographer
kyl 	 noun 	 kylskåp 	 short for kylskåp: refrigerator
kyl 	 noun 	 refrigerator 	 short for kylskåp: refrigerator
zemstvo 	 noun 	 English 	 a zemstvo, a regional and local representation in Russia, introduced by a decree in 1864
cess 	 noun 	 C-flat 	 C-flat
mås 	 noun 	 gull 	 any of several species of smaller gulls
intervju 	 noun 	 interview 	 interview
elit 	 noun 	 elite 	 elite
elit 	 noun 	 best 	 The best of a group
ylle 	 noun 	 wool 	 wool
bet. 	 noun 	 definition 	 designation, definition; beteckning
bet. 	 noun 	 designation 	 designation, definition; beteckning
brus 	 noun 	 noise 	 noise; the sound of waves, wind, streaming water
brus 	 noun 	 noise 	 noise
backa 	 verb 	 retrace 	 to retrace one's steps; to move backwards
relä 	 noun 	 relay 	 a relay; an electrical actuator
ped 	 noun 	 bicycle 	 bicycle
stav 	 noun 	 staff 	 a staff, a rod
stav 	 noun 	 rod 	 a staff, a rod
stav 	 noun 	 letter 	 a letter
grina 	 verb 	 weep 	 to weep, to cry, to cry too much or for the wrong reason
grina 	 verb 	 cry 	 to weep, to cry, to cry too much or for the wrong reason
grina 	 verb 	 laugh 	 to laugh
bläck 	 noun 	 ink 	 ink; pigment or dye for writing, printing etc
klänga 	 verb 	 cling 	 to cling; hold tight
mörka 	 verb 	 hide 	 to hide; to perform a cover-up
mörka 	 verb 	 cover-up 	 to hide; to perform a cover-up
mörda 	 verb 	 assassinate 	 to murder; to assassinate
mörda 	 verb 	 murder 	 to murder; to assassinate
störa 	 verb 	 interfere 	 to disturb, to confuse or irritate, to interfere, to make noise
störa 	 verb 	 disturb 	 to disturb, to confuse or irritate, to interfere, to make noise
röra 	 noun 	 disorder 	 a mess, a disorder
röra 	 noun 	 mess 	 a mess, a disorder
röra 	 noun 	 mix 	 a mix
röra 	 verb 	 move 	 to move
röra 	 verb 	 touch 	 to touch
röra 	 verb 	 mix 	 to mix; to work something with the intention to create a mixture
bagare 	 noun 	 baker 	 a baker
hjord 	 noun 	 herd 	 herd; a number of beasts gathered
sölja 	 noun 	 woggle 	 a woggle
enorm 	 adjective 	 immense 	 enormous, immense, vast
enorm 	 adjective 	 enormous 	 enormous, immense, vast
enorm 	 adjective 	 vast 	 enormous, immense, vast
köa 	 verb 	 queue 	 to queue
göda 	 verb 	 feed 	 to feed someone  with the expressed purpose of causing him  to gain weight
subversiv 	 adjective 	 subversive 	 subversive
serbisk 	 adjective 	 Serbian 	 Serbian; related to Serbia or the Serbian language
serbisk 	 adjective 	 Serbia 	 Serbian; related to Serbia or the Serbian language
bön 	 noun 	 prayer 	 prayer
soppa 	 noun 	 soup 	 soup; a dish
soppa 	 noun 	 mess 	 mess; an unordered, chaotic and problematic situation
soppa 	 noun 	 chaotic 	 mess; an unordered, chaotic and problematic situation
soppa 	 noun 	 petrol 	 petrol
slå in 	 verb 	 wrap up 	 wrap up, to cover
slå in 	 verb 	 break 	 break
slå in 	 verb 	 come true 	 come true
slå in 	 verb 	 enter 	 enter
m.m. 	 adverb 	 mera 	 and more, etc.; med mera
m.m. 	 adverb 	 etc. 	 and more, etc.; med mera
m.m. 	 adverb 	 med 	 and more, etc.; med mera
m.m. 	 adverb 	 more 	 and more, etc.; med mera
m.m. 	 adverb 	 and 	 and more, etc.; med mera
ryggmärg 	 noun 	 spinal cord 	 spinal cord
pärla 	 noun 	 pearl 	 pearl; a shelly concretion of certain bivalve mollusks
adjunkt 	 noun 	 gymnasiumSwedish 	 Teacher in university/college or gymnasium who does not qualify for employment as lektor
adjunkt 	 noun 	 lektor 	 Teacher in university/college or gymnasium who does not qualify for employment as lektor
adjunkt 	 noun 	 adjugate 	 adjugate
mitokondrie 	 noun 	 mitochondrion 	 mitochondrion
akrobat 	 noun 	 acrobat 	 acrobat
analfabet 	 noun 	 analphabet 	 analphabet
komparativ 	 adjective 	 comparative 	 comparative
komparativ 	 noun 	 comparative 	 a comparative
imperativ 	 noun 	 imperative 	 an imperative
imperativ 	 noun 	 imperative 	 an imperative, a must
imperativ 	 noun 	 must 	 an imperative, a must
infinitiv 	 noun 	 infinitive 	 an infinitive
particip 	 noun 	 participle 	 a participle
aktivist 	 noun 	 activist 	 an activist
aktivist 	 noun 	 war 	 a person advocating active participation in a war, rather than neutrality
akvedukt 	 noun 	 aqueduct 	 aqueduct
alka 	 noun 	 auk 	 auk; bird in the family Alcidae
alka 	 noun 	 Alcidae 	 auk; bird in the family Alcidae
alkotest 	 noun 	 breathalyzer 	 an examination carried out to establish if the quantity of alcohol in a person's body is beyond an acceptable limit by means of a breathalyzer
alkotest 	 noun 	 alcohol 	 an examination carried out to establish if the quantity of alcohol in a person's body is beyond an acceptable limit by means of a breathalyzer
alkotest 	 noun 	 examination 	 an examination carried out to establish if the quantity of alcohol in a person's body is beyond an acceptable limit by means of a breathalyzer
altruistisk 	 adjective 	 altruistic 	 altruistic
ärlighet 	 noun 	 honesty 	 honesty
brisera 	 verb 	 explode 	 to burst, to detonate, to explode
brisera 	 verb 	 burst 	 to burst, to detonate, to explode
brisera 	 verb 	 detonate 	 to burst, to detonate, to explode
heuristisk 	 adjective 	 heuristic 	 heuristic
hjärna 	 noun 	 brain 	 a brain
förstånd 	 noun 	 intellect 	 reason, mind, understanding, reckoning,  sense, brains, intellect, intelligence
förstånd 	 noun 	 reason 	 reason, mind, understanding, reckoning,  sense, brains, intellect, intelligence
förstånd 	 noun 	 reckoning 	 reason, mind, understanding, reckoning,  sense, brains, intellect, intelligence
förstånd 	 noun 	 understanding 	 reason, mind, understanding, reckoning,  sense, brains, intellect, intelligence
förstånd 	 noun 	 intelligence 	 reason, mind, understanding, reckoning,  sense, brains, intellect, intelligence
förstånd 	 noun 	 brain 	 reason, mind, understanding, reckoning,  sense, brains, intellect, intelligence
förstånd 	 noun 	 mind 	 reason, mind, understanding, reckoning,  sense, brains, intellect, intelligence
förstånd 	 noun 	 sense 	 reason, mind, understanding, reckoning,  sense, brains, intellect, intelligence
interferera 	 verb 	 interference 	 to interfere; to cause interference
interferera 	 verb 	 interfere 	 to interfere; to cause interference
projektil 	 noun 	 projectile 	 a projectile
elektriker 	 noun 	 electrician 	 electrician
ametist 	 noun 	 amethyst 	 amethyst
amfora 	 noun 	 amphora 	 amphora
jolle 	 noun 	 dinghy 	 a dinghy
jolle 	 noun 	 joint 	 a marijuana cigarette, a joint
saltsyra 	 noun 	 hydrochloric acid 	 hydrochloric acid
kummin 	 noun 	 caraway 	 caraway , meridian fennel, Persian cumin
lakan 	 noun 	 sheet 	 sheet
lakan 	 noun 	 SEK 	 1000 SEK or equal amount of other currency; a grand
lakan 	 noun 	 grand 	 1000 SEK or equal amount of other currency; a grand
dov 	 adjective 	 muffled 	 muffled, deadened
dov 	 adjective 	 deadened 	 muffled, deadened
dov 	 adjective 	 dull 	 dull, not sharp or acute
akvamarin 	 noun 	 aquamarine 	 color aquamarine
akvamarin 	 noun 	 aquamarine 	 gem aquamarine
akvamarin 	 adjective 	 aquamarine 	 color aquamarine
akvarist 	 noun 	 aquarist 	 aquarist
tutt 	 noun 	 soother 	 pacifier, dummy, binky, soother
tutt 	 noun 	 binky 	 pacifier, dummy, binky, soother
tutt 	 noun 	 dummy 	 pacifier, dummy, binky, soother
tutt 	 noun 	 pacifier 	 pacifier, dummy, binky, soother
akronym 	 noun 	 acronym 	 acronym
binom 	 noun 	 binomial 	 binomial
postulat 	 noun 	 postulate 	 postulate
lantan 	 noun 	 lanthanum 	 lanthanum
tantal 	 noun 	 tantalum 	 tantalum
astat 	 noun 	 astatine 	 astatine
elektron 	 noun 	 electron 	 electron
bussa 	 verb 	 let 	 to incite, to let attack
bussa 	 verb 	 attack 	 to incite, to let attack
bussa 	 verb 	 incite 	 to incite, to let attack
donare 	 noun 	 worker 	 worker
akt 	 noun 	 act 	 act; a division of a theatrical performance
akt 	 noun 	 ceremony 	 act, ceremony
akt 	 noun 	 act 	 act, ceremony
akt 	 noun 	 document 	 document
grotta 	 noun 	 cave 	 cave
etanol 	 noun 	 ethanol 	 ethanol
antipod 	 noun 	 antipode 	 antipode; the point on the opposite side of a sphere
antisemit 	 noun 	 anti-Semite 	 anti-Semite
antiseptik 	 noun 	 antisepsis 	 antisepsis
pompa 	 noun 	 pomp 	 pomp
kriminell 	 adjective 	 criminal 	 criminal
apologet 	 noun 	 apologist 	 an apologist, a defender
apologet 	 noun 	 defender 	 an apologist, a defender
pank 	 adjective 	 broke 	 broke
pank 	 adjective 	 w:sv:Ernst Wallmark 	 * 1883, Ernst Wallmark, Swedish translation of Friedrich Zell's libretto to Karl Millöcker's operetta Der Bettelstudent
pank 	 adjective 	 w:Karl Millöcker 	 * 1883, Ernst Wallmark, Swedish translation of Friedrich Zell's libretto to Karl Millöcker's operetta Der Bettelstudent
råna 	 verb 	 steal 	 to rob; to steal from somebody under  use of violence
råna 	 verb 	 rob 	 to rob; to steal from somebody under  use of violence
exil 	 noun 	 exile 	 exile
arrende 	 noun 	 leasehold 	 a leasehold; a contract for rented land
donator 	 noun 	 donor 	 donor, donator
donator 	 noun 	 English 	 donor, donator
kärna 	 noun 	 seed 	 seed, pip
kärna 	 noun 	 pip 	 seed, pip
kärna 	 noun 	 nucleus 	 kernel, nucleus, core
kärna 	 noun 	 core 	 kernel, nucleus, core
kärna 	 noun 	 kernel 	 kernel, nucleus, core
kärna 	 noun 	 pit 	 pit
kärna 	 noun 	 churn 	 churn
kärna 	 verb 	 churn 	 To churn
bräss 	 noun 	 thymus 	 thymus
jonne 	 noun 	 bicycle 	 bicycle
påsk 	 noun 	 Passover 	 Passover
påsk 	 noun 	 Easter 	 Easter
bäver 	 noun 	 beaver 	 beaver
undan 	 adverb 	 away 	 away
summa summarum 	 adverb 	 total 	 in total
summa summarum 	 adverb 	 in 	 in total
bokhylla 	 noun 	 bookcase 	 a bookcase, a shelf, a bookshelf
bokhylla 	 noun 	 bookshelf 	 a bookcase, a shelf, a bookshelf
bokhylla 	 noun 	 shelf 	 a bookcase, a shelf, a bookshelf
farsa 	 noun 	 father 	 father
föreslå 	 verb 	 suggest 	 to suggest; to ask for without demanding
föreslå 	 verb 	 propose 	 to propose; to suggest a plan
gömma 	 verb 	 conceal 	 to hide, to conceal
gömma 	 verb 	 hide 	 to hide, to conceal
pröjsa 	 verb 	 pay 	 to pay; to give money in exchange for goods or services
värma 	 noun 	 heat 	 heat, warmth
värma 	 noun 	 warmth 	 heat, warmth
värma 	 verb 	 warm 	 to warm, heat up
värma 	 verb 	 heat up 	 to warm, heat up
värme 	 noun 	 heat 	 heat, warmth  c
värme 	 noun 	 warmth 	 heat, warmth  c
värme 	 noun 	 warmth 	 warmth  c
värme 	 noun 	 energy 	 heat, energy n
värme 	 noun 	 heat 	 heat, energy n
frimärke 	 noun 	 postage stamp 	 a postage stamp
samling 	 noun 	 collection 	 collection
sätta 	 verb 	 sit 	 to sit; to move oneself into a sitting position
sätta 	 verb 	 put 	 to put or place; to make to stick or adhere to
sätta 	 verb 	 adhere 	 to put or place; to make to stick or adhere to
sätta 	 verb 	 place 	 to put or place; to make to stick or adhere to
sätta 	 verb 	 stick 	 to put or place; to make to stick or adhere to
sätta 	 verb 	 set 	 to set; to put something
sätta 	 verb 	 adjust 	 to set or adjust; to choose a setting
sätta 	 verb 	 setting 	 to set or adjust; to choose a setting
sätta 	 verb 	 arrange 	 to set; to arrange; to prepare a text for printing
sätta 	 verb 	 potato 	 to plant certain plants, such as potatoes or onions
sätta 	 verb 	 plant 	 to plant certain plants, such as potatoes or onions
sätta 	 verb 	 onion 	 to plant certain plants, such as potatoes or onions
fosfat 	 noun 	 phosphate 	 phosphate
fonon 	 noun 	 phonon 	 phonon
kräm 	 noun 	 cream 	 cream, crème
kräm 	 noun 	 crème 	 cream, crème
klubb 	 noun 	 club 	 club, organisation
klubb 	 noun 	 organisation 	 club, organisation
klubb 	 noun 	 nightclub 	 nightclub
förening 	 noun 	 association 	 association, organization
förening 	 noun 	 organization 	 association, organization
förening 	 noun 	 chemical 	 chemical compound
förening 	 noun 	 compound 	 chemical compound
förening 	 noun 	 merging 	 merging; the process when two entities are combined into one
skandal 	 noun 	 scandal 	 scandal
remi 	 noun 	 draw 	 draw
missil 	 noun 	 missile 	 missile
morfin 	 noun 	 morphine 	 morphine
punka 	 noun 	 flat tyre 	 flat tyre
hoj 	 noun 	 hoy 	 hoy, a  sailing ship
hoj 	 noun 	 sailing ship 	 hoy, a  sailing ship
hoj 	 noun 	 decommission 	 decommissioned ship, used for housing, storage, as a hospital, etc
hoj 	 noun 	 motorcycle 	 motorcycle
hoj 	 noun 	 bicycle 	 bicycle
stabil 	 adjective 	 stable 	 stable
katalysator 	 noun 	 catalyst 	 catalyst
orda 	 verb 	 talk 	 to talk, to spend words
radiot 	 noun 	 radio 	 Person who is obsessed with radios and listening to the radio
begraven 	 adjective 	 buried 	 buried, interred
begraven 	 adjective 	 interred 	 buried, interred
isbjörn 	 noun 	 polar bear 	 polar bear
hingst 	 noun 	 stallion 	 a stallion
termometer 	 noun 	 thermometer 	 a thermometer
övrig 	 adjective 	 other 	 other, remaining
övrig 	 adjective 	 remaining 	 other, remaining
öskar 	 noun 	 bailer 	 a bailer; a tub to pour out water from a boat
öskar 	 noun 	 water 	 a bailer; a tub to pour out water from a boat
öskar 	 noun 	 boat 	 a bailer; a tub to pour out water from a boat
hota 	 verb 	 threaten 	 to threaten
akut 	 adjective 	 acute 	 acute, urgent
akut 	 adjective 	 urgent 	 acute, urgent
akut 	 adjective 	 accentNoun 	 acute; of an accent or tone
akut 	 adjective 	 acute 	 acute; of an accent or tone
akut 	 adjective 	 toneNoun 	 acute; of an accent or tone
bamba 	 noun 	 canteen 	 school canteen
bamba 	 noun 	 school 	 school canteen
bamba 	 noun 	 w:Göteborgs-Posten 	 *year=2019|author=Ulrika Karlsson |title=Skola utrymd efter brand – elever får gå hem |trans-title=School evacuated after fire – pupils have to go home |journal=Göteborgs-Posten |url=https://www.gp.se/nyheter/v%C3%A4stsverige/skola-utrymd-efter-brand-elever-f%C3%A5r-g%C3%A5-hem-1.17339984 |text=Det var en elcentral i närheten av bamba som brann, och det var ganska mycket rökspridning i lokalen |t=It was a distribution box near the school canteen that was burning, and quite a lot of smoke spreading in the room
karm 	 noun 	 frame 	 a frame for a door or window
käpp 	 noun 	 stick 	 stick
latinsk 	 adjective 	 Latin 	 Latin
mineralogi 	 noun 	 mineralogy 	 mineralogy
persika 	 noun 	 peach 	 a peach
kviga 	 noun 	 heifer 	 heifer
astrolog 	 noun 	 astrologer 	 an astrologer
alkoholism 	 noun 	 alcoholism 	 alcoholism
alkoholist 	 noun 	 alcoholic 	 alcoholic; person who abuses or has a addiction to alcohol
alkoholist 	 noun 	 alcohol 	 alcoholic; person who abuses or has a addiction to alcohol
häfte 	 noun 	 notebook 	 Any papers that are stapled or bound together, a pamphlet, a booklet, a notebook
häfte 	 noun 	 paper 	 Any papers that are stapled or bound together, a pamphlet, a booklet, a notebook
häfte 	 noun 	 booklet 	 Any papers that are stapled or bound together, a pamphlet, a booklet, a notebook
häfte 	 noun 	 pamphlet 	 Any papers that are stapled or bound together, a pamphlet, a booklet, a notebook
häfte 	 noun 	 magazine 	 A fascicle , an issue of a journal or magazine
häfte 	 noun 	 journal 	 A fascicle , an issue of a journal or magazine
häfte 	 noun 	 issue 	 A fascicle , an issue of a journal or magazine
häfte 	 noun 	 fascicle 	 A fascicle , an issue of a journal or magazine
häfte 	 noun 	 book 	 book
marsch 	 noun 	 march 	 a march
fortgång 	 noun 	 development 	 development, evolution
fortgång 	 noun 	 evolution 	 development, evolution
fortgång 	 noun 	 continuation 	 continuance, continuation
fortgång 	 noun 	 continuance 	 continuance, continuation
tåga 	 verb 	 march 	 to march
framgång 	 noun 	 success 	 progress; a success
framgång 	 noun 	 progress 	 progress; a success
telegrafi 	 noun 	 telegraphy 	 telegraphy
protokoll 	 noun 	 minute 	 a protocol , minutes from a meeting
protokoll 	 noun 	 protocol 	 a protocol , minutes from a meeting
protokoll 	 noun 	 diplomatic 	 a protocol, a set of conventions for diplomatic relations
protokoll 	 noun 	 convention 	 a protocol, a set of conventions for diplomatic relations
protokoll 	 noun 	 telecommunication 	 a protocol, a technical specification for telecommunication
protokoll 	 noun 	 specification 	 a protocol, a technical specification for telecommunication
etymologi 	 noun 	 etymology 	 etymology
skalle 	 noun 	 head 	 head
skalle 	 noun 	 skull 	 cranium, skull
skalle 	 noun 	 cranium 	 cranium, skull
spets 	 noun 	 tip 	 point, tip, end, nib, head
spets 	 noun 	 head 	 point, tip, end, nib, head
spets 	 noun 	 point 	 point, tip, end, nib, head
spets 	 noun 	 end 	 point, tip, end, nib, head
spets 	 noun 	 nib 	 point, tip, end, nib, head
spets 	 noun 	 lace 	 lace
spets 	 noun 	 spitz 	 spitz
topp 	 noun 	 peak 	 top, peak
topp 	 noun 	 top 	 top; head
topp 	 noun 	 head 	 top; head
direktör 	 noun 	 manager 	 a manager; boss or leader of a company
direktör 	 noun 	 company 	 a manager; boss or leader of a company
direktör 	 noun 	 director 	 a director
skum 	 adjective 	 illuminate 	 dark, not illuminated
skum 	 adjective 	 dark 	 dark, not illuminated
skum 	 adjective 	 dodgy 	 dodgy, shady; which cannot stand being made public; immoral or possibly even illegal or performing illegal actions
skum 	 adjective 	 shady 	 dodgy, shady; which cannot stand being made public; immoral or possibly even illegal or performing illegal actions
skum 	 noun 	 head 	 head
skum 	 noun 	 froth 	 froth, foam
skum 	 noun 	 foam 	 froth, foam
skalla 	 verb 	 headbutt 	 headbutt
skalla 	 verb 	 resound 	 of sounds blast, ring out, resound
skalla 	 verb 	 ring out 	 of sounds blast, ring out, resound
skalla 	 verb 	 blast 	 of sounds blast, ring out, resound
styra 	 verb 	 rule 	 govern, rule, control
styra 	 verb 	 govern 	 govern, rule, control
styra 	 verb 	 control 	 govern, rule, control
styra 	 verb 	 direct 	 steer, navigate, direct
styra 	 verb 	 navigate 	 steer, navigate, direct
styra 	 verb 	 steer 	 steer, navigate, direct
döpa 	 verb 	 baptize 	 to baptize, to christen
döpa 	 verb 	 christen 	 to baptize, to christen
döpa 	 verb 	 name 	 to name
nämna 	 verb 	 mention 	 to mention, to name
nämna 	 verb 	 name 	 to mention, to name
vifta 	 verb 	 wag 	 to wag
tifo 	 noun 	 English 	 tifo
höst 	 noun 	 autumn 	 autumn
torde 	 verb 	 should 	 should  and also probably is; auxiliary verb used to express probable, but still hypothetical, actions or conditions
burk 	 noun 	 can 	 pot, can, jar; an inflexible vessel, usually with lid and often approximately cylindrical, used for storage
burk 	 noun 	 jar 	 pot, can, jar; an inflexible vessel, usually with lid and often approximately cylindrical, used for storage
burk 	 noun 	 pot 	 pot, can, jar; an inflexible vessel, usually with lid and often approximately cylindrical, used for storage
burk 	 noun 	 TV set 	 TV set
burk 	 noun 	 case 	 computer case
burk 	 noun 	 computer 	 computer case
burk 	 noun 	 sidecar 	 sidecar
burk 	 noun 	 idiot 	 idiot
etta 	 noun 	 gymnasiumSwedish 	 the first year in school, or the first year in gymnasiet
etta 	 noun 	 first gear 	 first gear
etta 	 noun 	 studio 	 studio
etta 	 noun 	 one 	 one; neutral element in multiplication
medicin 	 noun 	 medicine 	 medicine
medicin 	 noun 	 medicine 	 a medicine, a drug
medicin 	 noun 	 drug 	 a medicine, a drug
sekel 	 noun 	 century 	 a century
paraply 	 noun 	 umbrella 	 umbrella; cloth-covered frame used for protection against rain
bemanna 	 verb 	 man 	 to man
existera 	 verb 	 exist 	 to be, to exist
existera 	 verb 	 be 	 to be, to exist
järnväg 	 noun 	 railway 	 a railway
nederländsk 	 adjective 	 Dutch 	 Dutch
holländsk 	 adjective 	 Dutch 	 Dutch
lakonisk 	 adjective 	 laconic 	 laconic
skatt 	 noun 	 tax 	 tax
skatt 	 noun 	 treasure 	 treasure; something of great value
toppa 	 verb 	 top 	 to top
jorda 	 verb 	 ground 	 to ground
hitåt 	 adverb 	 here 	 here
plantera 	 verb 	 plant 	 to plant; place plant or a bulb  in soil or other substrate in order that it may live and grow
naiv 	 adjective 	 naive 	 naive, childish
naiv 	 adjective 	 childish 	 naive, childish
gråna 	 verb 	 grey 	 to grey
primtal 	 noun 	 prime number 	 prime number
kröna 	 verb 	 crown 	 to crown; to place a crown on the head of
kröna 	 verb 	 queen 	 to crown, to coronate; to formally declare  a king, emperor, or queen; to queen
kröna 	 verb 	 coronate 	 to crown, to coronate; to formally declare  a king, emperor, or queen; to queen
kröna 	 verb 	 stamp 	 to mark or stamp with a crown
kröna 	 verb 	 mark 	 to mark or stamp with a crown
kröna 	 verb 	 crest 	 to peak, to mark the top, peak, or crest
kröna 	 verb 	 peak 	 to peak, to mark the top, peak, or crest
ålderdom 	 noun 	 eld 	 age, old age ; eld
ålderdom 	 noun 	 age 	 age, old age ; eld
tidsålder 	 noun 	 era 	 an age, an era
tidsålder 	 noun 	 age 	 an age, an era
åldra 	 verb 	 age 	 to age
knekt 	 noun 	 knight 	 knight
knekt 	 noun 	 jack 	 jack; card ranking between the ten and queen Kn
riddare 	 noun 	 knight 	 a knight
fastän 	 conjunction 	 though 	 although, though, while, despite
fastän 	 conjunction 	 despite 	 although, though, while, despite
fastän 	 conjunction 	 while 	 although, though, while, despite
fastän 	 conjunction 	 although 	 although, though, while, despite
dubba 	 verb 	 dub 	 to dub, to knight
dubba 	 verb 	 knight 	 to dub, to knight
dubba 	 verb 	 stud 	 to stud
dubba 	 verb 	 dub 	 to dub, to add a soundtrack in a different language to a movie
ära 	 noun 	 glory 	 honor, glory; an objectification of praiseworthiness
ära 	 noun 	 honor 	 honor, glory; an objectification of praiseworthiness
ära 	 verb 	 honor 	 to honor; to show respect for
jänta 	 noun 	 girl 	 girl
tös 	 noun 	 girl 	 girl
betong 	 noun 	 concrete 	 concrete a building material
järn 	 noun 	 iron 	 iron
järn 	 noun 	 blade 	 certain sharp tools with a blade made of steel or iron
järn 	 noun 	 stiff drink 	 a stiff drink
järn 	 noun 	 shackles 	 shackles
lufta 	 verb 	 air 	 to air
jaka 	 verb 	 agree 	 to say yes, to agree, to support
jaka 	 verb 	 yes 	 to say yes, to agree, to support
jaka 	 verb 	 support 	 to say yes, to agree, to support
syster 	 noun 	 sister 	 a sister
syster 	 noun 	 nurse 	 a nurse
syster 	 noun 	 nun 	 a nun; a female member of a religious community
kyla 	 noun 	 cold 	 a cold
kyla 	 verb 	 chill 	 to chill, to cool, to refrigerate; to lower the temperature of something
kyla 	 verb 	 refrigerate 	 to chill, to cool, to refrigerate; to lower the temperature of something
kyla 	 verb 	 cool 	 to chill, to cool, to refrigerate; to lower the temperature of something
köld 	 noun 	 cold 	 cold,  coldness
köld 	 noun 	 coldness 	 cold,  coldness
myr 	 noun 	 moor 	 a bog, a moor, a wetland
myr 	 noun 	 wetland 	 a bog, a moor, a wetland
myr 	 noun 	 bog 	 a bog, a moor, a wetland
tenn 	 noun 	 tin 	 tin
tenn 	 noun 	 pewter 	 pewter, an alloy consisting mostly of tin
tenn 	 noun 	 tin 	 pewter, an alloy consisting mostly of tin
mygg 	 noun 	 mosquito 	 mosquitoes collective noun for small flying insects of the family Culicidae, known for biting and sucking blood); an individual mosquito is called a mygga
mygg 	 noun 	 mygga 	 mosquitoes collective noun for small flying insects of the family Culicidae, known for biting and sucking blood); an individual mosquito is called a mygga
mygg 	 noun 	 collective noun 	 mosquitoes collective noun for small flying insects of the family Culicidae, known for biting and sucking blood); an individual mosquito is called a mygga
mygg 	 noun 	 Culicidae 	 mosquitoes collective noun for small flying insects of the family Culicidae, known for biting and sucking blood); an individual mosquito is called a mygga
hink 	 noun 	 bucket 	 bucket
minnas 	 verb 	 remember 	 to remember
tolka 	 verb 	 interpret 	 to interpret; as of translating orally between languages
tolka 	 verb 	 skijor 	 to travel on bike or skis by being pulled by an animal  or a vehicle; to skijor
tyda 	 verb 	 interpret 	 to interpret; to understand the meaning of
tyda 	 verb 	 indicate 	 to indicate; to give a hint about an otherwise unknown fact
vilka 	 pronoun 	 what 	 which, who, whom, what a; plural form of vilken
vilka 	 pronoun 	 which 	 which, who, whom, what a; plural form of vilken
vilka 	 pronoun 	 whom 	 which, who, whom, what a; plural form of vilken
vilka 	 pronoun 	 who 	 which, who, whom, what a; plural form of vilken
vilka 	 pronoun 	 vilken 	 which, who, whom, what a; plural form of vilken
vilka 	 pronoun 	 vem 	 who; plural nominativ of vem
vilka 	 pronoun 	 who 	 who; plural nominativ of vem
baskisk 	 adjective 	 Basque 	 Basque; relative to the Basque people or language
basker 	 noun 	 beret 	 beret
arabisk 	 adjective 	 Arabic 	 Arabic
arabiska 	 noun 	 Arabic 	 Arabic
arabiska 	 noun 	 Arabic 	 Arabic woman
enhet 	 noun 	 unit 	 a unit
enhet 	 noun 	 unity 	 unity; state of being united
handflata 	 noun 	 palm 	 palm
ljuv 	 adjective 	 pleasant 	 lovely, sweet, pleasant
ljuv 	 adjective 	 sweet 	 lovely, sweet, pleasant
ljuv 	 adjective 	 lovely 	 lovely, sweet, pleasant
melodisk 	 adjective 	 musical 	 musical, sweet
melodisk 	 adjective 	 sweet 	 musical, sweet
gullig 	 adjective 	 cute 	 sweet, cute
gullig 	 adjective 	 sweet 	 sweet, cute
vänlig 	 adjective 	 nice 	 kind, nice, sweet
vänlig 	 adjective 	 sweet 	 kind, nice, sweet
vänlig 	 adjective 	 kind 	 kind, nice, sweet
sött 	 adverb 	 sweetly 	 sweet, sweetly
sött 	 adverb 	 sweet 	 sweet, sweetly
karamell 	 noun 	 sweet 	 sweet, caramel;  confection made of melted and crystallized sugar
karamell 	 noun 	 caramel 	 sweet, caramel;  confection made of melted and crystallized sugar
ledning 	 noun 	 lead 	 lead
ledning 	 noun 	 leadership 	 leadership; the part of an organization which runs it; the actions taken by said leadership
ledning 	 noun 	 conductor 	 wire, conductor, piece of metal used to transport electricity
ledning 	 noun 	 wire 	 wire, conductor, piece of metal used to transport electricity
ledning 	 noun 	 pipeline 	 pipe, pipeline, used to transport liquids or gases
