SortOrder,Egyptian,Transliteration,Translation,SignCodes,GroupWritingScore,Error
12106,𓋴𓂋𓐍𓀁,srḫy,"accusation, reproach",S29-D21-Aa1-A2,0,0
12108,𓋴𓂋𓐍𓊁,srḫ,serekh ,S29-D21-Aa1-O33,0,0
12109,𓋴𓂋𓐍𓉵,srḫ,memorial,S29-D21-Aa1-O24A,0,0
12110,𓋴𓂋𓐍𓉐,srḫ,a government department,S29-D21-Aa1-O1,0,0
12111,𓋴𓂋𓌘𓋴𓁺,srs,"awaken, take command of (corps)",S29-D21-T13-S29-D5,0,0
12112,𓋴𓂋𓌘𓋴𓄛,srs,"awaken, take command of (corps)",S29-D21-T13-S29-F27,0,0
12113,𓋴𓂋𓊃𓍟𓁺,srs,"awaken, take command of (corps)",S29-D21-O34-U40-D5,0,0
12115,𓆫,srqt,Selket  (scorpion goddess),L7,0,0
12118,𓋴𓂋𓈎𓄈𓀁,srq,"inhale, permit to breathe (of throats)",S29-D21-N29-F10-A2,0,0
12119,𓋳𓆧𓈎,srq,breathe,S28-L4-N29,0,0
12120,𓋴𓂋𓈎𓆛,srq,catfish,S29-D21-N29-K1,0,0
12125,𓋴𓂋𓂧𓇟,srd,"make grow, plant (trees), erect (monuments)",S29-D21-D46-M32,0,0
12126,𓊃𓂋𓅱𓂧𓌗,srd,"make grow, plant (trees), erect (monuments)",O34-D21-G43-D46-T12,0,0
12127,𓋴𓇟𓂋𓂧𓏛,srd,"make grow, plant (trees), erect (monuments)",S29-M32-D21-D46-Y1V,0,0
12128,𓋴𓂋𓌗,srd,"make to grow, plant (trees), erect (monuments)",S29-D21-T12,0,0
12129,𓋴𓇟𓂋𓂧𓌗,srd,"make grow, plant (trees), erect (monuments)",S29-M32-D21-D46-T12,0,0
12130,𓊃𓂋𓌗𓏛,srd,to affirm,O34-D21-T12-Y1V,0,0
12131,𓋴𓂋𓂧𓏛,srd,erect (monuments),S29-D21-D46-Y1V,0,0
12133,𓐠𓂋𓏭𓐠𓂋𓏭𓆱𓏥,srdd,foliage,Aa18-D21-Z4-Aa18-D21-Z4-M3-Z2,0,0
12135,𓋴𓂋𓂧𓂧𓌗𓏛,srdd,"shoot, growth",S29-D21-D46-D46-T12-Y1,0,0
12136,𓋴𓉔𓂢𓂡,sh,terrorize,S29-O4-D41-D40,0,0
12137,𓋴𓉔𓄿𓃫𓀜,shꜣ,be in confusion,S29-O4-G1-E21-A24,0,0
12138,𓋴𓉔𓄿𓃫𓀜,shꜣ,confusion,S29-O4-G1-E21-A24,0,0
12139,𓋴𓉔𓄿𓃫𓀜,shꜣ,confound (someone) ?,S29-O4-G1-E21-A24,0,0
12140,𓋴𓉔𓄿𓏲𓃫,shꜣ,turmoil,S29-O4-G1-Z7-E21,0,0
12141,𓋴𓉔𓃫𓂡,shꜣ,"confusion, clamoring",S29-O4-E21-D40,0,0
12142,𓋴𓏲𓉔𓄿𓃫,shꜣ,boast,S29-Z7-O4-G1-E21,0,0
12143,𓊃𓉔𓄿𓀜,shꜣ,hostility,O34-O4-G1-A24,0,0
12144,𓊃𓉔𓂽,shꜣ,"to bring down, confound, confuse, to deceive",O34-O4-D55,0,0
12145,𓋴𓉔𓀁,shꜣ,"to bring down, confound, confuse, to deceive",S29-O4-A2,0,0
12146,𓋴𓉔𓄿𓂻,shꜣj,"bring down, make to fall",S29-O4-G1-D54,0,0
12147,𓋴𓉔𓄿𓇋𓇋𓏏𓂻,shꜣj,"bring down, make to fall",S29-O4-G1-M17-M17-X1-D54,0,0
12148,𓋴𓉔𓄿𓂻,shꜣ,"to be defrauded, cheated",S29-O4-G1-D54,0,0
12149,𓋴𓉔𓄿𓏏𓂻,shꜣt,discharge (medical),S29-O4-G1-X1-D54,0,0
12150,𓋴𓉔𓄿𓏏𓆱𓏫,shꜣt,drummer,S29-O4-G1-X1-M3-Z3A,0,0
12151,𓊃𓉔𓄿𓃀𓂻𓏤,shꜣb,messenger,O34-O4-G1-D58-D54-Z1,0,0
12152,𓋴𓉔𓊪𓂡,shp,govern,S29-O4-Q3-D40,0,0
12153,𓋴𓉔𓂋𓏛,shrj,"make content, make peace",S29-O4-D21-Y1V,0,0
12154,𓊃𓉔𓂋𓅱𓏏𓏛,shrj,"make content, make peace",O34-O4-D21-G43-X1-Y1,0,0
12155,𓋴𓉔𓂋𓇋𓇋𓏏𓏛,shrj,"make content, make peace",S29-O4-D21-M17-M17-X1-Y1,0,0
12156,𓋴𓉔𓂋𓇋𓇋𓏛𓄣𓏤,shr jb,to take pleasure,S29-O4-D21-M17-M17-Y1V-F34-Z1,0,0
12157,𓋴𓉔𓂋𓄣𓏤,shr jb,to pacify,S29-O4-D21-F34-Z1,0,0
12158,𓋴𓉔𓏯𓂋𓏤𓄣𓏤𓀭,shr jb,to propitiate,S29-O4-Z5-D21-Z1-F34-Z1-A40,0,0
12159,𓋴𓉔𓄿𓂋𓏏𓏛𓄣𓏤,shr jb,to propitiate,S29-O4-G1-D21-X1-Y1-F34-Z1,0,0
12160,𓋴𓉔𓄿𓂋𓂋𓄣𓏥,shr jb,to bring contentment,S29-O4-G1-D21-D21-F34-Z2,0,0
12161,𓊃𓉔𓂋𓏏𓊛,shrt,ship,O34-O4-D21-X1-P1,0,0
12162,𓋴𓉔𓂋𓏏𓈒𓏫,shrt,(a mineral),S29-O4-D21-X1-N33-Z3A,0,0
12163,𓋴𓉔𓄿𓂋𓏛𓈒𓏥,shrt,"gum, resin",S29-O4-G1-D21-Y1-N33-Z2,0,0
12164,𓋴𓉔𓇋𓇋𓈒𓈒𓏥,shrt,"gum, resin, a mineral",S29-O4-M17-M17-N33-N33-Z2,0,0
12165,𓋴𓉔𓄿𓂧𓏏𓏯𓀝𓏭𓏛𓀜,shdt,"to curb, to restrict, to combat",S29-O4-G1-D46-X1-Z5A-A25-Z4-Y1-A24,0,0
12166,𓉱,sḥ,shrine,O21,0,0
12167,𓊃𓎛𓉲𓉐,sḥ,"booth, hall",O34-V28-O22-O1,0,0
12168,𓉲,sḥ,"booth, hall",O22,0,0
12169,𓉲𓏤𓉐,sḥ,"booth, hall, pavillion",O22-Z1-O1,0,0
12170,𓉲𓏤𓅆𓉐,sḥ,tent,O22-Z1-G7-O1,0,0
12172,𓊹𓉱,sḥ nṯr,"god's booth (of Anubis - an embalmer's workshop), shrine",R8-O21,0,0
12173,𓊹𓅆𓉲𓉐𓅆𓅆,sḥ nṯr,divine booth,R8-G7-O22-O1-G7-G7,0,0
12174,𓊃𓎛𓉲𓏛,sḥ,council,O34-V28-O22-Y1V,0,0
12175,𓉲𓏛,sḥ,counsel,O22-Y1V,0,0
12176,𓉲𓇋𓇋𓀀,sḥy,man of good counsel,O22-M17-M17-A1,0,0
12177,𓋴𓇉𓄿𓋳,sḥꜣj,"strip (someone), reveal (secret)",S29-M16-G1-S28,0,0
12178,𓋴𓇉𓋳𓂡,sḥꜣj,"strip (someone), reveal (secret)",S29-M16-S28-D40,0,0
12179,𓋴𓇉𓄿𓊪𓋳𓂡,sḥꜣp,conceal,S29-M16-G1-Q3-S28-D40,0,0
12180,𓋴𓇉𓊪𓍱𓀜,sḥꜣp,"to bury, to conceal, to be hidden",S29-M16-Q3-V6-A24,0,0
12181,𓋴𓇉𓊪𓍱𓂡,sḥꜣp,to shelter,S29-M16-Q3-V6-D40,0,0
12182,𓊃𓎛𓇋𓇋𓏏𓊛,sḥyt,(cabined ?) boat,O34-V28-M17-M17-X1-P1,0,0
12183,𓋴𓎛𓇋𓇋𓎛𓏏𓅭,sḥyḥt,gallinule  (moor hen) ?,S29-V28-M17-M17-V28-X1-G39,0,0
12184,𓋴𓎛𓎛𓏏𓅭,sḥyḥt,gallinule  (moor hen) ?,S29-V28-V28-X1-G39,0,0
12185,𓋴𓎛𓇋𓎛𓏏𓅭,sḥyḥt,gallinule  (moor hen) ?,S29-V28-M17-V28-X1-G39,0,0
12186,𓋴𓎛𓂝𓇋𓇋𓀠,sḥꜥy,acclaim,S29-V28-D36-M17-M17-A28,0,0
12187,𓋴𓎛𓏭𓅱𓏛,sḥwy,"collect, asssemble",S29-V28-Z4-G43-Y1V,0,0
12188,𓋴𓎛𓏲𓅯𓀁,sḥwy,"collect, asssemble",S29-V28-Z7-G41-A2,0,0
12189,𓋴𓎛𓏭𓅱𓅯𓏛,sḥwy,join up (boundaries),S29-V28-Z4-G43-G41-Y1,0,0
12190,𓋴𓎛𓏲𓏭𓅯𓏛𓏥,sḥwy,"collection, summary, assemblage (of troops), list",S29-V28-Z7-Z4-G41-Y1-Z2,0,0
12191,𓋴𓎛𓏭𓅱𓏛,sḥwy,"collection, summary, assemblage (of troops), list",S29-V28-Z4-G43-Y1V,0,0
12192,𓅯𓅱𓏭𓏛𓏥,sḥwy,"collection, summary, assemblage (of troops), list",G41-G43-Z4-Y1-Z2,0,0
12193,𓋴𓎛𓏲𓏲𓅯𓏛,sḥwy,"to list, to collect",S29-V28-Z7-Z7-G41-Y1,0,0
12194,𓋴𓎛𓏲𓏏𓐎𓆱𓏛,sḥwy,assemblage,S29-V28-Z7-X1-Aa2-M3-Y1,0,0
12195,𓋴𓎛𓏲𓐎𓏥,sḥwy,catalogue,S29-V28-Z7-Aa2-Z2,0,0
12196,𓋴𓎛𓅱𓂝𓅪,sḥwꜥ,shorten,S29-V28-G43-D36-G37,0,0
12197,𓋴𓎛𓅪𓂋𓀁,sḥwr,vilify,S29-V28-G37-D21-A2,0,0
12198,𓋴𓎛𓅪𓂋𓇋𓀁,sḥwr,vilify,S29-V28-G37-D21-M17-A2,0,0
12199,𓋴𓎛𓅪𓂋𓌟𓀁,sḥwr,"to vilify, to reproach",S29-V28-G37-D21-T19B-A2,0,0
12200,𓋴𓎛𓅪𓂋𓇋𓌟𓄑𓀁𓏪,sḥwr,"to slander, to heap invective",S29-V28-G37-D21-M17-T19B-F18-A2-Z3,0,0
12201,𓋴𓎛𓅨𓂋𓀁,sḥwr,curse,S29-V28-G36-D21-A2,0,0
12202,𓋴𓎛𓅨𓂋𓏲𓌟𓀁𓏫,sḥwr,maledictions,S29-V28-G36-D21-Z7-T19B-A2-Z3A,0,0
12203,𓋴𓎛𓅨𓂋𓇋𓌟𓀁𓏫,sḥwr,"insults, curses",S29-V28-G36-D21-M17-T19B-A2-Z3A,0,0
12204,𓋴𓎛𓅨𓂋𓈖𓈘𓏤𓈇,sḥwr,Delta Marshes,S29-V28-G36-D21-N35A-N36-Z1-N23,0,0
12205,𓋴𓎛𓃀𓎱,sḥb,"make festive, adorn",S29-V28-D58-W3,0,0
12206,𓋴𓎛𓃀𓎱𓇳,sḥb,"make festive, adorn",S29-V28-D58-W3-N5,0,0
12207,𓊃𓎳,sḥb,"make festive, adorn",O34-W4,0,0
12208,𓊃𓎛𓃀𓎱𓏛,sḥb,"make festive, adorn",O34-V28-D58-W3-Y1,0,0
12209,𓋴𓎛𓏭𓎱𓃀,sḥb,"make festive, adorn",S29-V28-Z4-W3-D58,0,0
12210,𓋴𓈟𓅓𓂽,sḥm,put a stop to,S29-N42-G17-D55,0,0
12211,𓋴𓎛𓅓,sḥm,put a stop to,S29-V28-G17,0,0
12212,𓋴𓈟𓅓𓍖𓂝,sḥm,"crush, pound, trituration",S29-N42-G17-U32-D36,0,0
12213,𓋴𓈟𓈗,sḥm,"crush, pound, trituration",S29-N42-N35A,0,0
12214,𓊃𓎛𓍖,sḥm,"crush, pound, trituration",O34-V28-U32,0,0
12215,𓋴𓎛𓅓𓍖,sḥm,"crush, pound, trituration",S29-V28-G17-U32,0,0
12216,𓋴𓎛𓆰𓈖𓂡,sḥn,command,S29-V28-M2-N35-D40,0,0
12217,𓋴𓎛𓆰𓈖𓏛,sḥn,to instruct,S29-V28-M2-N35-Y1,0,0
12218,𓋴𓎛𓆰𓈖𓏏𓏛𓀜,sḥn,to order,S29-V28-M2-N35-X1-Y1-A24,0,0
12219,𓋴𓎛𓆰𓈖𓏯𓏯𓀜,sḥn,to regulate,S29-V28-M2-N35-Z5-Z5-A24,0,0
12220,𓋴𓎛𓆰𓈖𓏌𓏲𓂡,sḥn,to organize,S29-V28-M2-N35-W24-Z7-D40,0,0
12221,𓋴𓎛𓆰𓈖𓏌𓏲𓏛𓀜,sḥn,to employ,S29-V28-M2-N35-W24-Z7-Y1-A24,0,0
12222,𓋴𓎛𓆰𓈖𓏏𓏛𓀜,sḥn,to be busy,S29-V28-M2-N35-X1-Y1-A24,0,0
12223,𓋴𓎛𓌼𓈖,sḥn,command,S29-V28-U8-N35,0,0
12224,𓋴𓎛𓆰𓈖𓏏𓏛𓀜𓏥,sḥn,duties,S29-V28-M2-N35-X1-Y1-A24-Z2,0,0
12225,𓋴𓎛𓆰𓈖𓏏𓏛𓀜,sḥn,commission,S29-V28-M2-N35-X1-Y1-A24,0,0
12226,𓋴𓎛𓌻𓈖𓂡,sḥn,commander,S29-V28-U7-N35-D40,0,0
12227,𓋴𓎛𓆰𓈖𓀜,sḥn,commander,S29-V28-M2-N35-A24,0,0
12228,𓋴𓆰𓈖𓏭𓏛𓀜,sḥn,"commander, captain",S29-M2-N35-Z4-Y1-A24,0,0
12229,𓋴𓎛𓆰𓈖𓏛,sḥn,decorate,S29-V28-M2-N35-Y1V,0,0
12230,𓋴𓎛𓆰𓈖𓏌𓏲𓏭𓏛𓀜𓉐,sḥnw,(part of a building),S29-V28-M2-N35-W24-Z7-Z4-Y1-A24-O1,0,0
12231,𓋴𓎛𓆰𓈖𓈖𓏏𓉐,sḥnnt,office,S29-V28-M2-N35-N35-X1-O1,0,0
12232,𓋴𓎛𓆰𓈖𓎛𓆰𓈖𓂡,sḥnḥn,to hinder,S29-V28-M2-N35-V28-M2-N35-D40,0,0
12233,𓋴𓁷𓂋𓇯,sḥr,fly up,S29-D2-D21-N1,0,0
12234,𓋴𓁷𓂋𓈐𓂻,sḥr,fly up,S29-D2-D21-N31-D54,0,0
12235,𓋴𓁷𓂋𓇋𓀜𓂻,sḥrj,"remove, exorcise (ill), drive away (foes), avert (face), deliver (from)",S29-D2-D21-M17-A24-D54,0,0
12236,𓋴𓁷𓂋𓀜,sḥrj,"remove, exorcise (ill), drive away (foes), avert (face), deliver (from)",S29-D2-D21-A24,0,0
12237,𓋴𓁷𓂋𓈐,sḥrj,"remove, exorcise (ill), drive away (foes), avert (face), deliver (from)",S29-D2-D21-N31,0,0
12238,𓋴𓎛𓁷𓂋𓐡𓈐,sḥrj,"remove, exorcise (ill), drive away (foes), avert (face), deliver (from)",S29-V28-D2-D21-Aa19-N31,0,0
12240,𓋴𓁷𓂋𓇋𓎅𓏛,sḥrj,"remove, exorcise (ill), drive away (foes), avert (face), deliver (from)",S29-D2-D21-M17-V19-Y1,0,0
12241,𓋴𓎛𓎿𓊃𓂻,sḥsj,meet (someone),S29-V28-W14-O34-D54,0,0
12242,𓋴𓎿𓄓𓏤𓅪,sḥs,"to press hard, to oppress",S29-W14-F20-Z1-G37,0,0
12243,𓊃𓎛𓊃𓎛𓅥,sḥsḥ,screech (of bird),O34-V28-O34-V28-G33,0,0
12244,𓋴𓋾𓈎𓏛,sḥqꜣ,"cause to Rule, instal as Ruler",S29-S38-N29-Y1,0,0
12245,𓋴𓎛𓈎𓂋𓅪,sḥqr,make hungry,S29-V28-N29-D21-G37,0,0
12246,𓇓𓏲𓎛𓍘𓇋𓇋𓆛,sḥty,(a fish),M23-Z7-V28-U33-M17-M17-K1,0,0
12247,𓋴𓊵,sḥtp,"propitate, please, pacify, satisfy (employees)",S29-R4,0,0
12248,𓋴𓊵,sḥtp,"provide (for temple), make gracious (to)",S29-R4,0,0
12249,𓋴𓊵𓏏𓊪𓏛,sḥtp,"propitate, please, pacify, satisfy (employees)",S29-R4-X1-Q3-Y1V,0,0
12250,𓋴𓊵𓏏𓊪𓏛,sḥtp,"provide (for temple), make gracious (to)",S29-R4-X1-Q3-Y1V,0,0
12251,𓋴𓎛𓊵𓏏𓊪,sḥtp,"propitate, please, pacify, satisfy (employees)",S29-V28-R4-X1-Q3,0,0
12252,𓋴𓎛𓊵𓏏𓊪,sḥtp,"provide (for temple), make gracious (to)",S29-V28-R4-X1-Q3,0,0
12253,𓋴𓊵𓏏𓊪𓀭,sḥtp,to pacify,S29-R4-X1-Q3-A40,0,0
12254,𓋴𓊵𓏏𓊪𓏛𓄣𓏤,sḥtp jb,please,S29-R4-X1-Q3-Y1-F34-Z1,0,0
12255,𓋴𓊵𓏏𓊪𓏲𓇋𓇋𓈔𓈖𓌰𓅓𓊨𓏏𓎿,sḥtp nmst,offering table,S29-R4-X1-Q3-Z7-M17-M17-N34-N35-T34-G17-Q1-X1-W14,0,0
12257,𓋴𓎛𓍃𓅓𓅭𓅪,sḥtm,destroy,S29-V28-U15-G17-G39-G37,0,0
12258,𓋴𓎛𓏏𓍃𓅪,sḥtm,destroy,S29-V28-X1-U15-G37,0,0
12259,𓋴𓎛𓊨𓅓𓅯𓅪,sḥtm,destroy,S29-V28-Q1-G17-G41-G37,0,0
12260,𓋴𓎛𓍃𓅓𓅱𓅯𓅪𓀀,sḥtmw,destroyer,S29-V28-U15-G17-G43-G41-G37-A1,0,0
12262,𓋴𓌉𓆓𓇳,sḥḏ,"illumine, gladden, make clear, reveal",S29-T3-I10-N5,0,0
12263,𓋴𓌌𓇳,sḥḏ,"illumine, gladden, make clear, reveal",S29-T5-N5,0,0
12264,𓋴𓌉𓇶,sḥḏ,"illumine, gladden, make clear, reveal",S29-T3-N8,0,0
12265,𓋴𓌉𓇶,sḥḏ,"shine, make illumination, make explanation, become pale",S29-T3-N8,0,0
12266,𓋴𓌌𓇳,sḥḏ,"shine, make illumination, make explanation, become pale",S29-T5-N5,0,0
12267,𓋴𓌉𓆓𓇳,sḥḏ,"shine, make illumination, make explanation, become pale",S29-T3-I10-N5,0,0
12268,𓋴𓌋,sḥḏ,gladden,S29-T4,0,0
12269,𓋴𓌉,sḥḏ,"to instruct, to explain",S29-T3,0,0
12270,𓋴𓌉𓇳𓆓𓊮,sḥḏ,"to clear, to prune",S29-T3-N5-I10-Q7,0,0
12271,𓋴𓌉𓇳𓆓𓌪𓂡,sḥḏ,"to clear, to prune",S29-T3-N5-I10-T30-D40,0,0
12272,𓋴𓌉𓆓𓇳𓄣𓏤,sḥḏ jb,make glad,S29-T3-I10-N5-F34-Z1,0,0
12273,𓋴𓌉𓆓𓇳𓅪𓂋,sḥḏ wr,great light maker  (of Sun god),S29-T3-I10-N5-G37-D21,0,0
12274,𓋴𓌉𓆓𓇼𓅪𓂋,sḥḏ wr,great light maker  (of Sun god),S29-T3-I10-N14-G37-D21,0,0
12275,𓋴𓌉𓆓𓇳𓏤𓇾𓈇,sḥḏ tꜣ,dawn,S29-T3-I10-N5-Z1-N16-N23,0,0
12276,𓋴𓌉,sḥḏ,inspector,S29-T3,0,0
12277,𓋴𓌉𓆓𓏏𓆱,sḥḏt,chest (furniture),S29-T3-I10-X1-M3,0,0
12278,𓋴𓌉𓆓𓏏𓇳𓆱,sḥḏt,chest (furniture),S29-T3-I10-X1-N5-M3,0,0
12279,𓋴𓉐𓌌,sḥḏyt,palace,S29-O1-T5,0,0
12280,𓋴𓌉𓆓𓇳𓐎𓎟𓈖𓁻𓏏𓏤𓄻,sḥḏw n jrt,leucoma (an eye disease),S29-T3-I10-N5-Aa2-V30-N35-D6-X1-Z1-F51B,0,0
12281,𓋴𓎛𓆓𓈖𓅪,sḥḏn,vex,S29-V28-I10-N35-G37,0,0
12282,𓊃𓐍𓌪,sḫ,chop off (limbs),O34-Aa1-T30,0,0
12283,𓊃𓐍𓄔,sḫj,be deaf,O34-Aa1-F21,0,0
12284,𓋴𓐍𓏏𓏯𓏴𓀜,sḫj,be deaf,S29-Aa1-X1-Z5A-Z9-A24,0,0
12285,𓋴𓐍𓇋𓇋𓄔𓀁,sḫy,"deaf, deaf man",S29-Aa1-M17-M17-F21-A2,0,0
12286,𓊃𓐍𓂬,sḫj,"hit, smite, beat",O34-Aa1-D49,0,0
12287,𓋴𓐍𓀜,sḫj,"hit, smite, beat",S29-Aa1-A24,0,0
12288,𓋴𓐍𓏏𓀜,sḫt,blow,S29-Aa1-X1-A24,0,0
12289,𓋴𓐍𓏏𓏴𓂡,sḫt,to forge,S29-Aa1-X1-Z9-D40,0,0
12290,𓋴𓐍𓏏𓏴𓀜,sḫt,to scourge,S29-Aa1-X1-Z9-A24,0,0
12291,𓋴𓐍𓏏𓏯𓄔𓂡,sḫt,to beat,S29-Aa1-X1-Z5A-F21-D40,0,0
12292,𓋴𓐍𓏏𓏒,sḫt,an offering loaf,S29-Aa1-X1-X4,0,0
12293,𓇏𓏏𓈇,sḫt,"marshland, field, country",M20-X1-N23,0,0
12294,𓋴𓐍𓏏𓇏𓈅,sḫt,"marshland, field, country (beside town)",S29-Aa1-X1-M20-N21,0,0
12295,𓇏𓏏𓈅𓏤,sḫt,burial ground,M20-X1-N21-Z1,0,0
12296,𓇏𓏏𓈇𓏤𓏪,sḫt,burial ground,M20-X1-N23-Z1-Z3,0,0
12297,𓇏𓏏𓈇𓏤𓊖,sḫt,burial ground,M20-X1-N23-Z1-O49,0,0
12298,𓇏𓏏𓏤𓁐,sḫt,the Fen goddess,M20-X1-Z1-B1,0,0
12300,𓁹𓇏𓏏𓈇,jr sḫt,carry on field sports,D4-M20-X1-N23,0,0
12301,𓇏𓏏𓏭𓀀,sḫty,"peasant, fisherman, fowler",M20-X1-Z4-A1,0,0
12302,𓇏𓏏𓏭𓅂𓀜𓀀𓏥,sḫtyw,"peasants, fishermen, fowlers",M20-X1-Z4-G4-A24-A1-Z2,0,0
12303,𓇏𓅂𓃒𓈓,sḫtyw,class of cattle,M20-G4-E1-N33A,0,0
12304,𓋴𓆼𓄿𓀁,sḫj,"remember, call to mind, think about, mention",S29-M12-G1-A2,0,0
12305,𓋴𓐍𓆼𓄿𓀁,sḫj,"remember, call to mind, think about, mention",S29-Aa1-M12-G1-A2,0,0
12306,𓋴𓆼𓄿𓇰,sḫꜣ,spend the night,S29-M12-G1-N2,0,0
12307,𓋴𓆼𓄿𓀁,sḫꜣ,records,S29-M12-G1-A2,0,0
12308,𓀁,sḫꜣ,"reminder, memorandum",A2,0,0
12309,𓋴𓆼𓄿𓀁𓏫,sḫꜣw,documents,S29-M12-G1-A2-Z3A,0,0
12310,𓋴𓆼𓄿𓅱𓀁,sḫꜣw,"remembrance, memory, mention, memorial",S29-M12-G1-G43-A2,0,0
12311,𓋴𓆼𓅱,sḫꜣw,"remembrance, memory, mention, memorial",S29-M12-G43,0,0
12312,𓋴𓆼𓀁,sḫꜣw,"remembrance, memory, mention, memorial",S29-M12-A2,0,0
12313,𓋴𓆼𓄿𓀁,sḫꜣw,"remembrance, memory, mention, memorial",S29-M12-G1-A2,0,0
12314,𓋴𓆼𓇋𓇋𓀁,sḫꜣw,"remembrance, memory, mention, memorial",S29-M12-M17-M17-A2,0,0
12315,𓋴𓆼𓄿𓏲𓇋𓇋𓀁,sḫꜣw,"remembrance, memory, mention, memorial",S29-M12-G1-Z7-M17-M17-A2,0,0
12316,𓋴𓐍𓆼𓄿𓐍𓂻,sḫꜣḫ,hasten,S29-Aa1-M12-G1-Aa1-D54,0,0
12317,𓋴𓆼𓐍𓂻,sḫꜣḫ,to hasten,S29-M12-Aa1-D54,0,0
12318,𓋴𓆼𓄿𓐍𓏭𓏴𓂡,sḫꜣḫy,to hurry,S29-M12-G1-Aa1-Z4-Z9-D40,0,0
12319,𓋴𓈍𓂝𓏛,sḫꜥ,procession,S29-N28-D36-Y1,0,0
12320,𓋴𓈍𓂝𓏛,sḫꜥ,to adorn,S29-N28-D36-Y1V,0,0
12321,𓋴𓈍𓂝𓏲𓀭,sḫꜥ,to cause to appear,S29-N28-D36-Z7-A40,0,0
12322,𓋴𓈍𓂝𓇋𓇋,sḫꜥy,"cause to appear (of a god or king), dispaly (object)",S29-N28-D36-M17-M17,0,0
12323,𓋴𓈍,sḫꜥy,"cause to appear (of a god or king), dispaly (object), to arise",S29-N28,0,0
12324,𓋴𓈍𓂝,sḫꜥy,"cause to appear (of a god or king), dispaly (object)",S29-N28-D36,0,0
12325,𓋴𓈍𓂝𓂋𓀁,sḫꜥr,enrage,S29-N28-D36-D21-A2,0,0
12326,𓋴𓐍𓅱𓎺,sḫw,breadth,S29-Aa1-G43-W10,0,0
12327,𓋴𓐍𓅱𓎺𓏛,sḫw,breadth,S29-Aa1-G43-W10-Y1,0,0
12328,𓋴𓐍𓅱𓇋𓇋𓄻,sḫwy,bitter gall,S29-Aa1-G43-M17-M17-F51B,0,0
12329,𓋴𓐍𓅱𓏭𓉐,sḫwy,slaughterhouse,S29-Aa1-G43-Z4-O1,0,0
12330,𓋴𓐍𓃹𓈖𓌪𓉐,sḫwy,slaughterhouse,S29-Aa1-E34-N35-T30-O1,0,0
12331,𓋴𓐍𓍯𓅓𓀁,sḫwꜣ,"to deny, to disclaim responsibility",S29-Aa1-V4-G17-A2,0,0
12332,𓋴𓐍𓃹𓈖𓀁,sḫwn,dispute,S29-Aa1-E34-N35-A2,0,0
12333,𓋴𓐍𓃹𓈖𓂡,sḫwn,dispute,S29-Aa1-E34-N35-D40,0,0
12334,𓊃𓐍𓃹𓄑,sḫwn,"dispute, quarrel, strife",O34-Aa1-E34-F18,0,0
12335,𓊃𓐍𓅱𓊃𓏛,sḫws,"make prosperous, deck out (tomb)",O34-Aa1-G43-O34-Y1,0,0
12336,𓊃𓐍𓊃𓏛,sḫws,"make prosperous, deck out (tomb)",O34-Aa1-O34-Y1,0,0
12337,𓋴𓐍𓂤𓅱𓂧𓏛,sḫwd,enrich,S29-Aa1-D43-G43-D46-Y1,0,0
12338,𓋴𓐍𓂤𓂧𓏛,sḫwd,enrich,S29-Aa1-D43-D46-Y1,0,0
12339,𓋴𓐍𓅱𓂧𓏛𓏥,sḫwd,enrich,S29-Aa1-G43-D46-Y1-Z2,0,0
12340,𓋴𓐍𓅱𓂧𓐗𓏛,sḫwd,enrich,S29-Aa1-G43-D46-Aa9-Y1,0,0
12341,𓋴𓐍𓃀𓐍𓂻,sḫbḫ,"to ensnare, to snare, to catch",S29-Aa1-D58-Aa1-D54,0,0
12342,𓋴𓐍𓃀𓐍𓏴𓂡,sḫbḫ,"to ensnare, to snare",S29-Aa1-D58-Aa1-Z9-D40,0,0
12343,𓋴𓐍𓊪𓂻,sḫp,"conduct (someone to someone), bring (offerings), display (decree)",S29-Aa1-Q3-D54,0,0
12344,𓋴𓆣𓂋,sḫpr,"bring into being, create, make, make grow (a garden)",S29-L1-D21,0,0
12345,𓋴𓆣𓂋,sḫpr,"raise (a child), educate, breed (animals), bring about (an event)",S29-L1-D21,0,0
12346,𓋴𓆣𓂋,sḫpr,"effect (a deed), foster (truth), turn, transform (into)",S29-L1-D21,0,0
12347,𓋴𓆣,sḫpr,"bring into being, create, make, make grow (a garden)",S29-L1,0,0
12348,𓋴𓆣,sḫpr,"raise (a child), educate, breed (animals), bring about (an event)",S29-L1,0,0
12349,𓋴𓆣𓂋,sḫpr,"to train, to raise",S29-L1-D21,0,0
12350,𓋴𓆣,sḫpr,"effect (a deed), foster (truth), turn, transform (into)",S29-L1,0,0
12351,𓋴𓆣𓂋𓏲𓏛𓏥,sḫpr,ward,S29-L1-D21-Z7-Y1-Z2,0,0
12352,𓋴𓆣𓂋𓏯𓀀,sḫpr,ward,S29-L1-D21-Z5A-A1,0,0
12353,𓋴𓆣𓂋𓏯𓏛𓀜,sḫpr,offspring,S29-L1-D21-Z5-Y1-A24,0,0
12354,𓋴𓆣𓂋𓏲,sḫpr,trainer,S29-L1-D21-Z7,0,0
12355,𓋴𓆣𓂋𓏲,sḫprw,"acquisitions, responsibility",S29-L1-D21-Z7,0,0
