dictionary	dictiōnārium
lord	Dominus
lupus	Lupus
lupus	Bestia
lyra	Chelys
lyra	Fides
lyra	Fidis
lyra	Fidicula
lyra	Lyra
magi	magi
magi	Magi
main	Moenis
main	Moenus
majesty	maiestas
majesty	majestas
maltese	Melitensis
maltese	Melitēnsis
maltese	Maltēnsis
maltese	New Latin
maltese	Melitēsius
mandarin	lingua Sinensis Mandarinica
marathon	Marathōn
marcel	Mārcellus
march	mārtius
marina	Marina
mark	Marcus
martin	Mārtīnus
may	māius
media	Mēdia
mercury	Mercurius
miss	dominula
mongol	mońǵol
moon	luna
moon	sc=Latinx
mr.	dominus
muggle	Muggle
muse	Musa
myrmidon	Myrmidones
nemesis	Nemesis
nice	Nīcaea
odyssey	Odyssēa
ottoman	osmanicus
parma	Parma
phaëthon	Phaëthōn
pisa	Pīsae
pisces	Pisces
po	Padus
polaris	Stella Polaris
priapus	Priāpus
prophet	prophetes
protestant	Protestāns
protestant	protestanticus
prussian blue	caeruleus berolinensis
rabat	Rabatum
rabat	Oppidum Novum
ray	Rhagae
ray	Rhaganae
renaissance	Renascentia litterarum
revelation	Apocalypsis
revelation	Revēlātiō
roger	Rogerius
roman	Romanus
roman	лаці́нка
roman	łacinka
roman	Latinka
roman	chữ cái Latinh
roman	chữ Latinh
roman	male
romance	rōmānicus
romance	Latin
ruth	Ruth
seine	Sequana
shanghai	Sciamhaevum
shanghai	Sanghaevum
shanghai	Siamhaevum
slav	Slavus
sphinx	Sphinx
sphinx	Sphingis
spica	spīca virginis
split	Spalatum
spree	Sprea
superman	Superhomō
titian	Titiānus
trinity	trīnitās
trinity	Trīnitās
turkey	Turcia
tyre	Tyrus
urban	Urbanus
valentine	Valentinus
varna	Odessus
wisdom	Sapientia
worms	Vormatia
york	Eborācum
snow globe	globus nivalis
carelessness	indīligentia
carelessness	incūria
pretend	simulo
pretend	fingo
satirical	satiricus
afar	procul
courageous	magnanimus
meaningless	vānus
daydream	somnium
daydream	somnio
cabin	casa
whippersnapper	frustum puer
iapetus	Japetus
ibuprofen	acidus propionicus isobutylphenylus
embassy	lēgātio
austere	austērus
sift	cribrō
sift	cernō
bison	bison
intermediary	internuntius
intermediary	internuntia
mediator	interpres
mediator	agaga
mediator	mediātor
furrow	sulcus
furrow	bóra
shinbone	gongus osseus
shinbone	tibia
sincerely	sincērē
look after	cūrō
juggle	aerusco
dexterity	agilitās
dexterity	pernīcitās
nasal cavity	cavitās nāsī
earth	orbis
earth	terra
earth	orbis terrarum
earth	Zèmlja
battering ram	ariēs
carry off	auferō
carry off	dēgerō
carry off	raptō
affirm	affirmō
affirm	dico
palatine	Palatium
samaria	Samarīa
wheel of fortune	rota fortunae
sardine	sarda
sardine	sardina
ulsterman	Ultōniēnsis
courteous	cōmis
hunch	gibbus
hunch	gibber
billy goat	hircus
billy goat	caper
autism	autismus
seminar	sēminārium
martial	bellax
martial	Martialis
dee	dē
sororicide	sorōricīdium
sororicide	sorōricīda
galen	Galenus
theophany	theophania
rivalry	rīvālitās
muddy	līmōsus
muddy	lutulentus
muddy	turbidus
straighten out	corrigo
come across	inveniō
coal black	anthracinus
lamia	lamia
suck up	ulizivati
suck up	šlihtati
suck up	uvlačiti
new world	novus orbis
hesitant	cunctans
hesitant	haesitans
brevity	brevitās
epithelium	epithelium
epithelium	textus epithelialis
transmissible spongiform encephalopathy	encephalopathia spongiforma transmissibilis
attractiveness	pulchritūdō
attractiveness	formōsitās
emily	Aemilia
outermost	extimus
innermost	intimus
modify	adaptō
on the spot	ilico
on the spot	illico
on the spot	praesto
sated	plēnus
matron	matrōna
piracy	pīrātica
utilise	utor
scoop	trulla
bell pepper	capsicum
pituitary gland	glandula pituitaria
hangover	crāpula
ixion	Ixion
paleolithic	palaeolithicus
mesolithic	mesolithicus
wardrobe malfunction	malfunctiōnamentum vestimentārium
wardrobe malfunction	incidentum vestimentārium
cease and desist	desine et desiste
cease and desist	desinete et desistete
consult	sciscitor
flowing	fluens
termination	terminatio
termination	exitus
urinary bladder	vēsīca
cycling	cursu
gall bladder	fel
gall bladder	vesica biliaris
phaistos	Phaistos
flaming	flagrans
pickaxe	dolābra
pickaxe	scudicia
tavern	caupōna
tavern	taberna
tavern	canaba
turmoil	turba
turmoil	tumultus
endless	infīnītus
endless	aeternus
dilly-dally	mūgīnor
epididymis	epididymis
thicket	virgultum
thicket	vespex
thicket	frutectum
leftover	residuus
gatherer	legulus
huntress	vēnātrix
king arthur	Arthurus
king arthur	Arthurus rex
coincide	coincidō
coincide	congruō
armageddon	Armagedōn
the other day	dudum
the other day	nūper
peridot	chrysolithos
metamorphose	transfiguro
unfurl	explicō
devil's advocate	advocatus diaboli
extortion	repetundae
halloween	Pervigilium Omniorum Sanctorum
signify	significo
church of jesus christ of latter-day saints	Ecclesia Iesu Christi Diebus Ultimis Sanctorum
devise	nectō
côte d'ivoire	Litus Eburneum
equality	aequitās
muhammad	Mahometus
muhammad	Machometus
care bears	Ositos Cariñositos
care bears	Osos Amorosos
encephalopathy	encephalopathia
fuck up	razjebati
fuck up	sjebati
fuck up	razvaliti
fuck up	bataliti
fuck up	uništiti
detective	inquīsītor
arabia	Arabia
dissatisfied	inexplētus
sufism	Sufismus
quantization	quantizatio
harmless	innocuus
ishmael	Ismahel
ishmael	Ismael
hijab	calautica
tie up	ligō
tie up	alligō
tie up	vinciō
dhul hijjah	ذو الحجَة
dhul hijjah	sc=Latinx
go-between	internuntius
go-between	internuntia
conical	conicus
kafir	kafir
medina	Medina
happenstance	accidentia
eschatological	eschatologicus
hole-in-the-wall	gurgustium
storehouse	apothēca
adoptee	adoptatus
adoptee	adoptata
diver	ūrinātor
diver	rònilac
diver	gnjúrac
deify	deificō
convene	conveniō
astrakhan	Agitarcan
baby food	pāpārium
countryside	rūs
obtuse-angled	obtusangulus
obtuse-angled	obtusiangulus
obtuse-angled	amblygonius
obtuse-angled	ambligonius
meretricious	meretrīcius
uphill	acclīvis
secondhand	redivīvus
uproar	clāmor
uproar	turba
uproar	tumultus
upstart	novus homo
upstream	flūmine adversō
in a nutshell	in nuce
valerian	odòljen
valerian	valerijána
astrophysics	astrophysica
olive tree	olīva
olive tree	olea
ural mountains	montes Uralenses
ural mountains	Uralense iugum
urbanity	urbānitās
bailiff	ballivus
bailiff	bāiulus
hostler	agāsō
ensnare	illaqueō
securely	tūtō
disjunction	disjunkcija
hue and cry	hutesium et clamor
freeloader	parasītus
freeloader	parasīta
derek	Theodoricus
tablecloth	mēnsārium
sperm whale	physeter
reproach	opprobrō
inclined	prōpensus
reporter	relātor
refusal	negātiō
to thine own self be true	quisque sibi verus
eloquent	argūtus
eloquent	ēloquens
eloquent	fācundus
smoking	fūmifer
throughout	per
shining	nitidus
shining	radians
shining	lūcidus
beforehand	antea
curling iron	calamister
curling iron	calamistrum
emission	ēmissiō
woe is me	guay de mí
arugula	ērūca
angelica	anđèlika
fidelity	fidelitas
take away	auferō
take away	adimō
take care	curo
take care	caveo
take care	accuro
take care	cura
take care	curate
take care	cave
take care	cavete
take for granted	praesūmō
unto	ad
unto	usque
unto	sub
unscathed	indēstrictus
unscathed	incolumis
greasy	unctus
warped	pandus
becoming	consentaneus
capstan	sucula
groundwork	principium
small intestine	lactēs
identity matrix	jedinična matrica
space shuttle	navicula sideralis
space shuttle	navicula spatialis
space shuttle	navicula sideralis circumvolans
reverend	Reverendus
take back	redhibeō
take back	reddo
milestone	mīlliārium
talkativeness	loquācitās
talkativeness	garrulitās
discern	dispicio
discern	dispecto
discern	prospicio
discern	internoscō
league table	clasificación
league table	posiciones
alliteration	alliteratio
sebum	sebum
sebaceous gland	glandula sebacea
mistletoe	viscum
tonsil	tonsillae
hammered	malleatus
marzipan	Mārtius pānis
marzipan	mārtipānis
marzipan	Mārcī pānis
tonsillitis	angina
tonsillitis	tōlēs
quinsy	angina
sanitary napkin	compresa
sanitary napkin	toalla sanitaria
sanitary napkin	Modess
sanitary napkin	colloquial
sanitary napkin	toallita
decrepit	dēcrepitus
calm down	mītēscō
rudolph	Rudolphus
rudolph	Rudolfus
asgard	Asgarthus
seabird	mergus
exclaim	exclāmō
sudetenland	Sudetia
tetanus	tetanus
custody	custōdia
custody	custodia
penetrating	penetrālis
tasteless	insulsus
tattered	pertūsus
scarcely	haud
scarcely	vix
derrick	tollēnō
attain	teneo
attain	potior
fistula	fistula
regent	interrex
breathable	spīrābilis
amphora	amphora
lump	glaeba
lump	massa
lump	mōlēs
on the brink of	futurus sum
bohemian	Bohemus
bohemian	bohemicus
bohemia	Bohemia
bohemia	Boiohaemum
evidently	ēvidenter
holder	capsa
czechoslovakia	Cechoslovacia
czechoslovakia	Bohemoslovacia
theologian	theologus
revolve	vertō
taxable	vectīgālis
unpopular	invīsus
randomly	temere
sacrilegious	sacrilegus
rudely	barbarē
stabilize	stabiliō
sympathetic	misericors
presently	mox
rabble rouser	turbātor
scattered	dispersus
trembling	tremor
antidepressant	antidepressivum
adoptive mother	mater adoptiva
make a mountain out of a molehill	nodum in scirpo quero
exceedingly	perquam
continually	iūgiter
continually	assiduē
consequently	consequenter
seriously	sēriō
distinctly	disertim
hastily	properē
eagerly	certātim
eagerly	cupienter
deadly	mortifer
deadly	lētālis
namely	utpote
namely	nomen
heart attack	infarctus cordis
heart attack	infarctus cordis acutus
heart attack	infarctus myocardii
heart attack	infarctus myocardii acutus
piggy bank	Southern Spain and Canary Islands
piggy bank	Chile
piggy bank	Venezuela
donor	donator
apple wine	 sīcera
harelip	labium leporinum
rushed	concitātus
clarity	claritudo
deflect	dēflectō
continuity	continuitas
arthritis	podagra
arthritis	cheragra
illiteracy	analphabētismus
russian federation	Foederatio Russica
politely	cōmiter
methuselah	Mathusael
equip	ornō
equip	armo
lender	crēditor
mobility	mōbilitās
challenger	prōvocātor
phonology	phonologia
toothpick	dentiscalpium
invigorate	vegetō
invigorate	corrōborō
icy	glaciālis
icy	gelidus
toothless	ēdentulus
hemlock	cicūta
hemlock	kùkuta
unjust	iniūrus
ignorant	inscītus
ignorant	ignārus
ascertain	scīscō
ascertain	comperiō
fucked	futūtus
supplement	appendix
dover	Dubris
teething	dentītiō
teething troubles	dečije bolesti
helen	Helena
web page	pāgina interrētiālis
birdcage	cavea
tenfold	desetostruk
tenfold	decuplus
tenfold	desetostruko
bitumen	bitūmen
smock	involucre
pineal gland	glandula pinealis
corsica	Corsica
mastery	potestas
bubonic plague	pestis bubonica
backscratcher	scalptōrium
mic.	Mich.
buttercup	rānunculus
buttercup	gallīcrūs
alimony	alimonia
eurasia	Eurasia
tenacious	tenax
tenderhearted	misericors
craftsman	artifex
craftsman	opifex
lothario	femellarius
lothario	mulierarius
rhineland	Rhēnānia
earthenware	fictilis
potash	nitrum
smoothness	lēvitās
softness	mollitūdō
softness	lenitas
electric current	fluxus oneris electrici
electric charge	onus electricum
drinking	escabio
drinking	colloquial
receptacle	receptāculum
colloquially	colloquialiter
arboretum	arborētum
take out	educo
troubled	sollicitus
hurtful	noxius
ashamed	pudefactus
frightened	territus
frightened	metuens
frightened	perterritus
frightened	exterritus
frightened	proterritus
frightened	formīdulōsus
frightened	timefactus
frightened	excītus
frightened	pavefactus
frightened	gelātus
frightened	pallidus
frightened	uplašen
crowded	celeber
crowded	condensus
crowded	frequēns
confined	conclūsus
calamitous	calamitōsus
armlet	nàrukvica
armlet	brazlèta
armlet	brazlètna
armlet	bračòlet
deserted	dēsertus
deserted	dērelictus
disturbed	sollicitus
confessed	cōnfessus
cultivated	cultus
armband	galbeus
enable	habilito
mingle	misceo
auctioneer	praecō
crying	flētus
bloodthirsty	sanguināns
bloodthirsty	sanguineus
bloodthirsty	cruentus
bondsman	sponsor
caesar	Caesar
intoxicated	ēbrius
intoxicated	tēmulentus
intoxicated	borracho
intoxicated	escabiado
intoxicated	escabio
intoxicated	colloquial
delightful	iūcundus
delightful	voluptuosus
stairs	scāla
softly	molliter
softly	leniter
firmly	firmiter
english channel	Oceanus Britannicus
blockhead	blennus
blockhead	caudex
blockhead	gurdus
blockhead	stīpes
borer	terebra
furthest	extimus
techno	musica technica
ceres	Cerēs
extort	extorqueō
besmear	linō
flawed	vitīosus
flawed	mendōsus
potbelly	aquāliculus
pearl diver	margarītārius
animadversion	animadversio
shaving	ramentum
squander	helluor
squander	prōdigō
squander	lancinō
squander	expatrō
marketplace	forum
marketplace	mercātus
marketplace	macellum
market day	nūndina
appraisal	taxātiō
appraisal	aestimātiō
daylight	lux
ransom	pretium
ransom	redimō
safely	tūtō
earnestly	certātim
procession	pompa
procession	exsequia
destined	fātālis
somehow	aliquā
bulbous	bulbosus
public health	salus publica
flimsy	fragilis
earnest money	arrabō
spinning wheel	fusus
burdensome	onerōsus
silently	silenter
-urgy	-urgia
sharpness	aciēs
meantime	interea
meantime	interim
nervous system	systēma nervōsum
spinal cord	medulla spinalis
fictitious	fictus
fictitious	commentus
new world order	novus ordo seculorum
westernmost	occidentissimus
restoration	reductiō
studious	studiosus
anthroposophy	anthroposophia
grotto	caverna
ef	ef
kindergarten	parvulario
kindergarten	jardín de infancia
kindergarten	jardín infantil
kindergarten	kínder
kindergarten	preescolar
swimming pool	piscīna
geez	edepol
drown out	obsōnō
impetigo	impetīgō
impetigo	inpetīgō
holy roman empire	Sacrum Romanum Imperium
detain	dētineō
detain	teneo
incestuous	incestus
adam's apple	prominentia laryngea
frenchman	Francus
frenchwoman	Franca
synonymous	synonymos
synonymous	synonymus
noisome	taeter
terrifying	terrificus
testify	testificor
still life	natura mortua
heathen	gentilis
nobility	nōbilitās
nobility	nobilitas
nobility	ingenuitas
new york city	Novum Eboracum
desideratum	dēsīderātum
herbarium	herbārium
bow-legged	scambus
bow-legged	lōripēs
bow-legged	varus
bow-legged	vatius
thankfulness	gratia
tetrarchy	tetrarchia
geographic information system	systema informationis geographicum
inception	inceptiō
restless	inquiēs
restless	implacidus
sprinkle	spargō
sprinkle	aspergō
sprinkle	aspergo
ferrous	ferreus
impediment	impedīmentum
impediment	ōbex
skateboard	tabula subrotata
playboy	asōtus
invoke	invocō
reestablish	restituō
reestablish	restaurō
anilingus	anilingus
sadness	trīstitia
balcony	maenianum
balcony	podium
back door	postīcum
partnership	consortium
theosophy	theosophia
caracalla	Caracalla
molecular genetics	molecularis geneticus
aegean sea	Mare Aegaeum
aegean sea	Egejsko more
daybreak	aurora
daybreak	dīlūculum
daybreak	gallicinium
chiromancy	chiromantia
sweetness	dulcēdō
sweetness	dulcitās
sweetness	dulcitūdō
sweetness	dulcor
sweetness	mellinia
sweetness	suāvitās
sweetness	suavitudo
incongruous	alienus
flowering	flōrens
mixer	promiscuus
restlessness	inquiētūdō
restlessness	turbor
certainty	certum
certainty	certitūdō
seashore	lītus
seashore	acta
inquisition	Inquisitio
amplitude	amplitūdō
corkscrew	extraculum
stalinism	a=aiilmnsst
spring onion	mlȃdī lȕk
shrivel	marceō
persona non grata	persona non grata
equivalence principle	prīncipium aequivalentiae
bedridden	prikovan za krevet
bedridden	vezan za krevet
homeland	patria
bracelet	armilla
bracelet	viria
constrict	praestringō
seasoned	condītus
maltreat	violō
irregularity	irregularitas
scared	metuens
scared	timidus
scarred	cicātrīcōsus
inheritance	herctum
vagus nerve	nervus vagus
martial law	lex militaris
courtyard	aula
cranial nerve	nervus cranialis
slattern	lupa
encounter	nanciscor
encounter	invenio
indictment	crīmen
magistrate	magistratus
bitterness	acerbitās
bitterness	amāritās
bitterness	amāritiēs
bitterness	amāritūdō
bitterness	amārulentia
bitterness	austēritās
bitterness	fel
ceremonial	caerimonialis
ceremonial	caerimonia
implacable	implācābilis
implacable	implācābile
judicious	sapiens
sleight of hand	praestīgiae
devastating	vastificus
inglorious	inglorius
disgraceful	dēfōrmis
disgraceful	indecor
disgraceful	ignominiosus
thickness	crassitūdō
hayseed	petrō
slave-girl	ancilla
slave-girl	famula
slave-girl	serva
dropsy	vodena bolest
lecherous	salax
lecherous	cupidus
lecherous	libīdinōsus
meanwhile	interim
meanwhile	intereā
obviously	quippe
demolish	dēmōlior
demolish	dēruō
demolish	disturbō
invidious	invidiosus
sustenance	pābulum
polished	polītus
cheerfully	hilariter
illustrious	pulchrum
illustrious	illustris
fortify	corrōborō
fortify	firmo
fortify	fortifico
fortify	munio
fortify	praemunio
fortify	ēmūniō
otherworldly	ultrāmundānus
prolonged	prōductus
speedy	vēlox
speedy	celer
speedy	celox
speedy	properus
squawk	pȋsak
squawk	píštati
readiness	promptus
tricolour	tricolor
cortex	cortex
seething	fervidus
comminution	comminūtiō
in addition	praeterhāc
commanding	imperiōsus
sleep together	concumbō
trojan horse	Equus Troianus
trojan horse	equus Troianus
trestle	vara
lessor	locātor
slippery	lūbricus
smear	linō
suppress	supprimo
diversity	diversitas
loiter	moror
loiter	sedeo
rainbow trout	fario
prussia	Prūssia
prussia	Borūssia
prussia	Prussia
prussia	Prutenia
prussia	Borussia
happily	feliciter
happily	laetē
happily	libenter
happily	prolixe
happily	propense
happily	sponte
happily	grate
heartily	frāternē
frisky	lascīvus
frisky	petulcus
leap day	dies intercalarius
rug	strāgulum
rug	tapēs
next to	secundum
rounded	teres
scoundrel	furcifer
scoundrel	furcifera
scoundrel	verberō
defiance	contumācia
gloom	mōrōsitās
vehemently	ācriter
precaution	provisio
plateau	planus
plateau	platus
promising	magnae speī
make headway	prōficiō
joyfully	laetē
joyfully	hilariter
trophy	trophaeum
scrutiny	scrūtinium
stingray	trȳgōn
hand out	distribuō
specimen	specimen
satisfying	satiāns
perry	piracium
racecourse	curriculum
tarragon	dracunculus
parsley	petroselinum
parsley	petroselinon
unjustly	inīque
malformed	dēfōrmis
adoptive father	pater adoptivus
pains	opera
wandering	vagus
wandering	errābundus
wandering	vagabundus
edgar	Edgarus
earthly	terrestris
weeping	flētus
sharply	ācriter
garrison	praesidium
whatsoever	quidquid
gladly	libenter
parting	discrīmen
faded	dēcolor
disagreeable	odiosus
prudent	prūdens
prudent	cordātus
doorway	ostium
doorway	ianua
boldly	audaciter
boldly	audacter
cytoskeleton	cytosceletus
twilight	crepusculum
cleric	sacerdōs
cleric	pontifex
bodyguard	stipator
bodyguard	satelles
bodyguard	custōs corpus
manly	masculus
manly	virilis
pendulous	pendulus
senile	senīlis
sycamore maple	gorski javor
wonderfully	mirābiliter
beautifully	pulchre
fiercely	ferociter
fiercely	atrociter
remarkably	insigniter
remarkably	eximiē
cautiously	cautim
cautiously	tectē
cautiously	pedetemptim
expressly	nōminātim
unexpectedly	inexspectate
keenly	ācriter
privately	prīvātim
privately	clam
respectfully	reverenter
neatly	munditer
perpetually	iūgiter
sweetly	dulciter
sweetly	suāviter
mightily	potenter
princely	aulicus
moonlight	lūx
sultry	aestifer
thames	Tamesis
thames	Tamesa
disciple	discipulus
disciple	discens
fluorite	murra
horsefly	tabānus
treacherous	perfidus
treachery	perfidia
housefly	Musca Domestica
catarrh	gravēdō
catarrh	coryza
catarrh	catarrhus
catarrh	dēstīllātiō
catarrh	gravitūdō
catarrh	īnflūxiō
catarrh	rheuma
sweet gum	liquidambar
indeclinable	indeclinabilis
republic of turkey	Respublica Turcica
tamil tiger	sc=Latinx
haruspex	haruspex
haruspex	extispex
constantine	Constantinus
constantine	Constantina
ignition	ignitio
hostess	hospita
hostess	azafata
hostess	aeromoza
voilà	ecce
stylish	auctor
elative case	casus elativus
strawberry tree	arbutus
strawberry tree	unedo
strawberry tree	plànika
strawberry tree	màginja
fumitory	capnos
fumitory	dìmnjača
linnet	linaria
at once	simītū
at once	statim
rarity	rāritās
weevil	curculiō
bastion	vallum
orogeny	orogenesis
perverted	corruptus
glagolitic	Abecedarium Glagoliticum
reticent	reticentia
scruple	scrupulus
erudition	doctrīna
erudition	ērudītiō
troublemaker	vexātor
troublemaker	turbātor
troublemaker	pestifer
gilded	aureus
insignificance	parvitās
unsuitable	alienus
volga	Rha
hearsay	audītiō
hearsay	rūmor
pericles	Pericles
rubicon	Rubicō
rubicon	Rubicōn
keep the wolf from the door	famem a foribus pellere
footstep	vestigium
oder	Odera
oder	Viadrus
tendril	pampinus
rhone	Rhodanus
tribute	tribūtum
tribute	stipendium
crosswise	obliquus
subtlety	argūtiae
subtlety	subtīlitās
commit to memory	edisco
entrust	commendō
stinger	aculeus
let alone	nedum
grating	acidus
grating	transenna
derby	Derventiō
nudiustertian	nudiustertianus
domesday book	Angliae Notitia et Lustratio
domesday book	Censualis Angliae
domesday book	Liber Censualis
domesday book	Liber Judicarius
domesday book	Liber Judiciarius
domesday book	Liber Regis
domesday book	Liber de Thesauro
domesday book	Liber de Wintonia
domesday book	Rotulus Regis
domesday book	Rotulus Wintoniae
domesday book	Scriptura Thesauri Regis
crested tit	Lophophanes cristatus
caspian sea	Caspium mare
caspian sea	Mare Caspium
caterwaul	cauriō
cajole	lactō
cajole	sublectō
cottontop tamarin	Saguinus oedipus
widescreen	panoramicus
immensity	immānitās
bandage	fascia
bandage	infula
bandage	alligō
enroll	conscrībō
emissary	emissarius
eagerness	studium
elevated	elevatus
elevated	celsus
moray	mūraena
ethical dative	datīvus ēthicus
conjure	accio
conjure	ēliciō
conjure	evoco
conjure	invoco
cracked	rīmōsus
cracked	vacerrōsus
outlawed	proscriptus
inventory	inventārium
decorated	comptus
fortified	intutus
shattered	quassus
shattered	fractus
bellow	rudor
bellow	rudō
bellow	mūgiō
dominion	dominium
frothy	spumeus
milky	lacteus
zander	lucioperca
ask for	petō
ask for	poscō
ask for	requīrō
xerxes	Kserks
bending	flexus
threatening	minax
threatening	minitābundus
stained	maculōsus
tiresome	molestus
ganesha	Ganesha
horrific	horrificus
set about	eō
bandit	latrō
bandit	latro
boiled	ēlixus
sceptre	sceptrum
sceptre	baculum
great white shark	Carcharodon carcharias
church of england	Ecclesia Anglicana
bishop of rome	Episcopus Romana
sacristy	sacrārium
sacristan	sēcrētārius
sacristan	sacrarius
sacristan	aedituus
disenchant	dēlustrō
impenetrable	impenetrābilis
impenetrable	invius
penetrable	penetrābilis
spotted	maculatus
spotted	sparsus
stimulated	excitātus
laborious	labōriōsus
glittering	coruscus
kolo	kȍlo
lithosphere	lithosphaera
lodgings	hospitium
value added tax	impuesto sobre el valor añadido
value added tax	impuesto al valor agregado
middling	mediocris
stubble	stipula
stubble	stȓn
stubble	sh
stubble	str̀nika
bookkeeper	tabulārius
bookkeeper	ratiōcinātor
bookkeeper	perscriptor
strawberry blonde	rutilus
apple of discord	mālum discordiae
shape-shifter	transfigurans
shape-shifter	transformans
shape-shifter	mutans
peppercorn	grānum piperis
profanity	turpiloquium
thoughtful	memor
thoughtful	cōgitābundus
sea horse	equus bipēs
long live	vivat
long live	vivant
downfall	ruīna
kinesthesia	cinaesthesia
terrified	territus
prostrate	prosternō
bidding	licitātiō
proceeds	reditus
conger eel	conger
jesse	Iesse
alabaster	alabaster
unsightly	turpis
prepubescent	impūbēs
midge	culex
romance language	Roman dili
romance language	Latin kökenli dil
romance language	Latin
romance language	Neo-Latin
silkworm	bombyx
great-aunt	amita magna
awaken	expergō
awaken	excito
awaken	expergiscor
awaken	excitor
awaken	exsuscito
wildness	feritas
wildness	torvitās
demolition	disturbātiō
entrée	gustātiō
mallow	malva
lonesome	sōlitārius
woodworm	tarmes
woodworm	terēdō
screech	stridō
embarrassing	difficilis
excursion	excursiō
someday	aliquando
unshaven	intonsus
unshaven	irrasus
tortuous	flexuosus
gluttony	gula
potency	potestās
set forth	prōpōnō
epidemiology	epidemiologia
anchorage	statio
bathrobe	albornoz
bathrobe	bata de baño
bathrobe	salida de baño
bathrobe	Uruguay
crisscross	intercursō
ramble	ālūcinor
scales	lībra
scales	trutina
scales	statēra
intelligibility	intellegibilitas
solemnity	sollemnitās
everlasting	sempiternus
sincerity	sincēritās
faintly	languidius
memorable	memorābilis
eyewitness	arbiter
eyewitness	arbitra
pitch-black	piceus
paved	constrātus
lordship	Dominus
lordship	dominātiō
mantle	amictus
mantle	lacerna
stony	lapideus
stony	saxōsus
stony	lapidosus
escort	comitātus
escort	cohors
escort	dēductor
gold leaf	bractea
breadbasket	pānārium
road map	itinerārium
hangnail	reduvia
hooked	hāmātus
grouchy	ācriculus
throng	multitūdō
throng	turba
throng	frequentia
throng	caterva
throng	vulgus
arras	dráppī Atrĕ́bătī
iamb	iambus
neighboring	vīcinālis
ferocious	ferox
ferocious	trux
when in rome, do as the romans do	si fueris Rōmae, Rōmānō vīvitō mōre; si fueris alibī, vīvitō sīcut ibī
dipper	trulla
bring up	memorō
bring up	obiiciō
graces	Gratiae
kyoto	Meacum
kyoto	Miaco
kyoto	Kyotum
kyoto	Kioto
kyoto	Kyoto
giblet	gizerium
rapunzel	Rapuncula
borneo	Borneo
asexuality	aseksualnost
sobbing	singultus
after all	denum
after all	denique
after all	tandem
old-time	vetustus
break up	dīlābor
prophetic	fāticanus
prophetic	fātidicus
prophetic	vāticinius
all-powerful	omnipōtens
glowworm	lampyris
anapestic	anapaestus
anapestic	anapaesticus
intervention	interventus
rotunda	tholus
meat-eating	carnivorus
plaything	lūdibrium
unremitting	assiduus
joel	Ioel
nodding	nūtus
fabled	fabulosus
famed	fāmōsus
verdigris	aerūgō
epigrammatic	epigrammaticus
scavenger	colacarius
dendrochronology	dendrochronologia
figuratively	figūrātīvē
conrad	Conradus
wee-wee	pipinna
thieving	fūrax
winchester	Venta Belgarum
winchester	Wintonia
have to	habeō
have to	habeō quod
have to	dēbeō
cut off	praecīdō
cut off	amputō
cut off	dēsecō
premonition	praemonitus
premonition	praesāgium
evildoer	maleficus
evildoer	malefactor
stenographer	actuārius
beguile	decipio
exceptionally	eximiē
spacious	capax
spacious	laxus
spacious	spatiōsus
mutually	mutuē
credit card	tessera crediticia
powerless	nequiens
powerless	impotens
lampblack	fūlīgō
mystic	mysticus
mystic	obscurus
overpower	obruō
overshadow	obumbrō
overshadow	umbrō
paterfamilias	pater familias
rice pudding	suṭlach
undertaking	susceptus
undertaking	coeptum
for sure	prō certō
expedite	expedio
snappish	mordax
deformity	dēfōrmitās
green tea	thea viridis
black coffee	café Express
black coffee	café negro
black coffee	café solo
black coffee	negrito
black coffee	tinto
pennyroyal	pūlegium
hydride	hìdrīd
aeschylus	Aeschylus
deadly nightshade	solanum
graveyard	coemeterium
graveyard	sepulcrētum
disobey	inoboedio
dishonour	ignominia
dishonour	dehonestō
pickpocket	manticulātor
pickpocket	sacculārius
inkstand	atramentarium
brotherhood	frāternitās
credible	crēdibilis
credible	fidus
brown bear	mrki medved
brown bear	mrki medvjed
brown bear	smeđi medved
brown bear	smeđi medvjed
goblin	gobelinus
goblin	cobalus
horrendous	horrendus
glossy	lucens
quinquennial	quinquennālis
eatery	popīna
eatery	gānea
allheal	panax
seditious	sēditiōsus
convenience	commoditas
convenience	commodum
coaxial cable	koaksijalac
cecilia	Caecilia
cecilia	Cæcilia
cecilia	Celia
point of view	punctum visus
point of view	sententia
encampment	castra
rowlock	scalmus
oakum	kučina
healthful	sanus
let go	mitto
let go	demitto
let go	dimitto
let go	amittere
oxytone	oxytonus
adige	Atesis
adige	Athesis
pasha	bassa
let in	admittō
let in	intrōmittō
make for	peto
drive out	exigō
fatherhood	paternitās
alfalfa	mēdica
cohesion	cohaesiō
embarkation	conscensiō
lawless	illex
lawless	exlex
extortionist	extortor
extremaduran	Lingua Extremaduriana
equinoctial	aequinoctialis
esparto	spartum
tinsmith	faber stannicus
corrosion	corrosio
rosary	rosarium
co-	co-
dauntless	interritus
empyrean	empȳreus
unfinished	infectus
safeguard	munio
safeguard	praemunio
cicero	Cicerō
betrayer	proditor
hang up	suspendō
terrify	terreō
safekeeping	custōdia
coffer	arca
coldness	algor
coldness	algus
coldness	frīgus
coldness	frīgor
coldness	frigus
coldness	frigor
dog rose	divlja ruža
dog rose	pasja ruža
dog rose	šípak
dog rose	ширу́рак
g-string	perizoma
