указ 	 noun 	 ukase 	 enactment, ordinance, decree, edict, ukase
ярлык 	 noun 	 подде́ржка 	 * work=3D News – Daily Digital Digest|title=Facebook всерьёз взяла́сь за монетиза́цию WhatsApp|date=2018-08-03|url=https://3dnews.ru/973434|note=paraphrasing  which in turn derives from the |text=В нём &amp;91; приложе́нии обме́на мгнове́нными сообще́ниями&amp;93; появи́лось три но́вых спо́соба взаимоде́йствия  предприя́тиями: ярлы́к для мгнове́нного начала перепи́ски, возмо́жность запра́шивать  компа́ний поса́дочные тало́ны  други́е да́нные тако́го рода,  та́кже подде́ржка  режи́ме реа́льного вре́мени.|t=In it  there have appeared three new modes of interaction with companies: a shortcut button for promptly beginning to message, the possibility to ask boarding passes from a company and similar data of this sort, and real-time support
аквариум 	 noun 	 aquarium 	 aquarium
спасти 	 verb 	 rescue 	 to save, to rescue
спасти 	 verb 	 save 	 to save, to rescue
спасти 	 verb 	 от 	 * year=1886|author=Anton Chekhov|title=Хори́стка|trans-title=The Chorus Girl|text=А ме́жду тем есть сре́дство спасти́ его́  нас от нищеты́  позо́ра.|t=And yet there is a chance of saving him and us from destitution and disgrace
спасти 	 verb 	 w:Anton Chekhov 	 * year=1886|author=Anton Chekhov|title=Хори́стка|trans-title=The Chorus Girl|text=А ме́жду тем есть сре́дство спасти́ его́  нас от нищеты́  позо́ра.|t=And yet there is a chance of saving him and us from destitution and disgrace
спасти 	 verb 	 мы 	 * year=1886|author=Anton Chekhov|title=Хори́стка|trans-title=The Chorus Girl|text=А ме́жду тем есть сре́дство спасти́ его́  нас от нищеты́  позо́ра.|t=And yet there is a chance of saving him and us from destitution and disgrace
спасти 	 verb 	 нищета 	 * year=1886|author=Anton Chekhov|title=Хори́стка|trans-title=The Chorus Girl|text=А ме́жду тем есть сре́дство спасти́ его́  нас от нищеты́  позо́ра.|t=And yet there is a chance of saving him and us from destitution and disgrace
спасти 	 verb 	 а 	 * year=1886|author=Anton Chekhov|title=Хори́стка|trans-title=The Chorus Girl|text=А ме́жду тем есть сре́дство спасти́ его́  нас от нищеты́  позо́ра.|t=And yet there is a chance of saving him and us from destitution and disgrace
спасти 	 verb 	 ме́жду 	 * year=1886|author=Anton Chekhov|title=Хори́стка|trans-title=The Chorus Girl|text=А ме́жду тем есть сре́дство спасти́ его́  нас от нищеты́  позо́ра.|t=And yet there is a chance of saving him and us from destitution and disgrace
спасти 	 verb 	 сре́дство 	 * year=1886|author=Anton Chekhov|title=Хори́стка|trans-title=The Chorus Girl|text=А ме́жду тем есть сре́дство спасти́ его́  нас от нищеты́  позо́ра.|t=And yet there is a chance of saving him and us from destitution and disgrace
спасти 	 verb 	 позор 	 * year=1886|author=Anton Chekhov|title=Хори́стка|trans-title=The Chorus Girl|text=А ме́жду тем есть сре́дство спасти́ его́  нас от нищеты́  позо́ра.|t=And yet there is a chance of saving him and us from destitution and disgrace
спасти 	 verb 	 salvage 	 to salvage
спасение 	 noun 	 rescue 	 rescue, salvation
спасение 	 noun 	 salvation 	 rescue, salvation
перемещать 	 verb 	 shift 	 to move, to shift, to transfer
перемещать 	 verb 	 transfer 	 to move, to shift, to transfer
перемещать 	 verb 	 move 	 to move, to shift, to transfer
фото 	 noun 	 photo 	 Photography photo, photograph
фото 	 noun 	 photograph 	 Photography photo, photograph
аркада 	 noun 	 arcade 	 arcade
сокровище 	 noun 	 treasure 	 treasure
аукцион 	 noun 	 auction 	 auction
краб 	 noun 	 crab 	 crab
рама 	 noun 	 frame 	 frame
рама 	 noun 	 frame 	 frame of a photo, picture, etc
рама 	 noun 	 window frame 	 window frame
кадр 	 noun 	 still 	 still, shot, frame
кадр 	 noun 	 shot 	 still, shot, frame
кадр 	 noun 	 frame 	 still, shot, frame
кадр 	 noun 	 cut-in 	 t=cut-in
кадр 	 noun 	 off-screen 	 t=off-screen, off-camera
кадр 	 noun 	 camera 	 t=off-screen, off-camera
кадр 	 noun 	 off- 	 t=off-screen, off-camera
кадр 	 noun 	 scene 	 scene, shot
кадр 	 noun 	 shot 	 scene, shot
ударение 	 noun 	 stress 	 accent, stress, emphasis
ударение 	 noun 	 accent 	 accent, stress, emphasis
ударение 	 noun 	 emphasis 	 accent, stress, emphasis
танец 	 noun 	 dance 	 dance
урожай 	 noun 	 crop 	 crop, harvest, yield
урожай 	 noun 	 yield 	 crop, harvest, yield
урожай 	 noun 	 harvest 	 crop, harvest, yield
параллелограмм 	 noun 	 parallelogram 	 parallelogram
тыл 	 noun 	 back 	 back, rear
тыл 	 noun 	 rear 	 back, rear
тыл 	 noun 	 rear 	 rear
тыл 	 noun 	 home front 	 home front
киса 	 noun 	 kitty 	 Felids kitty, pussy, cat
киса 	 noun 	 cat 	 Felids kitty, pussy, cat
киса 	 noun 	 pussy 	 Felids kitty, pussy, cat
киса 	 noun 	 dear 	 terms of address dear, sweetie
киса 	 noun 	 sweetie 	 terms of address dear, sweetie
киса 	 noun 	 girl 	 Female people girl, chick
киса 	 noun 	 chick 	 Female people girl, chick
киса 	 noun 	 kitty 	 kitty, pussy
киса 	 noun 	 pussy 	 kitty, pussy
киса 	 noun 	 drawstring 	 Bags purse, moneybag, drawstring bag
киса 	 noun 	 purse 	 Bags purse, moneybag, drawstring bag
киса 	 noun 	 moneybag 	 Bags purse, moneybag, drawstring bag
киса 	 noun 	 bag 	 Bags purse, moneybag, drawstring bag
тайна 	 noun 	 mystery 	 mystery
тайна 	 noun 	 secret 	 secret
тайна 	 noun 	 secrecy 	 secrecy
тайна 	 noun 	 obscurity 	 obscurity
эпитет 	 noun 	 epithet 	 epithet
джин 	 noun 	 gin 	 gin
фон 	 noun 	 background 	 background, backdrop
фон 	 noun 	 backdrop 	 background, backdrop
митохондрия 	 noun 	 mitochondrion 	 mitochondrion
тёлка 	 noun 	 heifer 	 heifer
тёлка 	 noun 	 chick 	 chick
зараза 	 noun 	 contagion 	 infection, contagion, pest
зараза 	 noun 	 pest 	 infection, contagion, pest
зараза 	 noun 	 infection 	 infection, contagion, pest
зараза 	 noun 	 scumbag 	 scumbag, bastard
зараза 	 noun 	 bastard 	 scumbag, bastard
зараза 	 interjection 	 damn it 	 damn it
жильё 	 noun 	 dwelling 	 Housing housing, accommodation, dwelling, domicile
жильё 	 noun 	 housing 	 Housing housing, accommodation, dwelling, domicile
жильё 	 noun 	 accommodation 	 Housing housing, accommodation, dwelling, domicile
жильё 	 noun 	 domicile 	 Housing housing, accommodation, dwelling, domicile
жильё 	 noun 	 habitation 	 habitation
пах 	 noun 	 groin 	 groin
астрология 	 noun 	 astrology 	 astrology
виолончель 	 noun 	 cello 	 cello
саламандра 	 noun 	 salamander 	 salamander
корнишон 	 noun 	 gherkin 	 gherkin
равенство 	 noun 	 equality 	 equality, parity
равенство 	 noun 	 parity 	 equality, parity
бубен 	 noun 	 tambourine 	 tambourine
седло 	 noun 	 saddle 	 saddle
спора 	 noun 	 spore 	 spore
микрофон 	 noun 	 microphone 	 microphone
телохранитель 	 noun 	 bodyguard 	 bodyguard
шлёп 	 interjection 	 flop 	 splat, flop, smack, plop, splash
шлёп 	 interjection 	 splat 	 splat, flop, smack, plop, splash
шлёп 	 interjection 	 plop 	 splat, flop, smack, plop, splash
шлёп 	 interjection 	 smack 	 splat, flop, smack, plop, splash
шлёп 	 interjection 	 splash 	 splat, flop, smack, plop, splash
гражданство 	 noun 	 nationality 	 citizenship, nationality
гражданство 	 noun 	 citizenship 	 citizenship, nationality
караван 	 noun 	 caravan 	 caravan, convoy
караван 	 noun 	 convoy 	 caravan, convoy
батат 	 noun 	 sweet potato 	 sweet potato
вахтёр 	 noun 	 watchman 	 porter, janitor, watchman
вахтёр 	 noun 	 janitor 	 porter, janitor, watchman
вахтёр 	 noun 	 porter 	 porter, janitor, watchman
англицизм 	 noun 	 anglicism 	 anglicism
концепция 	 noun 	 concept 	 concept, idea
концепция 	 noun 	 idea 	 concept, idea
омоним 	 noun 	 homonym 	 homonym
сленг 	 noun 	 slang 	 slang
декларация 	 noun 	 declaration 	 declaration
атлант 	 noun 	 atlas 	 atlas '
атлант 	 noun 	 telamon 	 telamon, atlantes
атлант 	 noun 	 atlantes 	 telamon, atlantes
соха 	 noun 	 plough 	 wooden plow/plough
соха 	 noun 	 plow 	 wooden plow/plough
троллейбус 	 noun 	 trolley bus 	 trolley bus
казах 	 noun 	 Kazakh 	 Kazakh '
сейсмограф 	 noun 	 seismograph 	 seismograph
афелий 	 noun 	 aphelion 	 aphelion
фекалии 	 noun 	 faeces 	 faeces
аорта 	 noun 	 aorta 	 aorta
напор 	 noun 	 force 	 pressure, force
напор 	 noun 	 pressure 	 pressure, force
напор 	 noun 	 head 	 water, steam head
напор 	 noun 	 energy 	 rush, push, vigour, energy
напор 	 noun 	 vigour 	 rush, push, vigour, energy
напор 	 noun 	 rush 	 rush, push, vigour, energy
напор 	 noun 	 push 	 rush, push, vigour, energy
пик 	 noun 	 peak 	 peak
пик 	 noun 	 rush hour 	 rush hour
пик 	 noun 	 peak oil 	 peak oil
партнёр 	 noun 	 associate 	 partner, associate
партнёр 	 noun 	 partner 	 partner, associate
компаньон 	 noun 	 companion 	 companion, partner
компаньон 	 noun 	 partner 	 companion, partner
некролог 	 noun 	 obituary 	 obituary
некролог 	 noun 	 necrology 	 necrology
преамбула 	 noun 	 preamble 	 preamble
скок 	 noun 	 gallop 	 gallop
успешно 	 adverb 	 successfully 	 successfully
ишак 	 noun 	 ass 	 donkey, ass
ишак 	 noun 	 donkey 	 donkey, ass
помело 	 noun 	 broom 	 broom
помело 	 noun 	 pomelo 	 pomelo
сейсмология 	 noun 	 seismology 	 seismology
членство 	 noun 	 membership 	 membership
проба 	 noun 	 trial 	 trial, test
проба 	 noun 	 test 	 trial, test
проба 	 noun 	 sample 	 assay, sample
проба 	 noun 	 assay 	 assay, sample
проба 	 noun 	 hallmark 	 standard, hallmark
проба 	 noun 	 standard 	 standard, hallmark
синекдоха 	 noun 	 synecdoche 	 synecdoche
поза 	 noun 	 attitude 	 pose, posture, attitude
поза 	 noun 	 posture 	 pose, posture, attitude
поза 	 noun 	 pose 	 pose, posture, attitude
поза 	 noun 	 pretense 	 affectation, pretense
поза 	 noun 	 affectation 	 affectation, pretense
стереотип 	 noun 	 stereotype 	 stereotype
косите 	 verb 	 mow 	 |2|p|pres|ind|impfv|gloss=to mow, to wipe out, to evade slang, to pretend slang
косите 	 verb 	 wipe out 	 |2|p|pres|ind|impfv|gloss=to mow, to wipe out, to evade slang, to pretend slang
косите 	 verb 	 evade 	 |2|p|pres|ind|impfv|gloss=to mow, to wipe out, to evade slang, to pretend slang
косите 	 verb 	 pretend 	 |2|p|pres|ind|impfv|gloss=to mow, to wipe out, to evade slang, to pretend slang
косите 	 verb 	 slant 	 |2|p|pres|ind|impfv|gloss=to twist, slant eyes, mouth; to squint
косите 	 verb 	 twist 	 |2|p|pres|ind|impfv|gloss=to twist, slant eyes, mouth; to squint
косите 	 verb 	 squint 	 |2|p|pres|ind|impfv|gloss=to twist, slant eyes, mouth; to squint
косо 	 adverb 	 asquint 	 slantwise, obliquely, aslant, askew, asquint
косо 	 adverb 	 aslant 	 slantwise, obliquely, aslant, askew, asquint
косо 	 adverb 	 askew 	 slantwise, obliquely, aslant, askew, asquint
косо 	 adverb 	 obliquely 	 slantwise, obliquely, aslant, askew, asquint
косо 	 adverb 	 slantwise 	 slantwise, obliquely, aslant, askew, asquint
косо 	 adverb 	 frown upon 	 to look sideways, to look askance, to frown upon smb., to scowl
косо 	 adverb 	 scowl 	 to look sideways, to look askance, to frown upon smb., to scowl
косо 	 adverb 	 sideways 	 to look sideways, to look askance, to frown upon smb., to scowl
косо 	 adverb 	 look 	 to look sideways, to look askance, to frown upon smb., to scowl
косо 	 adverb 	 askance 	 to look sideways, to look askance, to frown upon smb., to scowl
хромосома 	 noun 	 chromosome 	 chromosome
бокс 	 noun 	 boxing 	 boxing
бокс 	 noun 	 box 	 box '
бокс 	 noun 	 box cut 	 box cut
бокс 	 noun 	 box 	 small box
сорго 	 noun 	 sorghum 	 sorghum
климат 	 noun 	 climate 	 climate
саван 	 noun 	 shroud 	 shroud
равнина 	 noun 	 plain 	 plain
пасха 	 noun 	 Easter 	 Easter
пасха 	 noun 	 Passover 	 Passover
праца 	 noun 	 labour 	 work, labour
праца 	 noun 	 work 	 work, labour
наследница 	 noun 	 heiress 	 heiress
чин 	 noun 	 rank 	 rank
чин 	 noun 	 official 	 official
чин 	 noun 	 rite 	 a religious rite
очко 	 noun 	 point 	 point
очко 	 noun 	 spot 	 spot, pip on cards or dice
очко 	 noun 	 pip 	 spot, pip on cards or dice
очко 	 noun 	 peephole 	 hole, peephole
очко 	 noun 	 hole 	 hole, peephole
очко 	 noun 	 eye 	 eye
очко 	 noun 	 anus 	 asshole, anus
очко 	 noun 	 asshole 	 asshole, anus
очко 	 noun 	 stay 	 ability to stay calm and adequate while under pressure in a stressful situation
очко 	 noun 	 pressure 	 ability to stay calm and adequate while under pressure in a stressful situation
очко 	 noun 	 situation 	 ability to stay calm and adequate while under pressure in a stressful situation
очко 	 noun 	 adequate 	 ability to stay calm and adequate while under pressure in a stressful situation
очко 	 noun 	 stressful 	 ability to stay calm and adequate while under pressure in a stressful situation
очко 	 noun 	 calm 	 ability to stay calm and adequate while under pressure in a stressful situation
очко 	 noun 	 ability 	 ability to stay calm and adequate while under pressure in a stressful situation
очко 	 noun 	 toilet 	 toilet
очко 	 noun 	 сортир 	 * year=2018|author=lang=ru|Кровосток|title=Злы́е го́луби|album=ЧБ|passage=Устро́ил смерть над очко́м  сорти́ре
очко 	 noun 	 устроить 	 * year=2018|author=lang=ru|Кровосток|title=Злы́е го́луби|album=ЧБ|passage=Устро́ил смерть над очко́м  сорти́ре
очко 	 noun 	 над 	 * year=2018|author=lang=ru|Кровосток|title=Злы́е го́луби|album=ЧБ|passage=Устро́ил смерть над очко́м  сорти́ре
очко 	 noun 	 смерть 	 * year=2018|author=lang=ru|Кровосток|title=Злы́е го́луби|album=ЧБ|passage=Устро́ил смерть над очко́м  сорти́ре
очко 	 noun 	 blackjack 	 blackjack
очко 	 noun 	 game 	 Bingo key of the door, twenty-one in the lotto game
очко 	 noun 	 twenty-one 	 Bingo key of the door, twenty-one in the lotto game
очко 	 noun 	 key of the door 	 Bingo key of the door, twenty-one in the lotto game
очко 	 noun 	 lotto 	 Bingo key of the door, twenty-one in the lotto game
жёсткий 	 adjective 	 hard 	 hard, stiff, tough, rigid
жёсткий 	 adjective 	 stiff 	 hard, stiff, tough, rigid
жёсткий 	 adjective 	 tough 	 hard, stiff, tough, rigid
жёсткий 	 adjective 	 rigid 	 hard, stiff, tough, rigid
кулон 	 noun 	 pendant 	 pendant
кулон 	 noun 	 coulomb 	 coulomb
прогресс 	 noun 	 progress 	 progress
доблесть 	 noun 	 prowess 	 valour, prowess
доблесть 	 noun 	 valour 	 valour, prowess
вешать 	 verb 	 hang 	 to hang, to hang up
вешать 	 verb 	 hang up 	 to hang, to hang up
вешать 	 verb 	 hang 	 to hang '
дебил 	 noun 	 moron 	 moron, imbecile, idiot
дебил 	 noun 	 idiot 	 moron, imbecile, idiot
дебил 	 noun 	 imbecile 	 moron, imbecile, idiot
эмбрион 	 noun 	 embryo 	 embryo
букет 	 noun 	 bouquet 	 bouquet, bunch of flowers, posy
букет 	 noun 	 posy 	 bouquet, bunch of flowers, posy
букет 	 noun 	 bunch 	 bouquet, bunch of flowers, posy
букет 	 noun 	 aroma 	 bouquet, aroma
букет 	 noun 	 bouquet 	 bouquet, aroma
минерал 	 noun 	 mineral 	 mineral
танго 	 noun 	 tango 	 tango
равновесие 	 noun 	 equilibrium 	 balance, equilibrium
равновесие 	 noun 	 balance 	 balance, equilibrium
равновесие 	 noun 	 harmony 	 harmony
равновесие 	 noun 	 parity 	 parity
простак 	 noun 	 simpleton 	 simpleton
стратегия 	 noun 	 strategy 	 strategy
стратегия 	 noun 	 policy 	 policy
вакцинация 	 noun 	 vaccination 	 vaccination
ресурс 	 noun 	 resource 	 resource
побратим 	 noun 	 blood brother 	 blood brother
стон 	 noun 	 groan 	 moan, groan
стон 	 noun 	 moan 	 moan, groan
завет 	 noun 	 legacy 	 legacy
завет 	 noun 	 maxim 	 precept, maxim
завет 	 noun 	 precept 	 precept, maxim
завет 	 noun 	 covenant 	 covenant, testament
завет 	 noun 	 testament 	 covenant, testament
мишка 	 noun 	 bear 	 nickname of a bear in folklore
мишка 	 noun 	 folklore 	 nickname of a bear in folklore
мишка 	 noun 	 teddy-bear 	 teddy-bear
каюта 	 noun 	 cabin 	 cabin
канава 	 noun 	 trench 	 ditch, gutter, drain, trench
канава 	 noun 	 ditch 	 ditch, gutter, drain, trench
канава 	 noun 	 drain 	 ditch, gutter, drain, trench
канава 	 noun 	 gutter 	 ditch, gutter, drain, trench
кабак 	 noun 	 bar 	 Buildings tavern, pub, bar
кабак 	 noun 	 tavern 	 Buildings tavern, pub, bar
кабак 	 noun 	 pub 	 Buildings tavern, pub, bar
кабак 	 noun 	 joint 	 watering hole, dive, joint
кабак 	 noun 	 watering hole 	 watering hole, dive, joint
кабак 	 noun 	 dive 	 watering hole, dive, joint
кабак 	 noun 	 pumpkin 	 Gourd family plants pumpkin
лакей 	 noun 	 lackey 	 lackey
клеймо 	 noun 	 identification 	 brand, stamp, identification mark
клеймо 	 noun 	 brand 	 brand, stamp, identification mark
клеймо 	 noun 	 mark 	 brand, stamp, identification mark
клеймо 	 noun 	 stamp 	 brand, stamp, identification mark
клеймо 	 noun 	 taint 	 stain, taint as in tainted reputation
клеймо 	 noun 	 stain 	 stain, taint as in tainted reputation
продукт 	 noun 	 product 	 product
продукт 	 noun 	 edibles 	 foods, edibles
продукт 	 noun 	 foods 	 foods, edibles
бот 	 noun 	 boat 	 boat
бот 	 noun 	 overshoe 	 overshoe
бот 	 noun 	 Velcro 	 a type of winter shoe with a zipper or Velcro fastener
бот 	 noun 	 zipper 	 a type of winter shoe with a zipper or Velcro fastener
бот 	 noun 	 winter 	 a type of winter shoe with a zipper or Velcro fastener
бот 	 noun 	 shoe 	 a type of winter shoe with a zipper or Velcro fastener
бот 	 noun 	 bot 	 bot
рубин 	 noun 	 ruby 	 ruby
лидер 	 noun 	 leader 	 leader
турнир 	 noun 	 tournament 	 tournament, tourney
турнир 	 noun 	 tourney 	 tournament, tourney
атрибут 	 noun 	 attribute 	 attribute
атрибут 	 noun 	 modifier 	 modifier, property
атрибут 	 noun 	 property 	 modifier, property
драматург 	 noun 	 dramaturg 	 dramaturg, playwright, dramatist
драматург 	 noun 	 dramatist 	 dramaturg, playwright, dramatist
драматург 	 noun 	 playwright 	 dramaturg, playwright, dramatist
ступень 	 noun 	 step 	 step
ступень 	 noun 	 step 	 step, footstep, rung
ступень 	 noun 	 rung 	 step, footstep, rung
ступень 	 noun 	 footstep 	 step, footstep, rung
ступень 	 noun 	 grade 	 degree, grade, level, phase, stage
ступень 	 noun 	 level 	 degree, grade, level, phase, stage
ступень 	 noun 	 stage 	 degree, grade, level, phase, stage
ступень 	 noun 	 degree 	 degree, grade, level, phase, stage
ступень 	 noun 	 phase 	 degree, grade, level, phase, stage
епархия 	 noun 	 bishopric 	 diocese, bishopric
епархия 	 noun 	 diocese 	 diocese, bishopric
епархия 	 noun 	 domain 	 domain, sphere of competence, area of responsibility
епархия 	 noun 	 area 	 domain, sphere of competence, area of responsibility
епархия 	 noun 	 sphere 	 domain, sphere of competence, area of responsibility
епархия 	 noun 	 of 	 domain, sphere of competence, area of responsibility
епархия 	 noun 	 responsibility 	 domain, sphere of competence, area of responsibility
епархия 	 noun 	 competence 	 domain, sphere of competence, area of responsibility
зомби 	 noun 	 zombie 	 zombie
нужда 	 noun 	 need 	 need, want, request
нужда 	 noun 	 want 	 need, want, request
нужда 	 noun 	 request 	 need, want, request
нужда 	 noun 	 need 	 need, indigence
нужда 	 noun 	 indigence 	 need, indigence
экватор 	 noun 	 equator 	 equator
подмножество 	 noun 	 subset 	 subset
пиратство 	 noun 	 piracy 	 Nautical piracy
поборник 	 noun 	 partisan 	 partisan
соперник 	 noun 	 adversary 	 rival, adversary, opponent
соперник 	 noun 	 opponent 	 rival, adversary, opponent
соперник 	 noun 	 rival 	 rival, adversary, opponent
соперник 	 noun 	 antagonist 	 antagonist
алкалоид 	 noun 	 alkaloid 	 alkaloid
этанол 	 noun 	 ethyl alcohol 	 ethanol, ethyl alcohol (simple aliphatic alcohol: C
этанол 	 noun 	 ethanol 	 ethanol, ethyl alcohol (simple aliphatic alcohol: C
нигилизм 	 noun 	 nihilism 	 nihilism
опоссум 	 noun 	 opossum 	 opossum
пластмасса 	 noun 	 plastic 	 plastic
нерв 	 noun 	 nerve 	 nerve
синагога 	 noun 	 synagogue 	 synagogue
монета 	 noun 	 coin 	 coin
бронза 	 noun 	 bronze 	 bronze
африканка 	 noun 	 African 	 African girl or woman
заряжать 	 verb 	 load 	 to load '
заряжать 	 verb 	 charge 	 to charge '
заряжать 	 verb 	 imbue 	 to inspire, to imbue
заряжать 	 verb 	 inspire 	 to inspire, to imbue
мыс 	 noun 	 cape 	 cape, promontory
мыс 	 noun 	 promontory 	 cape, promontory
мыс 	 noun 	 Cape of Good Hope 	 t=Cape of Good Hope
веретено 	 noun 	 spindle 	 spindle
веретено 	 noun 	 anchor 	 anchor shank
веретено 	 noun 	 shank 	 anchor shank
зубная щётка 	 noun 	 toothbrush 	 toothbrush
эскалатор 	 noun 	 escalator 	 escalator
шайка 	 noun 	 Black Sea 	  Watercraft saic, a kind of small boat of up to twelve cannons heavily used in the Black Sea, Tisa, Danube and Sava; similar to the ушку́й used in Novgorod
шайка 	 noun 	 saic 	  Watercraft saic, a kind of small boat of up to twelve cannons heavily used in the Black Sea, Tisa, Danube and Sava; similar to the ушку́й used in Novgorod
шайка 	 noun 	 Danube 	  Watercraft saic, a kind of small boat of up to twelve cannons heavily used in the Black Sea, Tisa, Danube and Sava; similar to the ушку́й used in Novgorod
шайка 	 noun 	 cannon 	  Watercraft saic, a kind of small boat of up to twelve cannons heavily used in the Black Sea, Tisa, Danube and Sava; similar to the ушку́й used in Novgorod
шайка 	 noun 	 boat 	  Watercraft saic, a kind of small boat of up to twelve cannons heavily used in the Black Sea, Tisa, Danube and Sava; similar to the ушку́й used in Novgorod
шайка 	 noun 	 Tisa 	  Watercraft saic, a kind of small boat of up to twelve cannons heavily used in the Black Sea, Tisa, Danube and Sava; similar to the ушку́й used in Novgorod
шайка 	 noun 	 Sava 	  Watercraft saic, a kind of small boat of up to twelve cannons heavily used in the Black Sea, Tisa, Danube and Sava; similar to the ушку́й used in Novgorod
шайка 	 noun 	 washtub 	 Vessels washtub, tub
шайка 	 noun 	 tub 	 Vessels washtub, tub
шайка 	 noun 	 gang 	 Crime gang of rogues, band of bandits
шайка 	 noun 	 rogue 	 Crime gang of rogues, band of bandits
шайка 	 noun 	 bandit 	 Crime gang of rogues, band of bandits
шайка 	 noun 	 band 	 Crime gang of rogues, band of bandits
слушатель 	 noun 	 hearer 	 listener, hearer, audience
слушатель 	 noun 	 listener 	 listener, hearer, audience
слушатель 	 noun 	 audience 	 listener, hearer, audience
слушатель 	 noun 	 student 	 student
новорождённый 	 adjective 	 newborn 	 newborn
новорождённый 	 noun 	 newborn 	 newborn child
новорождённый 	 noun 	 child 	 newborn child
новорождённый 	 noun 	 celebrating 	 one celebrating his birthday
новорождённый 	 noun 	 one 	 one celebrating his birthday
новорождённый 	 noun 	 birthday 	 one celebrating his birthday
новорождённый 	 noun 	 his 	 one celebrating his birthday
одежда 	 noun 	 clothes 	 clothes, clothing, garments
одежда 	 noun 	 clothing 	 clothes, clothing, garments
одежда 	 noun 	 garments 	 clothes, clothing, garments
одежда 	 noun 	 top 	 surfacing, top dressing
одежда 	 noun 	 dressing 	 surfacing, top dressing
одежда 	 noun 	 surfacing 	 surfacing, top dressing
волонтёр 	 noun 	 volunteer 	 volunteer
вероятно 	 adverb 	 possibly 	 possibly, perhaps
вероятно 	 adverb 	 perhaps 	 possibly, perhaps
рогоносец 	 noun 	 cuckold 	 cuckold
рецепт 	 noun 	 recipe 	 recipe
рецепт 	 noun 	 prescription 	 prescription
карп 	 noun 	 Cyprinus carpio 	 animate Cyprinus carpio, common carp species
карп 	 noun 	 common carp 	 animate Cyprinus carpio, common carp species
карп 	 noun 	 common carp 	 inanimate common carp
эму 	 noun 	 emu 	 emu
монополия 	 noun 	 monopoly 	 monopoly various senses
монополия 	 noun 	 exclusive 	 exclusive domain
монополия 	 noun 	 domain 	 exclusive domain
монополия 	 noun 	 liquor 	 a government liquor store
монополия 	 noun 	 government 	 a government liquor store
монополия 	 noun 	 store 	 a government liquor store
безумие 	 noun 	 madness 	 insanity, madness
безумие 	 noun 	 insanity 	 insanity, madness
безумие 	 noun 	 folly 	 folly
пыл 	 noun 	 heat 	 heat
пыл 	 noun 	 piping hot 	 piping hot
пыл 	 noun 	 zeal 	 ardour, zeal, blaze
пыл 	 noun 	 ardour 	 ardour, zeal, blaze
пыл 	 noun 	 blaze 	 ardour, zeal, blaze
бурун 	 noun 	 breaker 	 breaker, surf
бурун 	 noun 	 surf 	 breaker, surf
бурун 	 noun 	 bow wave 	 bow wave
дудук 	 noun 	 duduk 	 duduk
текила 	 noun 	 tequila 	 tequila
канон 	 noun 	 canon 	 canon
зуд 	 noun 	 itch 	 itch
атавизм 	 noun 	 atavism 	 atavism
разврат 	 noun 	 lechery 	 debauch, debauchery, depravity, dissipation, lechery
разврат 	 noun 	 depravity 	 debauch, debauchery, depravity, dissipation, lechery
разврат 	 noun 	 dissipation 	 debauch, debauchery, depravity, dissipation, lechery
разврат 	 noun 	 debauchery 	 debauch, debauchery, depravity, dissipation, lechery
разврат 	 noun 	 debauch 	 debauch, debauchery, depravity, dissipation, lechery
развратник 	 noun 	 debauchee 	 libertine, debauchee, rake, profligate
развратник 	 noun 	 rake 	 libertine, debauchee, rake, profligate
развратник 	 noun 	 profligate 	 libertine, debauchee, rake, profligate
развратник 	 noun 	 libertine 	 libertine, debauchee, rake, profligate
развратница 	 noun 	 debauchee 	 libertine, debauchee, rake, profligate
развратница 	 noun 	 rake 	 libertine, debauchee, rake, profligate
развратница 	 noun 	 profligate 	 libertine, debauchee, rake, profligate
развратница 	 noun 	 libertine 	 libertine, debauchee, rake, profligate
католик 	 noun 	 Roman Catholic 	 Roman Catholic
престолонаследник 	 noun 	 heir 	 heir to the throne
престолонаследник 	 noun 	 throne 	 heir to the throne
потоп 	 noun 	 flood 	 flood, deluge
потоп 	 noun 	 deluge 	 flood, deluge
глицерин 	 noun 	 glycerine 	 glycerine
пропаганда 	 noun 	 propaganda 	 propaganda
фреска 	 noun 	 fresco 	 fresco
блаженство 	 noun 	 bliss 	 bliss, beatitude, felicity
блаженство 	 noun 	 felicity 	 bliss, beatitude, felicity
блаженство 	 noun 	 beatitude 	 bliss, beatitude, felicity
велосипедист 	 noun 	 cyclist 	 cyclist
руда 	 noun 	 blood 	 blood
статус 	 noun 	 status 	 status
фанатик 	 noun 	 sectarian 	 fanatic, sectarian, zealot
фанатик 	 noun 	 fanatic 	 fanatic, sectarian, zealot
фанатик 	 noun 	 zealot 	 fanatic, sectarian, zealot
фанатик 	 noun 	 bigot 	 bigot, devotee
фанатик 	 noun 	 devotee 	 bigot, devotee
инстинкт 	 noun 	 instinct 	 instinct
склон 	 noun 	 slope 	 slope
папирус 	 noun 	 papyrus 	 papyrus
надзор 	 noun 	 supervision 	 supervision
надзор 	 noun 	 surveillance 	 surveillance
надзор 	 noun 	 inspectorate 	 inspectorate
пломба 	 noun 	 lead 	 lead, seal, stamp
пломба 	 noun 	 seal 	 lead, seal, stamp
пломба 	 noun 	 stamp 	 lead, seal, stamp
