gratis 	 adverb 	 free 	 free, without charge, gratis
atterré 	 adjective 	 shattered 	 shattered, devastated
atterré 	 adjective 	 devastated 	 shattered, devastated
plectre 	 noun 	 plectrum 	 plectrum, pick
plectre 	 noun 	 pick 	 plectrum, pick
oncogène 	 noun 	 oncogene 	 oncogene
opéra 	 noun 	 opera 	 opera
pâtissier 	 adjective 	 pastry 	 pastry
pâtissier 	 noun 	 pastrymaker 	 pastrymaker
quête 	 noun 	 quest 	 quest, search
quête 	 noun 	 search 	 quest, search
souabe 	 adjective 	 Swabian 	 Swabian
souabe 	 noun 	 Swabian 	 Swabian
néant 	 noun 	 emptiness 	 nothingness, void, emptiness
néant 	 noun 	 void 	 nothingness, void, emptiness
néant 	 noun 	 nothingness 	 nothingness, void, emptiness
coteau 	 noun 	 hillside 	 hillside
fripon 	 noun 	 rogue 	 rascal, rogue
fripon 	 noun 	 rascal 	 rascal, rogue
fripon 	 adjective 	 mischievous 	 mischievous
paupiette 	 noun 	 English 	 paupiette,  olive
paupiette 	 noun 	 olive 	 paupiette,  olive
corpuscule 	 noun 	 corpuscle 	 corpuscle
corpuscule 	 noun 	 particle 	 particle
tacher 	 verb 	 soil 	 to soil or stain
tacher 	 verb 	 stain 	 to soil or stain
tacher 	 verb 	 reputation 	 to tarnish one's reputation
tacher 	 verb 	 tarnish 	 to tarnish one's reputation
certifier 	 verb 	 certify 	 to certify
déterrer 	 verb 	 dig up 	 to dig up
déterrer 	 verb 	 exhume 	 to exhume, disinter
déterrer 	 verb 	 disinter 	 to exhume, disinter
détergent 	 noun 	 detergent 	 detergent
exécrable 	 adjective 	 detestable 	 loathsome, detestable
exécrable 	 adjective 	 loathsome 	 loathsome, detestable
exécrable 	 adjective 	 bad 	 extremely bad, awful, poor
exécrable 	 adjective 	 awful 	 extremely bad, awful, poor
exécrable 	 adjective 	 poor 	 extremely bad, awful, poor
moucher 	 verb 	 put someone in their place 	 to put someone in their place
moucher 	 verb 	 blow one's nose 	 to blow one's nose
moucher 	 verb 	 snuff out 	 to snuff out
pellicules 	 noun 	 dandruff 	 dandruff
vespasienne 	 noun 	 urinal 	 public street urinal
intercommunal 	 adjective 	 English 	 intercommunal
maximiser 	 verb 	 maximize 	 to maximize
biotechnologie 	 noun 	 biotechnology 	 biotechnology
michelangelesque 	 adjective 	 Michelangelesque 	 Of, pertaining to or reminiscent of Michelangelo, Michelangelesque
michelangelesque 	 adjective 	 Michelangelo 	 Of, pertaining to or reminiscent of Michelangelo, Michelangelesque
casse-croûte 	 noun 	 snack 	 snack, light meal taken between larger ones
casse-croûte 	 noun 	 meal 	 snack, light meal taken between larger ones
casse-croûte 	 noun 	 snack 	 snack, the food that makes up that meal, usually quite portable
casse-croûte 	 noun 	 portable 	 snack, the food that makes up that meal, usually quite portable
casse-croûte 	 noun 	 snack bar 	 snack bar
dystopie 	 noun 	 dystopia 	 dystopia
richelieu 	 noun 	 Oxford shoe 	 Oxford shoe
aviser 	 verb 	 advise 	 to advise
aviser 	 verb 	 notice 	 to notice
aviser 	 verb 	 conceive 	 to conceive
mille-feuille 	 noun 	 common yarrow 	 Q25408  common yarrow, yarrow, milfoil
galon 	 noun 	 braid 	 braid
galon 	 noun 	 stripe 	 stripe
takfiri 	 noun 	 English 	 takfiri
takfiri 	 adjective 	 English 	 takfiri
garance 	 noun 	 madder 	 madder
garance 	 noun 	 rose madder 	 rose madder
murer 	 verb 	 wall 	 to wall; wall off
murer 	 verb 	 wall off 	 to wall; wall off
murer 	 verb 	 wall up 	 to wall up
murer 	 verb 	 lock up 	 to lock up
muret 	 noun 	 wall 	 a small wall
muret 	 noun 	 stone 	 a low stone wall
rangement 	 noun 	 tidy away 	 place where things are tidied away, e.g. cupboards, shelves, etc
véranda 	 noun 	 veranda 	 veranda
rafraîchir 	 verb 	 refresh 	 to refresh
rafraîchir 	 verb 	 cool off 	 to cool off
rafraîchir 	 verb 	 freshen up 	 to freshen up
polyandrie 	 noun 	 polyandry 	 polyandry
consigner 	 verb 	 quarters 	 to confine to quarters
consigner 	 verb 	 confine 	 to confine to quarters
consigner 	 verb 	 detention 	 to give  detention
consigner 	 verb 	 record 	 to record, to write down
consigner 	 verb 	 write 	 to record, to write down
consigner 	 verb 	 consign 	 to consign
interprovincial 	 adjective 	 English 	 interprovincial
monture 	 noun 	 mount 	 A mount, an animal which is ridden
monture 	 noun 	 frame 	 A setting, bezel, frame etc. onto or into which an object is mounted
monture 	 noun 	 bezel 	 A setting, bezel, frame etc. onto or into which an object is mounted
monture 	 noun 	 mount 	 A setting, bezel, frame etc. onto or into which an object is mounted
monture 	 noun 	 setting 	 A setting, bezel, frame etc. onto or into which an object is mounted
monture 	 noun 	 mounting 	 A mechanical mounting job
pudique 	 adjective 	 modest 	 modest, chaste
pudique 	 adjective 	 chaste 	 modest, chaste
renationalisation 	 noun 	 renationalization 	 renationalization
composter 	 verb 	 validate 	 To stamp  to validate it before boarding a train or a bus
composter 	 verb 	 stamp 	 To stamp  to validate it before boarding a train or a bus
composter 	 verb 	 bus 	 To stamp  to validate it before boarding a train or a bus
composter 	 verb 	 train 	 To stamp  to validate it before boarding a train or a bus
composter 	 verb 	 compost 	 To create compost using biodegradable materials
composter 	 verb 	 biodegradable 	 To create compost using biodegradable materials
agréer 	 verb 	 prepareVerb 	 to prepare; rig; trim
agréer 	 verb 	 rig 	 to prepare; rig; trim
agréer 	 verb 	 trim 	 to prepare; rig; trim
amalgame 	 noun 	 amalgam 	 amalgam
amalgame 	 noun 	 amalgamation 	 amalgamation
amalgame 	 noun 	 mishmash 	 an incongruous mixture; hodgepodge, mishmash, jumble
amalgame 	 noun 	 jumble 	 an incongruous mixture; hodgepodge, mishmash, jumble
amalgame 	 noun 	 hodgepodge 	 an incongruous mixture; hodgepodge, mishmash, jumble
antisémitisme 	 noun 	 antisemitism 	 antisemitism
verset 	 noun 	 verse 	 verse
lamper 	 verb 	 quaff 	 to quaff, to swig
lamper 	 verb 	 swig 	 to quaff, to swig
microprogramme 	 noun 	 microprogram 	 microprogram
microprogrammer 	 verb 	 microprogram 	 to microprogram
aiguisé 	 adjective 	 sharpened 	 sharpened
rejoneador 	 noun 	 English 	 rejoneador
en profil 	 adverb 	 sideways 	 Portrayed sideways
arien 	 adjective 	 Arian 	 Arian
arien 	 noun 	 Arian 	 Arian
tuteur 	 noun 	 guardian 	 guardian
tuteur 	 noun 	 tutor 	 tutor
you-you 	 noun 	 ululation 	 ululation of celebration, made by women in many North African cultures
paraphrasable 	 adjective 	 English 	 paraphrasable
rôder 	 verb 	 prowl 	 to loiter, prowl, move about suspiciously or hostilely
rôder 	 verb 	 hostilely 	 to loiter, prowl, move about suspiciously or hostilely
rôder 	 verb 	 loiter 	 to loiter, prowl, move about suspiciously or hostilely
rôder 	 verb 	 suspiciously 	 to loiter, prowl, move about suspiciously or hostilely
rôder 	 verb 	 wander 	 to wander
gré 	 noun 	 satisfaction 	 satisfaction, pleasure
gré 	 noun 	 pleasure 	 satisfaction, pleasure
gré 	 noun 	 will 	 will; liking
gré 	 noun 	 liking 	 will; liking
astrométrie 	 noun 	 astrometry 	 astrometry
ravet 	 noun 	 cockroach 	 cockroach
rémoulade 	 noun 	 remoulade 	 remoulade
roman à thèse 	 noun 	 thesis 	 A “thesis novel”: a novel that is didactic rather than entertaining, often taking the form of social commentary
roman à thèse 	 noun 	 entertain 	 A “thesis novel”: a novel that is didactic rather than entertaining, often taking the form of social commentary
roman à thèse 	 noun 	 social commentary 	 A “thesis novel”: a novel that is didactic rather than entertaining, often taking the form of social commentary
roman à thèse 	 noun 	 novel 	 A “thesis novel”: a novel that is didactic rather than entertaining, often taking the form of social commentary
roman à thèse 	 noun 	 didactic 	 A “thesis novel”: a novel that is didactic rather than entertaining, often taking the form of social commentary
comique 	 adjective 	 comic 	 comic
comique 	 adjective 	 w:Nicolas Boileau-Despréaux 	 * 1674, Nicolas Boileau-Despréaux, Art poétique
comique 	 noun 	 comedy 	 comedy
comique 	 noun 	 clown 	 clown
comédie 	 noun 	 comedy 	 comedy
comédie 	 noun 	 acting 	 acting, playacting
comédie 	 noun 	 playacting 	 acting, playacting
émilien 	 noun 	 Emilian 	 Emilian
piolet 	 noun 	 pic à glace 	 pic à glace
corde à linge 	 noun 	 clothesline 	 clothesline
ror 	 noun 	 MMR 	 MMR
botté 	 adjective 	 boot 	 Booted; wearing boots
botté 	 adjective 	 booted 	 Booted; wearing boots
rustique 	 adjective 	 rustic 	 rustic
caserne 	 noun 	 barracks 	 barracks
féodal 	 adjective 	 feudal 	 feudal
fêler 	 verb 	 crack 	 to crack
fêler 	 verb 	 crack 	 to crack
étalage 	 noun 	 display 	 display
étalage 	 noun 	 window dressing 	 window display, window dressing
fqih 	 noun 	 English 	 fqih, faqih
fqih 	 noun 	 faqih 	 fqih, faqih
boursouflé 	 adjective 	 blistered 	 blistered
boursouflé 	 adjective 	 bloated 	 puffy, bloated
boursouflé 	 adjective 	 puffy 	 puffy, bloated
réception 	 noun 	 reception 	 reception
réception 	 noun 	 reception 	 reception
réception 	 noun 	 reception 	 reception
futé 	 adjective 	 cunning 	 wily, cunning, crafty
futé 	 adjective 	 wily 	 wily, cunning, crafty
futé 	 adjective 	 crafty 	 wily, cunning, crafty
spirite 	 noun 	 spiritualist 	 spiritualist
ponceau 	 noun 	 corn poppy 	 corn poppy
ponceau 	 noun 	 colour 	 poppy colour
ponceau 	 noun 	 poppy 	 poppy colour
ponceau 	 noun 	 bridge 	 a small bridge
allopurinol 	 noun 	 English 	 allopurinol
galvaniser 	 verb 	 galvanize 	 to galvanize
pallier 	 verb 	 conceal 	 transitive to conceal
pallier 	 verb 	 palliate 	 transitive to palliate
privatiser 	 verb 	 privatize 	 to privatize
vidéophone 	 noun 	 videophone 	 videophone
vidéotéléphone 	 noun 	 videotelephone 	 videotelephone; videophone
vidéotéléphone 	 noun 	 videophone 	 videotelephone; videophone
billard 	 noun 	 billiards 	 billiards
billard 	 noun 	 pool table 	 pool table
billard 	 noun 	 operating table 	 operating table
fléchettes 	 noun 	 darts 	 darts
fléchette 	 noun 	 dart 	 dart
maillechort 	 noun 	 nickel silver 	 nickel silver
prems 	 interjection 	 dibs 	 dibs used to claim right to something before anyone else
moujik 	 noun 	 mujik 	 mujik
hollywoodesque 	 adjective 	 Hollywoodesque 	 Hollywoodesque
grenache 	 noun 	 English 	 grenache
pénil 	 noun 	 mons 	 mons veneris, mons
pénil 	 noun 	 mons veneris 	 mons veneris, mons
zaouia 	 noun 	 zawiya 	 zawiya
rusé 	 adjective 	 cunning 	 cunning, wily, crafty
rusé 	 adjective 	 wily 	 cunning, wily, crafty
rusé 	 adjective 	 crafty 	 cunning, wily, crafty
enregistrement 	 noun 	 registration 	 registration
enregistrement 	 noun 	 save 	 save
enregistrement 	 noun 	 check-in 	 check-in
enregistrement 	 noun 	 recording 	 recording
bendir 	 noun 	 English 	 bendir
gallinule 	 noun 	 English 	 gallinule
biosphère 	 noun 	 biosphere 	 biosphere
cce 	 noun 	 works council 	 ≈ works council
confesser 	 verb 	 acknowledge 	 to acknowledge, admit
confesser 	 verb 	 admit 	 to acknowledge, admit
confesser 	 verb 	 confess 	 to confess oneself
chétif 	 adjective 	 scrawny 	 puny, scrawny
chétif 	 adjective 	 puny 	 puny, scrawny
chétif 	 adjective 	 paltry 	 meagre, paltry
chétif 	 adjective 	 meagre 	 meagre, paltry
persister 	 verb 	 persist 	 to persist
complication 	 noun 	 English 	 complication
quilles 	 noun 	 skittles 	 skittles
vergue 	 noun 	 yard 	 yard of sailing ship
préoccupé 	 adjective 	 concerned 	 concerned
gouverne 	 noun 	 guidance 	 guide, guidance
gouverne 	 noun 	 guide 	 guide, guidance
gouverne 	 noun 	 rudder 	 rudder
youyou 	 noun 	 dinghy 	 dinghy
cyanure 	 noun 	 cyanide 	 cyanide
rancune 	 noun 	 rancour 	 resentment, grudge; rancour
rancune 	 noun 	 grudge 	 resentment, grudge; rancour
rancune 	 noun 	 resentment 	 resentment, grudge; rancour
chéchia 	 noun 	 shashiya 	 shashiya
borgne 	 adjective 	 one-eyed 	 one-eyed
borgne 	 adjective 	 blind 	 blind
capot 	 noun 	 hood 	 bonnet UK, hood US
capot 	 noun 	 bonnet 	 bonnet UK, hood US
baroque 	 adjective 	 English 	 baroque
groupuscule 	 noun 	 English 	 groupuscule
lagune 	 noun 	 lagoon 	 lagoon, shallow body of coastal water
crêpe suzette 	 noun 	 English 	 crêpe Suzette
aristo 	 noun 	 aristocrat 	 aristocrat
nationaliser 	 verb 	 nationalize 	 to nationalize
trappe 	 noun 	 hatch 	 hatch or trap door
trappe 	 noun 	 trap door 	 hatch or trap door
trappe 	 noun 	 trap 	 trap
compartiment 	 noun 	 compartment 	 compartment
mbalax 	 noun 	 mbalaxEnglish 	 mbalax
malfortune 	 noun 	 misfortune 	 misfortune
recharger 	 verb 	 recharge 	 to recharge
recharger 	 verb 	 reload 	 to reload
savate 	 noun 	 savateEnglish 	 savate
savate 	 noun 	 slipper 	 old slipper
rixe 	 noun 	 brawl 	 brawl, struggle
rixe 	 noun 	 struggle 	 brawl, struggle
ganté 	 adjective 	 gloved 	 Gloved; wearing gloves
ganté 	 adjective 	 glove 	 Gloved; wearing gloves
nazaréen 	 adjective 	 Nazarene 	 Nazarene
américanisation 	 noun 	 Americanization 	 Americanization
anabase 	 noun 	 anabasis 	 anabasis
alvéolopalatal 	 adjective 	 alveopalatal 	 alveopalatal
ionien 	 adjective 	 Ionian 	 Ionian
relâché 	 adjective 	 loose 	 loose
béquille 	 noun 	 kickstand 	 kickstand
béquille 	 noun 	 crutch 	 crutch
musclé 	 adjective 	 muscled 	 muscled, muscly, muscular
musclé 	 adjective 	 muscular 	 muscled, muscly, muscular
musclé 	 adjective 	 muscly 	 muscled, muscly, muscular
archiver 	 verb 	 archive 	 to archive
réprimander 	 verb 	 reprimand 	 to reprimand
verjus 	 noun 	 verjuice 	 verjuice
verjus 	 noun 	 wine 	 wine which is too green
aliovalent 	 adjective 	 English 	 Aliovalent
analysable 	 adjective 	 analyzable 	 analyzable, analysable
analysable 	 adjective 	 English 	 analyzable, analysable
trembler 	 verb 	 shake 	 to tremble, shake
trembler 	 verb 	 tremble 	 to tremble, shake
vernis 	 noun 	 varnish 	 varnish
vernis 	 noun 	 nail polish 	 nail polish
vernis 	 noun 	 veneer 	 veneer
ruiner 	 verb 	 ruin 	 to ruin
ruiner 	 verb 	 destroy 	 to raze to the ground, to destroy, to wreck
ruiner 	 verb 	 raze 	 to raze to the ground, to destroy, to wreck
ruiner 	 verb 	 wreck 	 to raze to the ground, to destroy, to wreck
ruiner 	 verb 	 shatter 	 to shatter , to ruin
solive 	 noun 	 joist 	 balk, joist
solive 	 noun 	 balk 	 balk, joist
taudis 	 noun 	 slum 	 hovel, slum
taudis 	 noun 	 hovel 	 hovel, slum
taudis 	 noun 	 pigsty 	 pigsty
hâve 	 adjective 	 gaunt 	 gaunt; pale and thin
hâve 	 adjective 	 thin 	 gaunt; pale and thin
hâve 	 adjective 	 pale 	 gaunt; pale and thin
forçat 	 noun 	 convict 	 convict
forçat 	 noun 	 galley slave 	 galley slave
alépin 	 adjective 	 Aleppine 	 Aleppine
vétuste 	 adjective 	 run-down 	 run-down, dilapidated
vétuste 	 adjective 	 dilapidated 	 run-down, dilapidated
vétuste 	 adjective 	 antiquated 	 outdated, antiquated
vétuste 	 adjective 	 outdated 	 outdated, antiquated
scélérat 	 noun 	 evildoer 	 villain, criminal, scoundrel; evildoer
scélérat 	 noun 	 criminal 	 villain, criminal, scoundrel; evildoer
scélérat 	 noun 	 villain 	 villain, criminal, scoundrel; evildoer
scélérat 	 noun 	 scoundrel 	 villain, criminal, scoundrel; evildoer
scélérat 	 adjective 	 evildoing 	 villainous, evildoing
scélérat 	 adjective 	 villainous 	 villainous, evildoing
escarpe 	 noun 	 killer 	 murderer, killer
escarpe 	 noun 	 murderer 	 murderer, killer
escarpe 	 noun 	 escarpment 	 escarpment
ksi 	 noun 	 xiEnglish 	 xi
polariser 	 verb 	 polarize 	 to polarize
babine 	 noun 	 lip 	 prominent or pendulous animal lip
babine 	 noun 	 lip 	 lip
randomiser 	 verb 	 randomize 	 to randomize
comprimé 	 noun 	 tablet 	 pill, tablet
comprimé 	 noun 	 pill 	 pill, tablet
comprimé 	 adjective 	 compressed 	 compressed
chablis 	 noun 	 fallen 	 fallen timber
chablis 	 noun 	 timber 	 fallen timber
chablis 	 noun 	 Chablis 	 Chablis
luxation 	 noun 	 dislocation 	 dislocation
coupure 	 noun 	 cutting 	 the act or result of cutting; a cut
coupure 	 noun 	 cut 	 the act or result of cutting; a cut
coupure 	 noun 	 interruption 	 interruption
coupure 	 noun 	 power cut 	 power cut, blackout
coupure 	 noun 	 blackout 	 power cut, blackout
coupure 	 noun 	 bill 	 bill, a piece of paper money
trébucher 	 verb 	 stumble 	 direct=1|qual1=on to trip, to stumble
trébucher 	 verb 	 trip 	 direct=1|qual1=on to trip, to stumble
symptôme 	 noun 	 symptom 	 symptom
remède 	 noun 	 remedy 	 remedy
égaler 	 verb 	 equal 	 to equal
égaler 	 verb 	 equate to 	 to equate to
aérolithe 	 noun 	 aerolite 	 aerolite
éther 	 noun 	 ether 	 ether
charrier 	 verb 	 carry 	 to carry, carry along; to transport
charrier 	 verb 	 transport 	 to carry, carry along; to transport
charrier 	 verb 	 tease 	 to tease relentlessly, to pull one's leg
charrier 	 verb 	 pull one's leg 	 to tease relentlessly, to pull one's leg
amphore 	 noun 	 amphora 	 amphora
sellerie 	 noun 	 saddlery 	 saddlery
slalomer 	 verb 	 slalom 	 to slalom
marmiton 	 noun 	 English 	 marmiton
méat 	 noun 	 meatus 	 meatus
sitôt 	 adverb 	 immediately 	 immediately
sitôt 	 adverb 	 no sooner 	 no sooner, soon after
atomisation 	 noun 	 atomization 	 atomization
twitto 	 noun 	 tweeter 	 tweeter
monopoliste 	 noun 	 monopolist 	 monopolist
polymérase 	 noun 	 polymerase 	 polymerase
uréase 	 noun 	 urease 	 urease
jeunesse dorée 	 noun 	 English 	 jeunesse dorée
zaïre 	 noun 	 zaire 	 zaire
torve 	 adjective 	 sinister 	 sinister, menacing
torve 	 adjective 	 menacing 	 sinister, menacing
torve 	 adjective 	 strabismus 	 having a squint as exhibited by a sufferer of strabismus
torve 	 adjective 	 squint 	 having a squint as exhibited by a sufferer of strabismus
minable 	 adjective 	 rubbish 	 lousy, stinky, rubbish
minable 	 adjective 	 lousy 	 lousy, stinky, rubbish
minable 	 adjective 	 stinky 	 lousy, stinky, rubbish
minable 	 adjective 	 miserable 	 miserable, pathetic
minable 	 adjective 	 pathetic 	 miserable, pathetic
prométaphase 	 noun 	 prometaphase 	 prometaphase
sénile 	 adjective 	 senile 	 senile
chaloupe 	 noun 	 launch 	 launch
chaloupe 	 noun 	 rowboat 	 rowing boat UK, rowboat US
chaloupe 	 noun 	 rowing boat 	 rowing boat UK, rowboat US
pauliste 	 adjective 	 Paulist 	 Paulist
pauliste 	 adjective 	 Brazil 	 of or relating to São Paulo, Brazil
pauliste 	 adjective 	 São Paulo 	 of or relating to São Paulo, Brazil
artère 	 noun 	 artery 	 artery
artère 	 noun 	 thoroughfare 	 thoroughfare
plombe 	 noun 	 hour 	 full hour
plombe 	 noun 	 ages 	 ages, a long time
plomber 	 verb 	 weigh down 	 to fill with lead, to weigh down with lead
plomber 	 verb 	 lead 	 to fill with lead, to weigh down with lead
plomber 	 verb 	 fill 	 to fill with lead, to weigh down with lead
plomber 	 verb 	 weigh down 	 to become a burden, to weigh down
plomber 	 verb 	 burden 	 to become a burden, to weigh down
spiritisme 	 noun 	 spiritism 	 spiritism
lignine 	 noun 	 lignin 	 lignin
frayer 	 verb 	 open up 	 to open up, clear
frayer 	 verb 	 clear 	 to open up, clear
frayer 	 verb 	 spawn 	 to spawn, to fertilize an egg
frayer 	 verb 	 fertilize 	 to spawn, to fertilize an egg
frayer 	 verb 	 find 	 to find ; to clear  a path
frayer 	 verb 	 rub 	 to rub
arabisation 	 noun 	 Arabization 	 Arabization
trumeau 	 noun 	 English 	 trumeau
trumeau 	 noun 	 pier glass 	 pier glass
20e 	 adjective 	 20th 	 20th
vergé 	 adjective 	 ribbed 	 ribbed, veined
vergé 	 adjective 	 veined 	 ribbed, veined
vergé 	 adjective 	 laid 	 laid
vergé 	 adjective 	 streaky 	 streaky
requalification 	 noun 	 English 	 requalification
équinoxe 	 noun 	 equinox 	 equinox
protestantisme 	 noun 	 Protestantism 	 Protestantism
transmuter 	 verb 	 transmute 	 to transmute
méditation 	 noun 	 meditation 	 meditation
mandement 	 noun 	 pastoral letter 	 pastoral letter
maneaba 	 noun 	 English 	 maneaba
dégradable 	 adjective 	 degradable 	 degradable
messie 	 noun 	 messiah 	 messiah
gageure 	 noun 	 wager 	 wager
gageure 	 noun 	 challenge 	 challenge, impossible task
remobilisation 	 noun 	 remobilization 	 remobilization
bedaine 	 noun 	 pot belly 	 paunch, pot belly
bedaine 	 noun 	 paunch 	 paunch, pot belly
bâche 	 noun 	 tarpaulin 	 tarpaulin
bâche 	 noun 	 tank 	 tank
bâche 	 noun 	 tide pool 	 tide pool
innombrable 	 adjective 	 innumerable 	 innumerable, countless
innombrable 	 adjective 	 countless 	 innumerable, countless
décalage 	 noun 	 gap 	 gap, discrepancy
décalage 	 noun 	 discrepancy 	 gap, discrepancy
décalage 	 noun 	 offset 	 shift, offset
décalage 	 noun 	 shift 	 shift, offset
décalage 	 noun 	 time shifting 	 time shifting
décalage 	 noun 	 jet lag 	 jet lag
mulet 	 noun 	 mule 	 mule
mulet 	 noun 	 mullet 	 mullet
mulet 	 noun 	 mullet 	 mullet
manille 	 noun 	 English 	 manille
manille 	 noun 	 ring 	 ring, bracelet
manille 	 noun 	 bracelet 	 ring, bracelet
manille 	 noun 	 manilla 	 manilla
polytechnique 	 adjective 	 polytechnic 	 polytechnic
tinctorial 	 adjective 	 English 	 tinctorial
vtt 	 noun 	 mountain bike 	 nodot=1: mountain bike
vtt 	 noun 	 ATV 	 nodot=1: an ATV
leucopénie 	 noun 	 leukopenia 	 leukopenia
bichon 	 noun 	 lapdog 	 lapdog
condamnation 	 noun 	 sentencing 	 sentencing
ruser 	 verb 	 beguile 	 to use one's cunning, to be crafty, to beguile
ruser 	 verb 	 cunning 	 to use one's cunning, to be crafty, to beguile
ruser 	 verb 	 crafty 	 to use one's cunning, to be crafty, to beguile
décret 	 noun 	 decree 	 decree
décret 	 noun 	 w:Statutory Instrument 	 statutory instrument
tremblement 	 noun 	 shake 	 shake, tremble
tremblement 	 noun 	 tremble 	 shake, tremble
administrateur 	 noun 	 administrator 	 administrator
roder 	 verb 	 polish 	 to polish, polish up
roder 	 verb 	 polish up 	 to polish, polish up
roder 	 verb 	 wear in 	 to wear in , to run in
roder 	 verb 	 run in 	 to wear in , to run in
roder 	 verb 	 polish up 	 to polish up, hone
roder 	 verb 	 hone 	 to polish up, hone
créole 	 noun 	 Creole 	 Creole
créole 	 noun 	 creole 	 creole language
raclée 	 noun 	 thrashing 	 hiding, thrashing, beating
raclée 	 noun 	 hiding 	 hiding, thrashing, beating
raclée 	 noun 	 beating 	 hiding, thrashing, beating
raclée 	 noun 	 drubbing 	 drubbing, heavy defeat
raclée 	 noun 	 defeat 	 drubbing, heavy defeat
bergère 	 noun 	 shepherdess 	 gloss=shepherdess
bergère 	 noun 	 wing chair 	 wing chair
chiffonnier 	 noun 	 rag 	 rag-gatherer
chiffonnier 	 noun 	 gatherer 	 rag-gatherer
chiffonnier 	 noun 	 chiffonier 	 chiffonier
bonbonnière 	 noun 	 candy box 	 candy box
bonbonnière 	 noun 	 exquisite 	 small, exquisite house
bonbonnière 	 noun 	 house 	 small, exquisite house
aisément 	 adverb 	 easily 	 easily
gifle 	 noun 	 cheek 	 cheek
manoir 	 noun 	 manor 	 manor
coleta 	 noun 	 English 	 coleta
banderillero 	 noun 	 banderilleroEnglish 	 banderillero
balafon 	 noun 	 English 	 balafon
pagne 	 noun 	 loincloth 	 loincloth
pagne 	 noun 	 grass skirt 	 grass skirt
pagne 	 noun 	 bed 	 bed
terrorisme 	 noun 	 terrorism 	 terrorism
décade 	 noun 	 day 	 period of ten days
décade 	 noun 	 decade 	 decade
itérer 	 verb 	 iterate 	 to iterate
militance 	 noun 	 English 	 militancy, militance
militance 	 noun 	 militancy 	 militancy, militance
lipide 	 noun 	 lipid 	 lipid
ndt 	 noun 	 du 	 gloss=translator's note; note du traducteur
ndt 	 noun 	 traducteur 	 gloss=translator's note; note du traducteur
ndt 	 noun 	 note 	 gloss=translator's note; note du traducteur
raison d'état 	 noun 	 legal 	 a state interest, especially when invoked as politically superior to moral or even legal considerations
raison d'état 	 noun 	 interest 	 a state interest, especially when invoked as politically superior to moral or even legal considerations
raison d'état 	 noun 	 invoke 	 a state interest, especially when invoked as politically superior to moral or even legal considerations
raison d'état 	 noun 	 state 	 a state interest, especially when invoked as politically superior to moral or even legal considerations
raison d'état 	 noun 	 moral 	 a state interest, especially when invoked as politically superior to moral or even legal considerations
glucide 	 noun 	 carbohydrate 	 carbohydrate, saccharide
glucide 	 noun 	 saccharide 	 carbohydrate, saccharide
aucuba 	 noun 	 English 	 aucuba
magot 	 noun 	 hoard 	 pile , hoard
magot 	 noun 	 pile 	 pile , hoard
icône 	 noun 	 icon 	 icon
icône 	 noun 	 icon 	 icon
icône 	 noun 	 icon 	 icon
minier 	 adjective 	 mining 	 mining
palestinien 	 adjective 	 Palestinian 	 Palestinian
pleinement 	 adverb 	 all over 	 completely, all over
pleinement 	 adverb 	 completely 	 completely, all over
pragmatique 	 adjective 	 pragmatic 	 pragmatic
pragmatique 	 noun 	 pragmatics 	 pragmatics
prévention 	 noun 	 prevention 	 prevention
périmètre 	 noun 	 perimeter 	 perimeter
thème 	 noun 	 topic 	 theme, topic
thème 	 noun 	 theme 	 theme, topic
thème 	 noun 	 theme 	 theme
thème 	 noun 	 mother tongue 	 translation from one's mother tongue to another language
thème 	 noun 	 translation 	 translation from one's mother tongue to another language
polytonal 	 adjective 	 English 	 polytonal
bleu, blanc et rouge 	 phrase 	 French 	 The colors of the French flag
bleu, blanc et rouge 	 phrase 	 colors 	 The colors of the French flag
bleu, blanc et rouge 	 phrase 	 flag 	 The colors of the French flag
bleu, blanc et rouge 	 phrase 	 w:Montreal Canadiens 	 Montreal Canadiens ice hockey club
synchroniser 	 verb 	 synchronize 	 to synchronize
synchronisé 	 adjective 	 synchronized 	 synchronized
catécholamine 	 noun 	 catecholamine 	 catecholamine
friser 	 verb 	 curl 	 to curl
friser 	 verb 	 graze 	 to graze, to pass by barely touching
friser 	 verb 	 pass by 	 to graze, to pass by barely touching
friser 	 verb 	 print 	 to skip, to print double
friser 	 verb 	 double 	 to skip, to print double
friser 	 verb 	 skip 	 to skip, to print double
friser 	 verb 	 buzz 	 to buzz
luger 	 verb 	 luge 	 to luge
continuellement 	 adverb 	 continuously 	 continuously
jodler 	 verb 	 yodel 	 to yodel
tastevin 	 noun 	 English 	 tastevin
pudeur 	 noun 	 shame 	 sense of modesty or reserve; shame
pudeur 	 noun 	 modesty 	 sense of modesty or reserve; shame
pudeur 	 noun 	 sense 	 sense of modesty or reserve; shame
pudeur 	 noun 	 reserve 	 sense of modesty or reserve; shame
pudeur 	 noun 	 decency 	 sense of decency, chastity, propriety
pudeur 	 noun 	 propriety 	 sense of decency, chastity, propriety
pudeur 	 noun 	 chastity 	 sense of decency, chastity, propriety
tribologie 	 noun 	 tribology 	 tribology
gardian 	 noun 	 cowboy 	 An Occitan cowboy in the Camargue region
gardian 	 noun 	 Camargue 	 An Occitan cowboy in the Camargue region
albumine 	 noun 	 albumin 	 albumin
globuline 	 noun 	 globulin 	 globulin
